#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
no_airag_producer_1;Alcohol Producer;;;;;;;;;;;;;x
no_airag_producer_1_desc;-;;;;;;;;;;;;;x
no_airag_producer_2;Alcohol Producer;;;;;;;;;;;;;x
no_airag_producer_2_desc;-;;;;;;;;;;;;;x
no_airag_producer_3;Alcohol Producer;;;;;;;;;;;;;x
no_airag_producer_3_desc;-;;;;;;;;;;;;;x
no_airag_producer_4;Alcohol Producer;;;;;;;;;;;;;x
no_airag_producer_4_desc;-;;;;;;;;;;;;;x
no_airag_producer_5;Alcohol Producer;;;;;;;;;;;;;x
no_airag_producer_5_desc;-;;;;;;;;;;;;;x
no_airag_producer_6;Alcohol Producer;;;;;;;;;;;;;x
no_airag_producer_6_desc;-;;;;;;;;;;;;;x
no_airag_producer_7;Alcohol Producer;;;;;;;;;;;;;x
no_airag_producer_7_desc;-;;;;;;;;;;;;;x
no_airag_producer_8;Alcohol Producer;;;;;;;;;;;;;x
no_airag_producer_8_desc;-;;;;;;;;;;;;;x
no_baghatur_council_1;Military Council;;;;;;;;;;;;;x
no_baghatur_council_1_desc;-;;;;;;;;;;;;;x
no_baghatur_council_2;Military Council;;;;;;;;;;;;;x
no_baghatur_council_2_desc;-;;;;;;;;;;;;;x
no_baghatur_council_3;Military Council;;;;;;;;;;;;;x
no_baghatur_council_3_desc;-;;;;;;;;;;;;;x
no_baghatur_council_4;Military Council;;;;;;;;;;;;;x
no_baghatur_council_4_desc;-;;;;;;;;;;;;;x
no_baghatur_council_5;Military Council;;;;;;;;;;;;;x
no_baghatur_council_5_desc;-;;;;;;;;;;;;;x
no_baghatur_council_6;Military Council;;;;;;;;;;;;;x
no_baghatur_council_6_desc;-;;;;;;;;;;;;;x
no_baghatur_council_7;Military Council;;;;;;;;;;;;;x
no_baghatur_council_7_desc;-;;;;;;;;;;;;;x
no_baghatur_council_8;Military Council;;;;;;;;;;;;;x
no_baghatur_council_8_desc;-;;;;;;;;;;;;;x
no_camel_breeder_1;;;;;;;;;;;;;;x
no_camel_breeder_1_desc;-;;;;;;;;;;;;;x
no_camel_breeder_2;;;;;;;;;;;;;;x
no_camel_breeder_2_desc;-;;;;;;;;;;;;;x
no_camel_breeder_3;;;;;;;;;;;;;;x
no_camel_breeder_3_desc;-;;;;;;;;;;;;;x
no_camel_breeder_4;;;;;;;;;;;;;;x
no_camel_breeder_4_desc;-;;;;;;;;;;;;;x
no_camel_breeder_5;;;;;;;;;;;;;;x
no_camel_breeder_5_desc;-;;;;;;;;;;;;;x
no_camel_breeder_6;;;;;;;;;;;;;;x
no_camel_breeder_6_desc;-;;;;;;;;;;;;;x
no_camel_breeder_7;;;;;;;;;;;;;;x
no_camel_breeder_7_desc;-;;;;;;;;;;;;;x
no_camel_breeder_8;;;;;;;;;;;;;;x
no_camel_breeder_8_desc;-;;;;;;;;;;;;;x
no_camp_fortifications_1;Base Fortifications;;;;;;;;;;;;;x
no_camp_fortifications_1_desc;-;;;;;;;;;;;;;x
no_camp_fortifications_2;Base Fortifications;;;;;;;;;;;;;x
no_camp_fortifications_2_desc;-;;;;;;;;;;;;;x
no_camp_fortifications_3;Base Fortifications;;;;;;;;;;;;;x
no_camp_fortifications_3_desc;-;;;;;;;;;;;;;x
no_camp_fortifications_4;Base Fortifications;;;;;;;;;;;;;x
no_camp_fortifications_4_desc;-;;;;;;;;;;;;;x
no_camp_fortifications_5;Base Fortifications;;;;;;;;;;;;;x
no_camp_fortifications_5_desc;-;;;;;;;;;;;;;x
no_camp_fortifications_6;Base Fortifications;;;;;;;;;;;;;x
no_camp_fortifications_6_desc;-;;;;;;;;;;;;;x
no_camp_fortifications_7;Base Fortifications;;;;;;;;;;;;;x
no_camp_fortifications_7_desc;-;;;;;;;;;;;;;x
no_camp_fortifications_8;Base Fortifications;;;;;;;;;;;;;x
no_camp_fortifications_8_desc;-;;;;;;;;;;;;;x
no_cattle_pens_1;Production Systems;;;;;;;;;;;;;x
no_cattle_pens_1_desc;-;;;;;;;;;;;;;x
no_cattle_pens_2;Production Systems;;;;;;;;;;;;;x
no_cattle_pens_2_desc;-;;;;;;;;;;;;;x
no_cattle_pens_3;Production Systems;;;;;;;;;;;;;x
no_cattle_pens_3_desc;-;;;;;;;;;;;;;x
no_cattle_pens_4;Production Systems;;;;;;;;;;;;;x
no_cattle_pens_4_desc;-;;;;;;;;;;;;;x
no_cattle_pens_5;Production Systems;;;;;;;;;;;;;x
no_cattle_pens_5_desc;-;;;;;;;;;;;;;x
no_cattle_pens_6;Production Systems;;;;;;;;;;;;;x
no_cattle_pens_6_desc;-;;;;;;;;;;;;;x
no_cattle_pens_7;Production Systems;;;;;;;;;;;;;x
no_cattle_pens_7_desc;-;;;;;;;;;;;;;x
no_cattle_pens_8;Production Systems;;;;;;;;;;;;;x
no_cattle_pens_8_desc;-;;;;;;;;;;;;;x
no_composite_bow_crafter_1;;;;;;;;;;;;;;x
no_composite_bow_crafter_1_desc;-;;;;;;;;;;;;;x
no_composite_bow_crafter_2;;;;;;;;;;;;;;x
no_composite_bow_crafter_2_desc;-;;;;;;;;;;;;;x
no_composite_bow_crafter_3;;;;;;;;;;;;;;x
no_composite_bow_crafter_3_desc;-;;;;;;;;;;;;;x
no_composite_bow_crafter_4;;;;;;;;;;;;;;x
no_composite_bow_crafter_4_desc;-;;;;;;;;;;;;;x
no_composite_bow_crafter_5;;;;;;;;;;;;;;x
no_composite_bow_crafter_5_desc;-;;;;;;;;;;;;;x
no_composite_bow_crafter_6;;;;;;;;;;;;;;x
no_composite_bow_crafter_6_desc;-;;;;;;;;;;;;;x
no_composite_bow_crafter_7;;;;;;;;;;;;;;x
no_composite_bow_crafter_7_desc;-;;;;;;;;;;;;;x
no_composite_bow_crafter_8;;;;;;;;;;;;;;x
no_composite_bow_crafter_8_desc;-;;;;;;;;;;;;;x
no_elephant_camp_1;;;;;;;;;;;;;;x
no_elephant_camp_1_desc;-;;;;;;;;;;;;;x
no_elephant_camp_2;;;;;;;;;;;;;;x
no_elephant_camp_2_desc;-;;;;;;;;;;;;;x
no_elephant_camp_3;;;;;;;;;;;;;;x
no_elephant_camp_3_desc;-;;;;;;;;;;;;;x
no_elephant_camp_4;;;;;;;;;;;;;;x
no_elephant_camp_4_desc;-;;;;;;;;;;;;;x
no_elephant_camp_5;;;;;;;;;;;;;;x
no_elephant_camp_5_desc;-;;;;;;;;;;;;;x
no_elephant_camp_6;;;;;;;;;;;;;;x
no_elephant_camp_6_desc;-;;;;;;;;;;;;;x
no_elephant_camp_7;;;;;;;;;;;;;;x
no_elephant_camp_7_desc;-;;;;;;;;;;;;;x
no_elephant_camp_8;;;;;;;;;;;;;;x
no_elephant_camp_8_desc;-;;;;;;;;;;;;;x
no_felt_crafter_1;Trading and Stocking Centers;;;;;;;;;;;;;x
no_felt_crafter_1_desc;-;;;;;;;;;;;;;x
no_felt_crafter_2;Trading and Stocking Centers;;;;;;;;;;;;;x
no_felt_crafter_2_desc;-;;;;;;;;;;;;;x
no_felt_crafter_3;Trading and Stocking Centers;;;;;;;;;;;;;x
no_felt_crafter_3_desc;-;;;;;;;;;;;;;x
no_felt_crafter_4;Trading and Stocking Centers;;;;;;;;;;;;;x
no_felt_crafter_4_desc;-;;;;;;;;;;;;;x
no_felt_crafter_5;Trading and Stocking Centers;;;;;;;;;;;;;x
no_felt_crafter_5_desc;-;;;;;;;;;;;;;x
no_felt_crafter_6;Trading and Stocking Centers;;;;;;;;;;;;;x
no_felt_crafter_6_desc;-;;;;;;;;;;;;;x
no_felt_crafter_7;Trading and Stocking Centers;;;;;;;;;;;;;x
no_felt_crafter_7_desc;-;;;;;;;;;;;;;x
no_felt_crafter_8;Trading and Stocking Centers;;;;;;;;;;;;;x
no_felt_crafter_8_desc;-;;;;;;;;;;;;;x
no_fishing_village_1;Food Generators;;;;;;;;;;;;;x
no_fishing_village_1_desc;-;;;;;;;;;;;;;x
no_fishing_village_2;Food Generators;;;;;;;;;;;;;x
no_fishing_village_2_desc;-;;;;;;;;;;;;;x
no_fishing_village_3;Food Generators;;;;;;;;;;;;;x
no_fishing_village_3_desc;-;;;;;;;;;;;;;x
no_fishing_village_4;Food Generators;;;;;;;;;;;;;x
no_fishing_village_4_desc;-;;;;;;;;;;;;;x
no_fishing_village_5;Food Generators;;;;;;;;;;;;;x
no_fishing_village_5_desc;-;;;;;;;;;;;;;x
no_fishing_village_6;Food Generators;;;;;;;;;;;;;x
no_fishing_village_6_desc;-;;;;;;;;;;;;;x
no_fishing_village_7;Food Generators;;;;;;;;;;;;;x
no_fishing_village_7_desc;-;;;;;;;;;;;;;x
no_fishing_village_8;Food Generators;;;;;;;;;;;;;x
no_fishing_village_8_desc;-;;;;;;;;;;;;;x
no_gathering_hall_1;Gathering Vessel;;;;;;;;;;;;;x
no_gathering_hall_1_desc;-;;;;;;;;;;;;;x
no_gathering_hall_2;Gathering Vessel;;;;;;;;;;;;;x
no_gathering_hall_2_desc;-;;;;;;;;;;;;;x
no_gathering_hall_3;Gathering Vessel;;;;;;;;;;;;;x
no_gathering_hall_3_desc;-;;;;;;;;;;;;;x
no_gathering_hall_4;Gathering Vessel;;;;;;;;;;;;;x
no_gathering_hall_4_desc;-;;;;;;;;;;;;;x
no_gathering_hall_5;Gathering Vessel;;;;;;;;;;;;;x
no_gathering_hall_5_desc;-;;;;;;;;;;;;;x
no_gathering_hall_6;Gathering Vessel;;;;;;;;;;;;;x
no_gathering_hall_6_desc;-;;;;;;;;;;;;;x
no_gathering_hall_7;Gathering Vessel;;;;;;;;;;;;;x
no_gathering_hall_7_desc;-;;;;;;;;;;;;;x
no_gathering_hall_8;Gathering Vessel;;;;;;;;;;;;;x
no_gathering_hall_8_desc;-;;;;;;;;;;;;;x
no_ger_crafter_1;Base Stations;;;;;;;;;;;;;x
no_ger_crafter_1_desc;-;;;;;;;;;;;;;x
no_ger_crafter_2;Base Stations;;;;;;;;;;;;;x
no_ger_crafter_2_desc;-;;;;;;;;;;;;;x
no_ger_crafter_3;Base Stations;;;;;;;;;;;;;x
no_ger_crafter_3_desc;-;;;;;;;;;;;;;x
no_ger_crafter_4;Base Stations;;;;;;;;;;;;;x
no_ger_crafter_4_desc;-;;;;;;;;;;;;;x
no_ger_crafter_5;Base Stations;;;;;;;;;;;;;x
no_ger_crafter_5_desc;-;;;;;;;;;;;;;x
no_ger_crafter_6;Base Stations;;;;;;;;;;;;;x
no_ger_crafter_6_desc;-;;;;;;;;;;;;;x
no_ger_crafter_7;Base Stations;;;;;;;;;;;;;x
no_ger_crafter_7_desc;-;;;;;;;;;;;;;x
no_ger_crafter_8;Base Stations;;;;;;;;;;;;;x
no_ger_crafter_8_desc;-;;;;;;;;;;;;;x
no_harbor_1;Docking Base;;;;;;;;;;;;;x
no_harbor_1_desc;-;;;;;;;;;;;;;x
no_harbor_2;Docking Base;;;;;;;;;;;;;x
no_harbor_2_desc;-;;;;;;;;;;;;;x
no_harbor_3;Docking Base;;;;;;;;;;;;;x
no_harbor_3_desc;-;;;;;;;;;;;;;x
no_harbor_4;Docking Base;;;;;;;;;;;;;x
no_harbor_4_desc;-;;;;;;;;;;;;;x
no_harbor_5;Docking Base;;;;;;;;;;;;;x
no_harbor_5_desc;-;;;;;;;;;;;;;x
no_harbor_6;Docking Base;;;;;;;;;;;;;x
no_harbor_6_desc;-;;;;;;;;;;;;;x
no_harbor_7;Docking Base;;;;;;;;;;;;;x
no_harbor_7_desc;-;;;;;;;;;;;;;x
no_harbor_8;Docking Base;;;;;;;;;;;;;x
no_harbor_8_desc;-;;;;;;;;;;;;;x
no_horse_breeder_1;System Defences;;;;;;;;;;;;;x
no_horse_breeder_1_desc;-;;;;;;;;;;;;;x
no_horse_breeder_2;System Defences;;;;;;;;;;;;;x
no_horse_breeder_2_desc;-;;;;;;;;;;;;;x
no_horse_breeder_3;System Defences;;;;;;;;;;;;;x
no_horse_breeder_3_desc;-;;;;;;;;;;;;;x
no_horse_breeder_4;System Defences;;;;;;;;;;;;;x
no_horse_breeder_4_desc;-;;;;;;;;;;;;;x
no_horse_breeder_5;System Defences;;;;;;;;;;;;;x
no_horse_breeder_5_desc;-;;;;;;;;;;;;;x
no_horse_breeder_6;System Defences;;;;;;;;;;;;;x
no_horse_breeder_6_desc;-;;;;;;;;;;;;;x
no_horse_breeder_7;System Defences;;;;;;;;;;;;;x
no_horse_breeder_7_desc;-;;;;;;;;;;;;;x
no_horse_breeder_8;System Defences;;;;;;;;;;;;;x
no_horse_breeder_8_desc;-;;;;;;;;;;;;;x
no_hunting_parties_1;;;;;;;;;;;;;;x
no_hunting_parties_1_desc;-;;;;;;;;;;;;;x
no_hunting_parties_2;;;;;;;;;;;;;;x
no_hunting_parties_2_desc;-;;;;;;;;;;;;;x
no_hunting_parties_3;;;;;;;;;;;;;;x
no_hunting_parties_3_desc;-;;;;;;;;;;;;;x
no_hunting_parties_4;;;;;;;;;;;;;;x
no_hunting_parties_4_desc;-;;;;;;;;;;;;;x
no_hunting_parties_5;;;;;;;;;;;;;;x
no_hunting_parties_5_desc;-;;;;;;;;;;;;;x
no_hunting_parties_6;;;;;;;;;;;;;;x
no_hunting_parties_6_desc;-;;;;;;;;;;;;;x
no_hunting_parties_7;;;;;;;;;;;;;;x
no_hunting_parties_7_desc;-;;;;;;;;;;;;;x
no_hunting_parties_8;;;;;;;;;;;;;;x
no_hunting_parties_8_desc;-;;;;;;;;;;;;;x
no_lamellar_armor_crafter_1;Vessel Defense Design;;;;;;;;;;;;;x
no_lamellar_armor_crafter_1_desc;-;;;;;;;;;;;;;x
no_lamellar_armor_crafter_2;Vessel Defense Design;;;;;;;;;;;;;x
no_lamellar_armor_crafter_2_desc;-;;;;;;;;;;;;;x
no_lamellar_armor_crafter_3;Vessel Defense Design;;;;;;;;;;;;;x
no_lamellar_armor_crafter_3_desc;-;;;;;;;;;;;;;x
no_lamellar_armor_crafter_4;Vessel Defense Design;;;;;;;;;;;;;x
no_lamellar_armor_crafter_4_desc;-;;;;;;;;;;;;;x
no_lamellar_armor_crafter_5;Vessel Defense Design;;;;;;;;;;;;;x
no_lamellar_armor_crafter_5_desc;-;;;;;;;;;;;;;x
no_lamellar_armor_crafter_6;Vessel Defense Design;;;;;;;;;;;;;x
no_lamellar_armor_crafter_6_desc;-;;;;;;;;;;;;;x
no_lamellar_armor_crafter_7;Vessel Defense Design;;;;;;;;;;;;;x
no_lamellar_armor_crafter_7_desc;-;;;;;;;;;;;;;x
no_lamellar_armor_crafter_8;Vessel Defense Design;;;;;;;;;;;;;x
no_lamellar_armor_crafter_8_desc;-;;;;;;;;;;;;;x
no_meat_preserver_1;Food Dispensers;;;;;;;;;;;;;x
no_meat_preserver_1_desc;-;;;;;;;;;;;;;x
no_meat_preserver_2;Food Dispensers;;;;;;;;;;;;;x
no_meat_preserver_2_desc;-;;;;;;;;;;;;;x
no_meat_preserver_3;Food Dispensers;;;;;;;;;;;;;x
no_meat_preserver_3_desc;-;;;;;;;;;;;;;x
no_meat_preserver_4;Food Dispensers;;;;;;;;;;;;;x
no_meat_preserver_4_desc;-;;;;;;;;;;;;;x
no_meat_preserver_5;Food Dispensers;;;;;;;;;;;;;x
no_meat_preserver_5_desc;-;;;;;;;;;;;;;x
no_meat_preserver_6;Food Dispensers;;;;;;;;;;;;;x
no_meat_preserver_6_desc;-;;;;;;;;;;;;;x
no_meat_preserver_7;Food Dispensers;;;;;;;;;;;;;x
no_meat_preserver_7_desc;-;;;;;;;;;;;;;x
no_meat_preserver_8;Food Dispensers;;;;;;;;;;;;;x
no_meat_preserver_8_desc;-;;;;;;;;;;;;;x
no_minority_shrine_1;Minor Political Diversity Vessels;;;;;;;;;;;;;x
no_minority_shrine_1_desc;-;;;;;;;;;;;;;x
no_minority_shrine_2;Minor Political Diversity Vessels;;;;;;;;;;;;;x
no_minority_shrine_2_desc;-;;;;;;;;;;;;;x
no_minority_shrine_3;Minor Political Diversity Vessels;;;;;;;;;;;;;x
no_minority_shrine_3_desc;-;;;;;;;;;;;;;x
no_minority_shrine_4;Minor Political Diversity Vessels;;;;;;;;;;;;;x
no_minority_shrine_4_desc;-;;;;;;;;;;;;;x
