#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
action_sow_dissent;Sabotage Relations;;;;;;;;;;;;;x
action_sow_dissent_desc;Send the [GetChancellorName] on a diplomatic mission to undermine relations between a system's ruler and their superiors and allies.;;;;;;;;;;;;;x
action_advance_mil_tech;Distribute Military Technology;;;;;;;;;;;;;x
action_advance_mil_tech_desc;Send the [GetMarshalName] to instruct military personal in a system on the latest military innovations made in the capital.;;;;;;;;;;;;;x
action_train_troops;Drive Recruitment;;;;;;;;;;;;;x
action_train_troops_desc;Send the [GetMarshalName] to run a recruiting drive in a system and shore up your manpower.;;;;;;;;;;;;;x
action_assist_arrest;Suppress Revolts;;;;;;;;;;;;;x
action_assist_arrest_desc;Send the [GetMarshalName] to oversee counter-insurgency operations in a system.;;;;;;;;;;;;;x
action_squeeze_peasants;Improve Local Economy;;;;;;;;;;;;;x
action_squeeze_peasants_desc;Send the [GetTreasurerName] to conduct a stimulus plan in a system. This will reduce revenue, but will increase the likelihood and duration of economic booms, and decrease the likelihood and duration of economic recessions.;;;;;;;;;;;;;x
action_advance_eco_tech;Improve Education;;;;;;;;;;;;;x
action_advance_eco_tech_desc;Send the [GetTreasurerName] to bring a system's educational standards up to par with those of the capital.;;;;;;;;;;;;;x
action_uncover_plots;Run Counterintelligence;;;;;;;;;;;;;x
action_uncover_plots_desc;Order [PrimaryTitle.GetAdjective] Intelligence to focus on seeking out foreign spies and domestic terrorists in a system.;;;;;;;;;;;;;x
action_study_technology;Run Foreign Intelligence;;;;;;;;;;;;;x
action_study_technology_desc;Order [PrimaryTitle.GetAdjective] Intelligence to focus on establishing a proper intelligence network in a system.;;;;;;;;;;;;;x
action_organize_spies;Spread Propaganda;;;;;;;;;;;;;x
action_organize_spies_desc;Order [PrimaryTitle.GetAdjective] Intelligence to spread [From.Religion.GetName] propaganda in a system.;;;;;;;;;;;;;x
action_build_zeal;Research Military Technology;;;;;;;;;;;;;x
action_build_zeal_desc;Order the [GetLordSpiritualName] to design new weapons, defensive systems, and propulsion techniques.;;;;;;;;;;;;;x
action_improve_rel_relations;Research Social Sciences;;;;;;;;;;;;;x
action_improve_rel_relations_desc;Order the [GetLordSpiritualName] to focus on researching economics, psychology, and related matters.;;;;;;;;;;;;;x
action_advance_cul_tech;Research Hard Sciences;;;;;;;;;;;;;x
action_advance_cul_tech_desc;Order the [GetLordSpiritualName] to focus on researching physics, biology, and related matters.;;;;;;;;;;;;;x
EVTNAMECHANCELLOR100;Relations Improved;;;;;;;;;;;;;x
EVTDESCCHANCELLOR100;Your diplomatic efforts in the [Root.Location.GetName] System have finally born fruit, as you have managed to improve the standing of the [Root.Liege.PrimaryTitle.GetFullName] in the eyes of the local leadership.;;;;;;;;;;;;;x
EVTOPTACHANCELLOR100;The [Root.Liege.GetTitle] will be pleased.;;;;;;;;;;;;;x
EVTOPTBCHANCELLOR100;Well, for a certain value of 'improved', anyway.;;;;;;;;;;;;;x
EVTDESCCHANCELLOR101;You have lately received several meetings from [From.GetFullName], the [From.Liege.PrimaryTitle.GetAdjective] [From.Liege.GetChancellorName]. [From.GetSheHeCap] has managed to convince you of the benefits of working more closely with [From.Liege.Capital.GetName] in the future.;;;;;;;;;;;;;x
EVTDESCCHANCELLOR102;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [FromFrom.GetFullName], [Root.GetChancellorName]\nRE: Mission to [FromFrom.Location.GetName]\nAfter a great deal of effort, we have managed to convinced [From.GetFullName], the [From.GetTitle] of [From.PrimaryTitle.GetName], to see things from a more [Root.PrimaryTitle.GetAdjective] point of view. [From.GetSheHeCap] should be more willing to work with us in the future.;;;;;;;;;;;;;x
EVTNAMECHANCELLOR200;Relations Worsened;;;;;;;;;;;;;x
EVTDESCCHANCELLOR200;Despite your best efforts, you've been unable to make any progress with the leadership in the [Root.Location.GetName] System. In fact, as far as you can tell, you are actually making things worse.;;;;;;;;;;;;;x
EVTOPTACHANCELLOR200;The [Root.Liege.GetTitle] isn't going to like this...;;;;;;;;;;;;;x
EVTDESCCHANCELLOR201;Another day, another long, boring meeting with representatives from the [From.Liege.PrimaryTitle.GetFullName]. You can feel your loathing for [From.Liege.GetFullName] growing by the day.;;;;;;;;;;;;;x
EVTDESCCHANCELLOR202;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [FromFrom.GetFullName], [Root.GetChancellorName]\nRE: [FromFrom.Location.GetName]\nI regret to inform you that our efforts in the [FromFrom.Location.GetName] System appear to have done more harm than good. [From.GetFullName] in particular seems to be unpleased with us.;;;;;;;;;;;;;x
EVTNAMECHANCELLOR300;Claim Fabricated;;;;;;;;;;;;;x
EVTDESCCHANCELLOR300;After several months of effort, you have managed to fabricate evidence that the [Root.Location.GetName] System is the legal property of the [Root.Liege.PrimaryTitle.GetFullName].;;;;;;;;;;;;;x
EVTOPTACHANCELLOR300;The [Root.Liege.GetTitle] will be happy to hear about this.;;;;;;;;;;;;;x
EVTNAMECHANCELLOR600;Fabrication Attempt Exposed;;;;;;;;;;;;;x
