#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_become_exalted_title;Become Famed Across the Stars;;;;;;;;;;;;;x
obj_become_exalted_desc;[Root.GetFullName] wants to earn such fame and recognition that [Root.GetHerHis] name will be spoken across the Known Worlds.;;;;;;;;;;;;;x
obj_marry_for_love_title;Marry For Love;;;;;;;;;;;;;x
obj_marry_for_love_desc;[Root.GetFullName] is either unmarried or unsatisfied in [Root.GetHerHis] current marriage, wants to find a companion with whom [Root.GetSheHe] can spend the rest of [Root.GetHerHis] life in matrimony.;;;;;;;;;;;;;x
obj_marry_for_power_title;Marry For Power;;;;;;;;;;;;;x
obj_marry_for_power_desc;[Root.GetFullName] is either unmarried or unsatisfied in [Root.GetHerHis] current marriage, and has little interest in a romantic relationship. [Root.GetSheHeCap] wants to marry a powerful ruler, or manipulate [Root.GetHerHis] current spouse into a position above [Root.GetHerHis] own.;;;;;;;;;;;;;x
obj_have_a_child_title;Have a Child;;;;;;;;;;;;;x
obj_have_a_child_desc;[Root.GetFullName] is feeling [Root.GetHerHis] genetic imperative, and wants to have a child, either through cloning or the more conventional method.;;;;;;;;;;;;;x
obj_become_ruler_title;Become a Ruler;;;;;;;;;;;;;x
obj_become_ruler_desc;[Root.GetFullName] ;;;;;;;;;;;;;x
obj_become_emperor_title;Become Ruler of [This.Capital.Empire.GetName];Devient [Root.GetEmperorEmpress] de [This.Capital.Empire.GetName];Werdet [Root.GetEmperorEmpress] von [This.Capital.Empire.GetName];;Convertirse en [Root.GetEmperorEmpress] de [This.Capital.Empire.GetName];;;;;;;;;x
obj_become_emperor_desc;[This.GetFullName] wants to become [Root.GetEmperorEmpress] of [This.Capital.Empire.GetName].;[This.GetFullName] désire devenir [Root.GetEmperorEmpress] de [This.Capital.Empire.GetName]. S'il est païen, cela permet à/au [This.GetObjectPronoun] l'utilisation illimitée de l'assujettissement casus belli au sein du royaume. ;[This.GetFullName] möchte [Root.GetEmperorEmpress] von [This.Capital.Empire.GetName] werden. Bei heidnischer Herrschaft erlaubt dies [This.GetObjectPronoun] die unbegrenzte Verwendung des Kriegsgrunds Unterwerfung in diesem Königreich.;; [This.GetFullName] quiere convertirse en [Root.GetEmperorEmpress] de [This.Capital.Empire.GetName]. Si es pagano, permite a [This.GetObjectPronoun] el uso ilimitado de la Casus Belli Subyugación dentro del reino.;;;;;;;;;x
obj_become_emperor_tip;Is [Root.GetEmperorEmpress] of [This.Capital.Empire.GetName];Est [Root.GetEmperorEmpress] de [This.Capital.Empire.GetName];Ist [Root.GetEmperorEmpress] von [This.Capital.Empire.GetName];;Es [Root.GetEmperorEmpress] de [This.Capital.Empire.GetName];;;;;;;;;x
focus_economics_title;Economics;;;;;;;;;;;;;x
focus_economics_desc;[Root.GetFullName] concentrates on financial policy and the development of a strong economy.;;;;;;;;;;;;;x
ECONOMICS_FOCUS;Economic Focus;;;;;;;;;;;;;x
focus_business_desc;[Root.GetFullName] puts [Root.GetHerHis] efforts into building a powerful corporate empire.;;;;;;;;;;;;;x
focus_espionage_title;Espionage;;;;;;;;;;;;;x
focus_espionage_desc;[Root.GetFullName] works toward building a powerful and seemingly omniscient intelligence network.;;;;;;;;;;;;;x
ESPIONAGE_FOCUS;Espionage Focus;;;;;;;;;;;;;x
focus_tactics_title;Tactics;;;;;;;;;;;;;x
focus_tactics_desc;[Root.GetFullName] directs [Root.GetHerHis] efforts toward complete mastery over the battlefield, be it from the cockpit of a fighter or the bridge of a warship. This focus increases the chance of receiving positive combat events, and decreases the chance of receiving negative combat events.;;;;;;;;;;;;;x
TACTICS_FOCUS;Tactical Focus;;;;;;;;;;;;;x
focus_strategy_title;Strategy;;;;;;;;;;;;;x
focus_strategy_desc;[Root.GetFullName] directs [Root.GetHerHis] efforts toward a thorough understanding of the art of war on an interstellar scale.;;;;;;;;;;;;;x
STRATEGY_FOCUS;Strategic Focus;;;;;;;;;;;;;x
focus_statecraft_title;Statecraft;;;;;;;;;;;;;x
focus_statecraft_desc;[Root.GetFullName] devotes [Root.GetHerselfHimself] to becoming the ultimate states[Root.GetManWoman], a master of diplomacy on the galactic stage.;;;;;;;;;;;;;x
STATECRAFT_FOCUS;Statecraft Focus;;;;;;;;;;;;;x
focus_science_title;Science;;;;;;;;;;;;;x
focus_science_desc;[Root.GetFullName] dedicates [Root.GetHerselfHimself] to scientific research and the development of new technologies.;;;;;;;;;;;;;x
SCIENCE_FOCUS;Scientific Focus;;;;;;;;;;;;;x
focus_philosophy_title;Philosophy;;;;;;;;;;;;;x
focus_philosophy_desc;[Root.GetFullName] spends [Root.GetHerHis] time in deep consideration of important matters of ethics and politics.;;;;;;;;;;;;;x
PHILOSOPHY_FOCUS;Philosophic Focus;;;;;;;;;;;;;x
