#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_FATE_OF_ENGLAND;Crisis of the Confederation;;;;;;;;;;;;;x
EARLY_MED;Crisis of the Confederation;;;;;;;;;;;;;x
EARLY_MED_INFO;It is the year 2998, and galactic civilization stands on the brink of collapse. Led by the charismatic politician Juan Lebedev, a coalition of periphery states have joined together in declaring their independence from the TERRAN CONFEDERATION.\n\nIn the face of this rebellion, the Confederation places its hopes in newly-elected President Morgan Afolayan and the good men and women of the CONFEDERATE SPACE COMMAND, charged with returning the defiant outer rim to Earth's control. As darkness falls across the galaxy, ships speed forth from Earth for the first great battle in nearly five hundred years...;;;;;;;;;;;;;x
ERA_CHAR_INFO_11013974;Formerly the leader of the Republican Party and newly elected President of the Confederation Morgan Afolayan has been charged with cleaning up the mess left by her predecessor. President Afolayan must contend with a civil war the likes of which the galaxy has never seen - and with the potentially catastrophic consequences should she fail.;;;;;;;;;;;;;x
ERA_CHAR_INFO_11012833;Grand Admiral Wei Luo is the long-serving chief-of-staff of the Confederate Space Command. With the entirety of Earth's military at his disposal, the aging admiral has been charged with restoring order in the Periphery and bringing the crisis to an end. Wei Luo himself is known to be loyal beyond all doubt - but his ambitious son Tao might have other ideas.;;;;;;;;;;;;;x
ERA_CHAR_INFO_11010155;Once merely a successful shipping magnate, Juan Lebedev found himself the victim of Confederate corruption when he sought to compete with Salazar Shipping, one of the five megacorporations that control Confederate politics. Shortly after his election as Governor-General of the Meissa Sector, Lebedev was caught in an assassination attempt that cost him his arm and nearly cost him his life. Now firmly convinced that the Confederation cannot be saved, he must lead a revolution to bring freedom to the Periphery, while dealing with his own ambitious admirals.;;;;;;;;;;;;;x
ERA_CHAR_INFO_1104683;Dispatched by the Confederate government to arrest Lebedev for treason, Orion native Navya Vasquez chose to defect and side with the rebel leader instead. Now, as commander of the Orion Armada, she is charged with commanding the rebel forces in battle against the greatest military force in history.;;;;;;;;;;;;;x
ERA_CHAR_INFO_1108425;The son of Jionese political activist Yukio Hasegawa, Shiro Hasegawa is convinced that the unfortunate shuttle accident that led to his father's death was nothing of the sort, and that Admiral Ryusei Sato had his former commander-in-chief assassinated to pave the way for his military coup. Now, serving in the Jion Space Attack Force as it prosecutes its own rebellion against the Confederation, Shiro secretly plots his revenge.;;;;;;;;;;;;;x
ERA_CHAR_INFO_1108489;For some, the late 30th century Crisis of the Confederation was a time of terrible tragedy and loss. For others, it was a time of great opportunity. Kaoru Maeda, the so-called Pirate Queen of the Core Witchhead, seeks to take advantage of the chaos to both enrich herself and expand the power of her criminal empire.;;;;;;;;;;;;;x
PROVINCE_LOOTED_SETUP;System Looted;Province pillée;Provinz geplündert;;Provincia Saqueada;;;;;;;;;x
PROVINCE_LOOTED_LOG;§Y$SETTLEMENTS$§! Planets in the §Y$PROVINCE$§! System have been looted by §Y$LOOTER$§!;Des propriétés de §Y$SETTLEMENTS$§! à §Y$PROVINCE$§! ont été pillées par §Y$LOOTER$§!;§Y$SETTLEMENTS$§! Liegenschaften in §Y$PROVINCE$§! wurden von §Y$LOOTER$§! geplündert;;§Y$SETTLEMENTS$§! Propiedades en §Y$PROVINCE$§! han sido saqueadas por §Y$LOOTER$§!;;;;;;;;;x
STARTED_LOOTING_SETUP;Space Pirates Appear;Des raiders surgissent;Plünderer erscheinen;;Aparecen Invasores;;;;;;;;;x
STARTED_LOOTING_LOG;Space pirates lead by the notorious §Y$RAIDER$§! have arrived to loot and pillage the §Y$PROVINCE$§! System.;Des raiders sous §Y$RAIDER$§! sont arrivés pour piller les §Y$VICTIM$§! du comté de §Y$PROVINCE$§!;Plünderer von §Y$RAIDER$§! sind zum Plündern und Brandschatzen in §Y$VICTIM$s? Land in §Y$PROVINCE$§! aufgetaucht;;Atacantes bajo §Y$RAIDER$§! han llegado para saquear en §Y$VICTIM$'s? condado de §Y$PROVINCE$§!;;;;;;;;;x
STARTED_LOOTING_NAVAL_SETUP;Space Pirates Appear;Des raiders vikings surgissent;Wikinger-Plünderer erscheinen;;Aparecen Invasores Vikingos;;;;;;;;;x
STARTED_LOOTING_NAVAL_LOG;A fleet of space pirates lead by the notorious §Y$RAIDER$§! has just come out of hyperspace in the §Y$PROVINCE$§! System.;On a aperçu les dragons de la proue des drakkars au large des côtes de §Y$PROVINCE$§! tandis que des vikings sous les ordres des puissants §Y$RAIDER$§! païens commencent à souiller et piller le comté ! ;Der Drachenbug von Langschiffen wurde an der Küste von §Y$PROVINCE$§! gesichtet, als Wikinger unter der Führung des wilden Heiden  §Y$RAIDER$§! begannen, das Land zu plündern.;;Los arcos de dragón de drakkars han sido avistados frente a la costa de §Y$PROVINCE$§! así como vikingos bajo el feroz paganismo §Y$RAIDER$§! comienzan a saquear el condado!;;;;;;;;;x
SETTLEMENT_LOOTED_SETUP;Planet Looted;Propriété pillée;Liegenschaft geplündert;;Propiedad Saqueada;;;;;;;;;x
MAPMODE_DUCHIES;§YDe Jure Sectors§!;§YDuchés de jure§!;§YDe Jure-Herzogtümer§!;;§YDucados de iure§!;;;;;;;;;x
MAPMODE_DUCHIES_DESC;This map mode shows the various sectors of the Known Worlds. Sector governments will strive to gain control of all worlds in their sector.;Ce mode de carte affiche tous les duchés géographiques et traditionnels (de Jure) dEurope.;Dieser Kartenmodus zeigt alle geografischen und traditionellen (rechtmäßigen) Herzogtümer Europas.;;Este modo de mapa muestra todos los ducados geográficos y tradicionales (de iure) de Europa.;;;;;;;;;x
MAPMODE_KINGDOMS;§YDe Jure Regions§!;§YRoyaumes de jure§!;§YDe Jure-Königreiche§!;;§YReino de iure§!;;;;;;;;;x
MAPMODE_KINGDOMS_DESC;This map mode shows the various traditional regions of the Known Worlds. Regional governments will strive to gain control of all worlds in their region.;Ce mode de carte affiche tous les royaumes géographiques et traditionnels (de Jure) dEurope.;Dieser Kartenmodus zeigt alle geografischen und traditionellen (rechtmäßigen) Königreiche Europas.;;Este modo de mapa muestra todos los reinos geográficos y tradicionales (de iure) de Europa.;;;;;;;;;x
MAPMODE_DEFACTO_COUNTIES;§YSystems§!;§YComtes§!;§YGrafen§!;;§YCondes§!;;;;;;;;;x
MAPMODE_DEFACTO_COUNTIES_DESC;This map mode shows all autonomous systems.;Ce mode de carte affiche tous les comtes.;Dieser Kartenmodus zeigt alle Grafen.;;Este mapa muestra todos los condes.;;;;;;;;;x
MAPMODE_DEFACTO_DUCHIES;§YSectors§!;§YDucs§!;§YHerzöge§!;;§YDuques§!;;;;;;;;;x
MAPMODE_DEFACTO_DUCHIES_DESC;This map mode shows all autonomous sectors.;Ce mode de carte affiche tous les ducs.;Dieser Kartenmodus zeigt alle Herzöge.;;Este mapa muestra todos los duques.;;;;;;;;;x
MAPMODE_DEFACTO_KINGDOMS;§YRegions§!;§YRois§!;§YKönige§!;;§YReyes§!;;;;;;;;;x
MAPMODE_DEFACTO_KINGDOMS_DESC;This map mode shows all autonomous regions.;Ce mode de carte affiche tous les rois.;Dieser Kartenmodus zeigt alle Könige.;;Este mapa muestra todos los reyes.;;;;;;;;;x
TOO_MANY_HELD_DUCHIES;Too Many Held Sectors;Trop de Duchés possédés;Zuviele Herzogtümer in Besitz;;Demasiados Ducados mantenidos.;;;;;;;;;x
