#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
real_insult;Insulted;Insulté;;;Insultado;;;;;;;;;x
real_gift;Send a gift;Envoyer un cadeau;;;Enviar un regalo;;;;;;;;;x
opinion_protected_me;Protected me from an enemy;M'a protégé d'un ennemi;;;Me protegió de un enemigo;;;;;;;;;x
interaction_lover;Lover;Amant;;;Amante;;;;;;;;;x
EVTDESC70034;[From.GetTitle] [From.GetFirstNameWithDynasty] has been crowned the winner of my tourney.;[From.GetTitle] [From.GetFirstNameWithDynasty] a été couronné vainqueur de mon tournoi.;;;[From.GetTitle] [From.GetFirstNameWithDynasty] ha sido coronado como el ganador de mi torneo.;;;;;;;;;x
EVTDESCinteraction.2;Interaction chain root (ignore and clik ok);Racine de la chaine d'interaction (ignorez et cliquez sur ok) ;;;Raíz de la cadena de interacción (ignorar y clik ok);;;;;;;;;x
EVTDESCinteraction.3;Interaction Menu. Select the category.;Menu d'interaction. Sélectionnez une catégorie.;;;Menú Interacción. Seleccione la categoría.;;;;;;;;;x
EVTDESCinteraction.4;Personal Menu;Menu Personnel;;;Menú Personal;;;;;;;;;x
EVTDESCinteraction.6;Action Menu;Menu Action;;;Menú de Acción;;;;;;;;;x
EVTDESCinteraction.23;You received a gift from [From.GetTitle] [From.GetFirstNameWithDynasty].;Vous avez reçu un cadeau de la part de [From.GetTitle] [From.GetFirstNameWithDynasty].;;;Has recibido un regalo de [From.GetTitle] [From.GetFirstNameWithDynasty].;;;;;;;;;x
EVTDESCINSULT;[Root.GetTitle] [Root.GetFirstName], I despise you. You are a [GetFromRootInsult] fool, and your [GetFromRootInsult] ways repulse me.\n\nSigned,\n[FromFrom.GetTitle] [FromFrom.GetFirstName] of House [FromFrom.GetOnlyDynastyName];[Root.GetTitle] [Root.GetFirstName], je vous méprise. Vous êtes un idiot, vos manières me révulsent.\n\nSigné,\n[FromFrom.GetTitle] [FromFrom.GetFirstName] de la Maison [FromFrom.GetOnlyDynastyName];;;[From.GetTitle] [From.GetFirstNameWithDynasty] ha llamado a tu madre puta barata.;;;;;;;;;x
EVTOPTAinteraction.2;Ok;OK;;;Bien;;;;;;;;;x
EVTOPTAinteraction.3;Personal;Personnel;;;Personal;;;;;;;;;x
EVTOPTDinteraction.3;Action;Action;;;Acción;;;;;;;;;x
NEVERMIND;Nevermind;Tant pis;;;Olvídalo;;;;;;;;;x
EVTOPTAinteraction.4;Send Gift;Envoyer un cadeau;;;Enviar un regalo;;;;;;;;;x
insult_character;Send Insult;Envoyer une insulte;;;Insultar;;;;;;;;;x
