#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;x
#Sectarianism;;;;;;;;;;;;;x
EVTDESC664350200;Infidels despise us because of our faith.;;;;;;;;;;;;;x
EVTOPTA664350200;Then we'll support each other!;;;;;;;;;;;;;x
EVTDESC664350201;Since my conversion, I don't feel the same solidarity I once felt with the community anymore.;;;;;;;;;;;;;x
EVTOPTA664350201;I think it's time to move on;;;;;;;;;;;;;x
EVTDESC664350202;Infidels hate us because of our faith.;;;;;;;;;;;;;x
EVTOPTA664350202;Then we shall never let conflicts within our group weaken us!;;;;;;;;;;;;;x
EVTDESC664350203;Since my conversion, I don't feel the sacred bond that I used to feel with my siblings-in-faith.;;;;;;;;;;;;;x
EVTOPTA664350203;They are an odd group...;;;;;;;;;;;;;x
sectarian_light;Communitarian;;;;;;;;;;;;;x
sectarian_light_desc;Communitarian religions are despised by others, but generate a strong solidarity within the community.;;;;;;;;;;;;;x
sectarian_heavy;Sectarian;;;;;;;;;;;;;x
sectarian_heavy_desc;Sectarian religions are hated by others, but generate a sacred bond within the group of the faithful.;;;;;;;;;;;;;x
#Holy Wars CB;;;;;;;;;;;;;x
CB_NAME_RELIGIOUS_PROSELYTE1;Holy War of Expansion to [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_RELIGIOUS_PROSELYTE1;$ORDER$$FIRST_ADJ$ Holy War of Expansion to $OTHER_TITLE$;;;;;;;;;;;;;x
religious_proselyte1_desc;We will inspire true believers to expand the true faith against heathens, under our spiritual leadership. Only true believers shall rule! At a high piety cost, proselyte religions can invade neighbouring realms ruled by characters of a different religious group.;;;;;;;;;;;;;x
religious_proselyte1_cb_succ_tip;§Y[Root.GetTitledFirstName]§! conquers all lands lying in the Duchy of §Y[This.GetBaseName]§! controlled by §Y[From.GetTitledName]§!\n;;;;;;;;;;;;;x
CB_NAME_RELIGIOUS_PROSELYTE2;Righteous War of Subjugation for [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_RELIGIOUS_PROSELYTE2;$ORDER$$FIRST_ADJ$ Righteous War of Subjugation for $OTHER_TITLE$;;;;;;;;;;;;;x
