#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
SHIPNAME;[Root.GetShipName];;;;;;;;;;;;;x
EVTOPTRENAMESHIP;Let me think of a better name, first.;;;;;;;;;;;;;x
SHIPNAMING_LOG;What would you like to name this ship?;;;;;;;;;;;;;x
hermes_class_corvette;Hermes-class Corvette;;;;;;;;;;;;;x
hermes_class_corvette_desc;A private corvette first laid down in 2989, the Hermes class is strongly associated with the bureaucrats of the late Confederate era, who found them indispensible for governing large interstellar territories.;;;;;;;;;;;;;x
shangri_la_class_yacht;Shangri La-class Yacht;;;;;;;;;;;;;x
shangri_la_class_yacht_desc;A luxury yacht first laid down in 2954, the Shangri La class is an opulent palace in the sky, heavily associated with the late Confederate ruling class and the very symbol of their decadence. Her lavishly appointed ballrooms are sure to make an impression.;;;;;;;;;;;;;x
calico_class_heavy_freighter;Calico-class Heavy Freighter;;;;;;;;;;;;;x
calico_class_heavy_freighter_desc;The first Calico-class heavy freighter was laid down in 2845, but her incredibly modular design, allowing extensive customization, made her an enduring fixture of the spacelanes through the end of the Confederate era. Many such freighters were actually "Q-ships", modified to conceal a surprisingly formidable battery of weapons.;;;;;;;;;;;;;x
bishamonten_class_dreadnought;Bishamonten-class Dreadnought;;;;;;;;;;;;;x
bishamonten_class_dreadnought_desc;The Bishamonten-class dreadnought, first laid down at the Olympus Shipyards in 2992, was the largest and most powerful ship ever fielded by the Confederate Space Command. Plated in multilayered Ares steel, she is nearly invincible when fighting near the heart of the action, though her poor turret tracking is a noteworthy issue.;;;;;;;;;;;;;x
ssf_59_dao_starfighter;SSF-59 Dao;;;;;;;;;;;;;x
ssf_59_dao_starfighter_desc;The SSF-59 "Dao" Starfighter emerged from its prototype phase in 2997, just in time for the Crisis of the Confederation. Armed with two Artemis missile launchers and a heavy laser turret, it is most notable for its great speed and maneuverability, allowing it to strike the enemy from nearly any angle.;;;;;;;;;;;;;x
valkyrie_urban_assault_armor;Valkyrie Urban Assault Armor;;;;;;;;;;;;;x
valkyrie_urban_assault_armor_desc;The favored superheavy power armor of late Confederate military commanders, the Valkyrie stands three meters tall and mounts a 90mm anti-tank autocannon in its right arm and an anti-infantry vulcan cannon in its left shoulder. It is also equipped with a command communications suite and jump jets.;;;;;;;;;;;;;x
ares_main_battle_tank;Ares Main Battle Tank;;;;;;;;;;;;;x
ares_main_battle_tank_desc;The premier main battle tank of the 2990s Confederate Army, the Ares is armed with a 120mm autocannon and a coaxial machine gun.;;;;;;;;;;;;;x
commission_a_corvette_decision;Commission a Corvette;;;;;;;;;;;;;x
commission_a_corvette_decision_desc;Underarmed and underarmored, corvettes make poor flagships. Their high speeds, however, make them indispensible for managing interstellar enterprises.;;;;;;;;;;;;;x
commission_a_freighter_decision;Commission a Q-ship;;;;;;;;;;;;;x
commission_a_freighter_decision_desc;A Q-ship is a fast ship with concealed weaponry, which can pass for a civilian freighter on sensors. The perfect tool for spymasters and pirates alike.;;;;;;;;;;;;;x
commission_a_dreadnought_decision;Commission a Dreadnought;;;;;;;;;;;;;x
commission_a_dreadnought_decision_desc;Not every fleet is commanded from the bridge of a dreadnought, but it's hard to think of a better candidate for your flagship. Dreadnoughts are heavily armored and fight in the very heart of the battle.;;;;;;;;;;;;;x
commission_a_yacht_decision;Commission a Yacht;;;;;;;;;;;;;x
commission_a_yacht_decision_desc;While not particularly useful for military purposes, a luxurious private yacht is the perfect way to display your wealth and power to others.;;;;;;;;;;;;;x
buy_a_fighter_decision;Purchase a Starfighter;;;;;;;;;;;;;x
buy_a_fighter_decision_desc;You can't be a fighter pilot without a fighter. Starfighters are light and fast, and good for flanking in combat.;;;;;;;;;;;;;x
buy_urban_assault_armor_decision;Purchase Urban Assault Armor;;;;;;;;;;;;;x
buy_urban_assault_armor_decision_desc;Urban Assault Armor is the heaviest form of power armor - so heavy that it's less "worn" and more "piloted". It's used for providing heavy fire support in urban areas, but it's also typically worn by commanding officers.;;;;;;;;;;;;;x
EVTTOOLTIPCOTCARTIFACT100;You will consider the available options for this kind of vehicle.;;;;;;;;;;;;;x
EVTDESCCOTCARTIFACT100;The local shipyards have the capacity to build a corvette, but you're still going to need time, money, and technology. The foreman lays out your options - what class of corvette do you want?;;;;;;;;;;;;;x
EVTOPTACOTCARTIFACT100;Hermes-class;;;;;;;;;;;;;x
HERMESDESC;A private corvette first laid down in 2989, the Hermes class is strongly associated with the bureaucrats of the late Confederate era, who found them indispensible for governing large interstellar territories.\n;;;;;;;;;;;;;x
EVTDESCCOTCARTIFACT101;After a long wait, your Hermes-class corvette, the [target_new_ship.GetName], has finally rolled out of the shipyards.;;;;;;;;;;;;;x
EVTDESCCOTCARTIFACT200;The local shipyards have the capacity to build a Q-ship, but you're still going to need time, money, and technology. The foreman lays out your options - what class of Q-ship do you want?;;;;;;;;;;;;;x
EVTOPTACOTCARTIFACT200;Calico-class;;;;;;;;;;;;;x
CALICODESC;The first Calico-class heavy freighter was laid down in 2845, but her incredibly modular design, allowing extensive customization, made her an enduring fixture of the spacelanes through the end of the Confederate era. Many such freighters were actually "Q-ships", modified to conceal a surprisingly formidable battery of weapons.\n;;;;;;;;;;;;;x
EVTDESCCOTCARTIFACT201;After a long wait, your Calico-class "heavy freighter", the [target_new_ship.GetName], has finally rolled out of the shipyards.;;;;;;;;;;;;;x
EVTDESCCOTCARTIFACT300;The local shipyards have the capacity to build a yacht, but you're still going to need time, money, and technology. The foreman lays out your options - what class of yacht do you want?;;;;;;;;;;;;;x
EVTOPTACOTCARTIFACT300;Shangri La-class;;;;;;;;;;;;;x
SHANGRILADESC;A luxury yacht first laid down in 2954, the Shangri La class is an opulent palace in the sky, heavily associated with the late Confederate ruling class and the very symbol of their decadence. Her lavishly appointed ballrooms are sure to make an impression.\n;;;;;;;;;;;;;x
EVTDESCCOTCARTIFACT301;After a long wait, your Shangri La-class luxury yacht, the [target_new_ship.GetName], has finally rolled out of the shipyards.;;;;;;;;;;;;;x
EVTDESCCOTCARTIFACT400;The local shipyards have the capacity to build a dreadnought, but you're still going to need time, money, and technology. The foreman lays out your options - what class of dreadnought do you want?;;;;;;;;;;;;;x
EVTOPTACOTCARTIFACT400;Bishamonten-class;;;;;;;;;;;;;x
BISHAMONTENDESC;The Bishamonten-class dreadnought, first laid down at the Olympus Shipyards in 2992, was the largest and most powerful ship ever fielded by the Confederate Space Command. Plated in multilayered Ares steel, she is nearly invincible when fighting near the heart of the action, though her poor turret tracking is a noteworthy issue.\n;;;;;;;;;;;;;x
EVTDESCCOTCARTIFACT401;After a long wait, your Bishamonten-class dreadnought, the [target_new_ship.GetName], has finally rolled out of the shipyards.;;;;;;;;;;;;;x
EVTDESCCOTCARTIFACT500;The local factories have the capacity to build a starfighter, but you're still going to need time, money, and technology. The foreman lays out your options - what model of fighter do you want?;;;;;;;;;;;;;x
EVTOPTACOTCARTIFACT500;SSF-59 "Dao";;;;;;;;;;;;;x
