#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_CRISIS_OF_THE_CONFEDERATION;Crisis of the Confederation;Crise de la Confédération;;;;;;;;;;;;x
BM_CRISIS_OF_THE_CONFEDERATION_DESC;It is the year 2998, and galactic civilization stands on the brink of collapse. Led by the charismatic politician Juan Lebedev, a coalition of periphery states have joined together in declaring their independence from the TERRAN CONFEDERATION.\n\nIn the face of this rebellion, the Confederation places its hopes in newly-elected President Morgan Afolayan and the good men and women of the CONFEDERATE SPACE COMMAND, charged with returning the defiant outer rim to Earth's control. As darkness falls across the galaxy, ships speed forth from Earth for the first great battle in nearly five hundred years...;Nous sommes en 2998, et la civilisation galactique est au bord de l'effondrement. Dirigée par le charismatique politicien Juan Lebedev, une coalition d'états périphériques se sont réunis pour déclarer leur indépendance de laConfédération terrienne.\n\nPour contrer cette rébellion, la Confédération a placé ses espoirs dans le nouveau président Morgan Afolayan et dans les bons citoyens et citoyennes de la Commandement Spatial Confédéré, chargés de faire revenir les rebelles de la ceinture extérieure sous le joug terrien. Alors que l'obscurité gagne à travers la galaxie, les navires accélèrent vers la Terre pour la plus grande bataille des cinq cents dernières années ...;;;;;;;;;;;;x
BM_ORION_LEAGUE;The Orion League;;;;;;;;;;;;;x
BM_ORION_LEAGUE_DESC;;;;;;;;;;;;;;x
BM_WARLORDS;Imperium Fractum;Seigneurs de la Guerre: Imperium Fractum;;;;;;;;;;;;x
BM_WARLORDS_DESC;The TERRAN CONFEDERATION, once synonymous with the very concept of human civilization, has collapsed underneath the weight of its failures. Terran Authority has all but evaporated and left none but powerful WARLORDS in charge of billions of souls as brother duels brother in mad attempts to restore the peace. \n\nIn the corners of burning cities and piles of wasted lives, some begin to question what lengths should they stoop to stop the chaos. With every million casualty "skirmish", the bar continues to descend.  With most of humanity in the hands of a few what will become of this once proud race? While some use their power to slowly rebuild, there are others who wish to put their mark on humanity forever.;;;;;;;;;;;;x
BM_WARLORDS2;Warlords;Seigneurs de la Guerre:La Periferia;;;;;;;;;;;;x
ERA_CHAR_INFO_11112833;"It takes a peculiar sort of mind to witness the horrors of the Crisis and still say, 'Yes, democracy will be our salvation.'"\n - Captain-General Tao Luo, 3007\n\nThe disasters of the late 30th century caused many Terrans to lose their faith in democracy. Terran Imperialists seek to unite humanity under the rule of a strong, authoritarian government centered on Earth.";;;;;;;;;;;;;x
ERA_CHAR_NAME_11112833; Tao Luo;;;;;;;;;;;;;x
ERA_CHAR_INFO_11113974;The daughter of former president Morgan, Lorane became the youngest CEO of the Afolayan Corporation when her mother was  imprisoned indefinitely by Captain-General Tao during his coup. With the support of the newly independent Zenye Nyota Angani, Lorane seeks justice against Tao and and the Terran Imperialists.;;;;;;;;;;;;;x
ERA_CHAR_NAME_11113974;Lorane Afolayan;;;;;;;;;;;;;x
ERA_CHAR_INFO_113167;Jakob is son to the infamous former president Owen, CEO of the Weyland Corporation, whose incompetent rule many say led to the Confederation's downfall. Can Jakob help the Frontier restore prosperity to the region and remove the stain from his family's reputation, or will the Weyland Corporation forever be remembered as the family whose transgressions unintentionally unraveled the Confederation into chaos?;;;;;;;;;;;;;x
ERA_CHAR_NAME_113167;Jakob Weyland II;;;;;;;;;;;;;x
ERA_CHAR_INFO_1234931;When Alejandra joined the Solar Cult against her family's wishes, the furthest thing on her mind was the prospect of ruling her family's Megacorporation, considering she was the youngest of several sisters and had conflicting values.  In the aftermath of the Confederate Civil War she seized control of the Vega Sector and the family corporation to become the only independent power ruled by the Solar Cult. With aggressive Terran Imperials on one side seeking to retake the de-jure Confederate land and end corporate rule, and the Pilgrim state of Tierra Celeste seeking to unite the region on the other, will Alejandra and the Salazar Corporation be able to endure?;;;;;;;;;;;;;x
ERA_CHAR_NAME_1234931;Alejandra Salazar;;;;;;;;;;;;;x
