#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
constitutional_crisis;Constitutional Crisis;;;;;;;;;;;;;x
constitutional_crisis_desc;This character is the nominal leader of a government currently undergoing a constitutional crisis.;;;;;;;;;;;;;x
crisis_term_limit_defied;Crisis: Defied Term Limit;;;;;;;;;;;;;x
crisis_term_limit_defied_desc;This character has reached the end of their current term of office, but has refused to hold elections, triggering a constitutional crisis.;;;;;;;;;;;;;x
crisis_dissolved_legislature;Crisis: Dissolved the Senate;;;;;;;;;;;;;x
crisis_dissolved_legislature_desc;This character has unilaterally dissolved the democratically elected legislature of their government, triggering a constitutional crisis.;;;;;;;;;;;;;x
crisis_refused_democratic_legislature_demand;Crisis: Refused to Found Democratic Legislature;;;;;;;;;;;;;x
crisis_refused_democratic_legislature_demand_desc;This character has refused a demand by their key local governors to create a democratically-elected legislature, triggering a constitutional crisis.;;;;;;;;;;;;;x
liege_for_ruler;Support From Superiors;;;;;;;;;;;;;x
liege_for_ruler_desc;This character's actions in the current constitutional crisis have been officially endorsed by their superiors.;;;;;;;;;;;;;x
liege_against_ruler;Opposition From Superiors;;;;;;;;;;;;;x
liege_against_ruler_desc;This character's actions in the current constitutional crisis have been officially denounced by their superiors.;;;;;;;;;;;;;x
law_for_ruler;Legal Mandate;;;;;;;;;;;;;x
law_for_ruler_desc;This character's actions in the current constitutional crisis are widely acknowledged as being the legally correct ones according to their government's constitution.;;;;;;;;;;;;;x
law_against_ruler;Illegal Actions;;;;;;;;;;;;;x
law_against_ruler_desc;This character's actions in the current constitutional crisis are widely considered to be a particularly blatant violation of their government's constitution.;;;;;;;;;;;;;x
public_for_emperor;Public Support - Federal;;;;;;;;;;;;;x
public_for_emperor_desc;The population of this system support the actions of the executive in the current federal constitutional crisis.;;;;;;;;;;;;;x
public_against_emperor;Public Opposition - Federal;;;;;;;;;;;;;x
public_against_emperor_desc;The population of this system oppose the actions of the executive in the current federal constitutional crisis.;;;;;;;;;;;;;x
public_for_king;Public Support - Regional;;;;;;;;;;;;;x
public_for_king_desc;The population of this system support the actions of the executive in the current regional constitutional crisis.;;;;;;;;;;;;;x
public_against_king;Public Opposition - Regional;;;;;;;;;;;;;x
public_against_king_desc;The population of this system oppose the actions of the executive in the current regional constitutional crisis.;;;;;;;;;;;;;x
public_for_duke;Public Support - Sector;;;;;;;;;;;;;x
public_for_duke_desc;The population of this system support the actions of the executive in the current sector-level constitutional crisis.;;;;;;;;;;;;;x
public_against_duke;Public Opposition - Sector;;;;;;;;;;;;;x
public_against_duke_desc;The population of this system oppose the actions of the executive in the current sector-level constitutional crisis.;;;;;;;;;;;;;x
public_for_count;Public Support - System;;;;;;;;;;;;;x
public_for_count_desc;The population of this system support the actions of the executive in the current local constitutional crisis.;;;;;;;;;;;;;x
public_against_count;Public Opposition - System;;;;;;;;;;;;;x
public_against_count_desc;The population of this system oppose the actions of the executive in the current local constitutional crisis.;;;;;;;;;;;;;x
pro_ruler;Pro-Ruler;;;;;;;;;;;;;x
pro_ruler_desc;This character has officially declared their support for their liege in the current constitutional crisis.;;;;;;;;;;;;;x
anti_ruler;Anti-Ruler;;;;;;;;;;;;;x
anti_ruler_desc;This character has officially declared their opposition to their liege in the current constitutional crisis.;;;;;;;;;;;;;x
EVTDESCLAWS300;The current crisis has seen the [Root.Liege.PrimaryTitle.GetFullName]'s leaders divided into two camps, those who support the [Root.Liege.GetTitle] and those who oppose [Root.Liege.GetHerHim]. You are considering lending [Root.Liege.GetHerHim] your support.;;;;;;;;;;;;;x
EVTDESCLAWS301;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: The poltiical situation\n[Root.GetFOA], I would like to make a proposal. Given the current political crisis, you are obviously in dire need of allies. I am willing to be one of those allies, in exchange for your good will in the future.;;;;;;;;;;;;;x
EVTDESCLAWS302;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: The political situation\nI have decided to accept your proposal. Provided you maintain your support for the duration of the crisis, I will ensure you that your future requests receive their proper consideration.;;;;;;;;;;;;;x
EVTDESCLAWS303;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: The political situation\nYou seem to be laboring under some confusion. I am the [From.GetTitle], you are not. Your service and support is your duty, and I am not required to hand out dog treats in order to receive it.;;;;;;;;;;;;;x
EVTDESCLAWS304;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: The political situation\n[Root.GetFOA], you once did me a great favor, and it seems that you yourself are now in need of assistance. Would you consider my debt repayed if I supported you in these troubled times?;;;;;;;;;;;;;x
EVTDESCLAWS305;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: The political situation\nYour proposal is accepted. So long as you maintain your support for the duration of the crisis, you may consider your debt to me to be repaid in full.;;;;;;;;;;;;;x
EVTDESCLAWS306;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: The political situation\nWhile I would, of course, appreciate any assistance you could offer, I had another form of repayment in mind. You may consider your allegiance in this matter to be an issue entirely unrelated to your debt.;;;;;;;;;;;;;x
EVTDESCLAWS310;The current crisis has seen the [Root.Liege.PrimaryTitle.GetFullName]'s leaders divided into two camps, those who support the [Root.Liege.GetTitle] and those who oppose [Root.Liege.GetHerHim]. You are considering officially declaring your opposition to [Root.Liege.GetHerHim].;;;;;;;;;;;;;x
EVTDESCLAWS320;You have been a loyal supporter of [Root.Liege.GetTitle] [Root.Liege.GetFullName] in this current crisis, but the situation is changing. Perhaps it is time to reconsider your support?;;;;;;;;;;;;;x
EVTDESCLAWS321;You have been a fervent opponent of [Root.Liege.GetTitle] [Root.Liege.GetFullName] in this current crisis, but the situation is changing. Perhaps it is time to reconsider your opposition?;;;;;;;;;;;;;x
EVTDESCLAWS400;'[Root.Liege.GetTitle] [Root.Liege.GetOnlyDynastyName] made a major appearance today, where [Root.Liege.GetSheHe] addressed the situation currently unfolding in [Root.PrimaryTitle.GetName]. The [Root.Liege.GetTitle] said that, quote, '[Root.GetTitle] [Root.GetOnlyDynastyName] is clearly in the right, and [Root.GetSheHe] has the full support of the [Root.Liege.PrimaryTitle.GetAdjective] government in this matter.'';;;;;;;;;;;;;x
EVTDESCLAWS401;'[From.Liege.GetTitle] [From.Liege.GetOnlyDynastyName] made a major appearance today, where [From.Liege.GetSheHe] addressed the situation currently unfolding in [From.PrimaryTitle.GetName]. The [From.Liege.GetTitle] said that, quote, '[From.GetTitle] [From.GetOnlyDynastyName] is clearly in the right, and [From.GetSheHe] has the full support of the [From.Liege.PrimaryTitle.GetAdjective] government in this matter.'';;;;;;;;;;;;;x
EVTOPTALAWS401;At least some people can listen to reason.;;;;;;;;;;;;;x
EVTOPTBLAWS401;How could [From.Liege.GetSheHe] be so blind?;;;;;;;;;;;;;x
EVTOPTCLAWS401;Even the [From.Liege.GetAdjective] government's getting involved now?;;;;;;;;;;;;;x
EVTDESCLAWS402;'[From.Liege.GetTitle] [From.Liege.GetOnlyDynastyName] made a major appearance today, where [From.Liege.GetSheHe] addressed the situation currently unfolding in [From.PrimaryTitle.GetName]. The [From.Liege.GetTitle] said that, quote, '[From.GetTitle] [From.GetOnlyDynastyName] is clearly in the right, and [From.GetSheHe] has the full support of the [From.Liege.PrimaryTitle.GetAdjective] government in this matter.'';;;;;;;;;;;;;x
EVTDESCLAWS403;'[Root.Liege.GetTitle] [Root.Liege.GetOnlyDynastyName] made a major appearance today, where [Root.Liege.GetSheHe] addressed the situation currently unfolding in [Root.PrimaryTitle.GetName]. The [Root.Liege.GetTitle] said that, quote, 'The [Root.Liege.PrimaryTitle.GetAdjective] government will not tolerate this blatant violation of the [Root.PrimaryTitle.GetAdjective] constitution.' When asked if [Root.Liege.GetSheHe] intended to take military action, the [Root.Liege.GetTitle] replied, 'No comment.'';;;;;;;;;;;;;x
EVTDESCLAWS404;'[From.Liege.GetTitle] [From.Liege.GetOnlyDynastyName] made a major appearance today, where [From.Liege.GetSheHe] addressed the situation currently unfolding in [Root.PrimaryTitle.GetName]. The [From.Liege.GetTitle] said that, quote, 'The [From.Liege.PrimaryTitle.GetAdjective] government will not tolerate this blatant violation of the [From.PrimaryTitle.GetAdjective] constitution.' When asked if [From.Liege.GetSheHe] intended to take military action, the [From.Liege.GetTitle] replied, 'No comment.'';;;;;;;;;;;;;x
EVTOPTALAWS404;How could [From.Liege.GetSheHe] be so blind?;;;;;;;;;;;;;x
EVTOPTBLAWS404;At least some people can listen to reason.;;;;;;;;;;;;;x
EVTOPTCLAWS404;Even the [From.Liege.GetAdjective] government's getting involved now?;;;;;;;;;;;;;x
EVTDESCLAWS405;'[From.Liege.GetTitle] [From.Liege.GetOnlyDynastyName] made a major appearance today, where [From.Liege.GetSheHe] addressed the situation currently unfolding in [Root.PrimaryTitle.GetName]. The [From.Liege.GetTitle] said that, quote, 'The [From.Liege.PrimaryTitle.GetAdjective] government will not tolerate this blatant violation of the [From.PrimaryTitle.GetAdjective] constitution.' When asked if [From.Liege.GetSheHe] intended to take military action, the [From.Liege.GetTitle] replied, 'No comment.'';;;;;;;;;;;;;x
EVTDESCLAWS406;[From.GetFullName], [From.PrimaryTitle.GetTitle] of the [From.PrimaryTitle.GetFullName], has publicly announced [From.GetHerHis] support for you in the current crisis.;;;;;;;;;;;;;x
EVTDESCLAWS407;[From.GetFullName], [From.PrimaryTitle.GetTitle] of the [From.PrimaryTitle.GetFullName], has publicly announced [From.GetHerHis] support for the [Root.Liege.GetTitle] in the current crisis.;;;;;;;;;;;;;x
EVTOPTALAWS407;At least some people can listen to reason.;;;;;;;;;;;;;x
EVTOPTBLAWS407;How could [From.GetSheHe] be so blind?;;;;;;;;;;;;;x
EVTDESCLAWS408;[From.GetFullName], [From.PrimaryTitle.GetTitle] of the [From.PrimaryTitle.GetFullName], has publicly announced [From.GetHerHis] opposition to you in the current crisis.;;;;;;;;;;;;;x
EVTDESCLAWS409;[From.GetFullName], [From.PrimaryTitle.GetTitle] of the [From.PrimaryTitle.GetFullName], has publicly announced [From.GetHerHis] opposition to the [Root.Liege.GetTitle] in the current crisis.;;;;;;;;;;;;;x
EVTOPTALAWS409;How could [From.GetSheHe] be so blind?;;;;;;;;;;;;;x
EVTOPTBLAWS409;At least some people can listen to reason.;;;;;;;;;;;;;x
EVTOPTCLAWS113;How dare [From.GetSheHe]?;;;;;;;;;;;;;x
EVTDESCLAWS113;In a shocking turn of events, [From.GetTitle] [From.GetOnlyDynastyName] has just announced that [From.GetSheHe] does not plan to seek re-election - or, in fact, to hold an election at all. [From.GetSheHeCap] has announced that [From.GetSheHe] intends to serve as [From.GetTitle] of the [From.PrimaryTitle.GetFullName] for life. This blatant violation of the [From.PrimaryTitle.GetFullName]'s constitution has triggered a massive outcry.;;;;;;;;;;;;;x
EVTOPTALAWS113;I stand with the [From.GetTitle].;;;;;;;;;;;;;x
EVTOPTBLAWS113;I should want to see how this plays out.;;;;;;;;;;;;;x
EVTOPTCLAWS113;How dare [From.GetSheHe]?;;;;;;;;;;;;;x
EVTDESCLAWS900;Through our incredible $PIETYNAME$ we have circumvented the Anti-Ruler faction and unilaterally dissolved the senate. The constitutional crisis is over, and you have won.;;;;;;;;;;;;;x
EVTOPTBLAWS900;The corrupt Senate shall be swept away, and a new era shall begin.;;;;;;;;;;;;;x
EVTDESCLAWS1000;The last members of the Anti-Ruler faction have finally conceded defeat. The constitutional crisis is over, and you have won.;;;;;;;;;;;;;x
EVTOPTALAWS1000;I shall now serve as [Root.GetTitle]-for-Life!;;;;;;;;;;;;;x
EVTOPTBLAWS1000;The corrupt Senate shall be swept away, and a new era shall begin.;;;;;;;;;;;;;x
EVTOPTCLAWS1000;The state will remain free from corrupt politicians.;;;;;;;;;;;;;x
EVTDESCLAWS1001;The constitutional crisis in the [From.PrimaryTitle.GetFullName] is now over. [From.GetTitle] [From.GetFullName] and [From.GetHerHis] supporters have won.;;;;;;;;;;;;;x
EVTDESCLAWS1010;The constitutional crisis racking the [Root.PrimaryTitle.GetFullName] has dragged on for too long. The state is beginning to crumble, and your opponents are too stubborn to see reason. Perhaps it is time you gave in to their demands, for the greater good.;;;;;;;;;;;;;x
EVTOPTALAWS1010;We will hold your damnable elections.;;;;;;;;;;;;;x
EVTOPTBLAWS1010;The Senate will be re-instated.;;;;;;;;;;;;;x
EVTOPTCLAWS1010;You may have your pathetic assembly.;;;;;;;;;;;;;x
EVTDESCLAWS1011;The constitutional crisis in the [From.PrimaryTitle.GetFullName] is now over. The opponents of [From.GetTitle] [From.GetFullName] have won.;;;;;;;;;;;;;x
faction_anti_ruler_short;Anti-[This.Liege.GetOnlyDynastyName];;;;;;;;;;;;;x
faction_anti_ruler_title;Anti-[This.Liege.GetOnlyDynastyName];;;;;;;;;;;;;x
faction_anti_ruler_desc;The members of this faction oppose the [This.Liege.GetTitle] in the ongoing constitutional crisis.;;;;;;;;;;;;;x
faction_pro_ruler_short;Pro-[This.Liege.GetOnlyDynastyName];;;;;;;;;;;;;x
faction_pro_ruler_title;Pro-[This.Liege.GetOnlyDynastyName];;;;;;;;;;;;;x
faction_pro_ruler_desc;The members of this faction support the [This.Liege.GetTitle] in the ongoing constitutional crisis.;;;;;;;;;;;;;x
declare_subversive_decision;Declare Subversive;;;;;;;;;;;;;x
declare_subversive_decision_desc;[This.GetFullName] currently opposes you in an ongoing constitutional crisis. Declaring [This.GetHerHim] to be guilty of subversive actions against the state would give you just cause to arrest [This.GetHerHim], but would be considered tyrannical by those who do not support you.;;;;;;;;;;;;;x
EVTDESCLAWS300;The [Root.Liege.GetTitle] has declared you guilty of subversive action against the state for opposing [Root.Liege.GetHerHim] in this constitutional crisis!;;;;;;;;;;;;;x
iamthesenate;I AM the senate!;;;;;;;;;;;;;x
i_am_the_senate_decision;End the Crisis;;;;;;;;;;;;;x
i_am_the_senate_decision_desc;Through your immense influence you can end this crisis and finalize the dissolution of the senate without needing to elimate the Anti-Ruler faction.;;;;;;;;;;;;;x
back_down_decision;Back Down;;;;;;;;;;;;;x
back_down_decision_desc;Back down from your decisions that triggered the crisis.;;;;;;;;;;;;;x
