#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOUSE;Family;Family;Family;;Family;;;;;;;;;x
fp_hq_1;Corporate Headquarters;;;;;;;;;;;;;x
fp_hq_1_desc;This is the company's main corporate headquarters. Inside its walls thousands of drones, stockbrokers and executives work to ensure the business's day-to-day operations run smoothly and profitably.;;;;;;;;;;;;;x
fp_hq_2;Medium Corporate Headquarters;;;;;;;;;;;;;x
fp_hq_2_desc;Already a massive interstellar company, the firms continued growth has forced it to expand, to the point where it now dominates the metropolis it resides in.;;;;;;;;;;;;;x
fp_hq_3;Large Corporate Headquarters;;;;;;;;;;;;;x
fp_hq_3_desc;Organisms grow or they die and the company is no exception. Its headquarters dominate, the region it is based in and satellite firm's campuses sprawl across the planet.;;;;;;;;;;;;;x
fp_hq_4;Massive Corporate Headquarters;;;;;;;;;;;;;x
fp_hq_4_desc;When people speak of "the Man" they think of you. Your headquarters is the defacto administrative center of the star system, a beating heart that brings life and wealth to all who draw near it.;;;;;;;;;;;;;x
fp_robotics_1;Robotics;;;;;;;;;;;;;x
fp_robotics_1_desc;The robotics engineering department manufactures advanced autonomous mechanisms for industrial, home and military use.;;;;;;;;;;;;;x
fp_robotics_2;Robotics;;;;;;;;;;;;;x
fp_robotics_2_desc;The provision of increased funding has at last allowed engineers in the robots department to meet the abnormally high standards for reliability they've set. While not glamorous it gives us a reputation for quality and a leg up over our competitors.;;;;;;;;;;;;;x
fp_robotics_3;Robotics;;;;;;;;;;;;;x
fp_robotics_3_desc;Further funds and expansion have allowed progress on the long delayed issue of artificial intelligence. It is a delicate balance between smart enough to be useful and constrained enough to not cause problems, but it appears you have traveled further down this path than anyone before if the ability of your engineers to beat the stock market with their new creations is any indication.;;;;;;;;;;;;;x
fp_randd_1;Research and Development;;;;;;;;;;;;;x
fp_randd_1_desc;The R & D department is tasked with discovering new technologies and inventing new products for the benefit of the company.;;;;;;;;;;;;;x
fp_industrial_1;Industrial Engineering;;;;;;;;;;;;;x
fp_industrial_1_desc;The industrial engineering department produces intermediate goods such as construction materials, chemicals and metal alloys for industrial processing.;;;;;;;;;;;;;x
fp_industrial_2;Industrial Engineering;;;;;;;;;;;;;x
fp_industrial_2_desc;Improvements in our firm's chemical and refining processes have resulted in the ability to exact usable raw materials from almost anything. While the market value of such items isn't extraordinary, the applications for industrial processes which demand a constant stream of raw material is incredible.;;;;;;;;;;;;;x
fp_industrial_3;Industrial Engineering;;;;;;;;;;;;;x
fp_industrial_3_desc;Our construction capabilities are unparalleled; our engineers can do anything from construct massive industrial plants on virgin planets, mine landfills, reshape continents and terraform worlds. The only thing outside their reach are projects on the scale of a ringworld... for now.;;;;;;;;;;;;;x
fp_consumer_1;Consumer Products;;;;;;;;;;;;;x
fp_consumer_1_desc;The consumer products department is tasked with the production and retail of common home and consumer use commodities, such as food, clothing and small appliances.;;;;;;;;;;;;;x
fp_consumer_2;Consumer Products;;;;;;;;;;;;;x
fp_consumer_2_desc;Standardized products like the ones originating from here are marked by very thin margins making every productivity gain hard fought. However the lessons learnt about efficiency, management and organization are universally applicable insuring the departments continued funding.;;;;;;;;;;;;;x
fp_consumer_3;Consumer Products;;;;;;;;;;;;;x
fp_consumer_3_desc;Nothing quite captures the sheer scale of your consumer good product line than the production of a trillion forks. If it is in a person's home there are good odds it was originally dreamt up here.;;;;;;;;;;;;;x
fp_transports_1;Transportation and Automotive;;;;;;;;;;;;;x
fp_transports_1_desc;The transportation and automotive department, besides producing a variety of vehicles (ranging from private hover cars to colossal tunnelers), also puts them to use, operating interstellar passenger and freight transport lines.;;;;;;;;;;;;;x
fp_transports_2;Transportation and Automotive;;;;;;;;;;;;;x
fp_transports_2_desc;The transportation division as diversified; no longer focused on just the just the private transportation and it shipping, now it produces a least one model in every product line. Sports jets, mopeds, rocket skateboards, dune buggies, long range cargo haulers- no matter if your world covered with urban centers or an untamed wilderness, you'll find a solution that fits your needs here.;;;;;;;;;;;;;x
fp_transports_3;Transportation and Automotive;;;;;;;;;;;;;x
