#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
COUNCILLORS;Ministers;Conseillers;Ratsmitglieder;;Consejeros;;;;;;;;;x
COURT_MENU;Cabinet;Conseil;Rat;;Consejo;;;;;;;;;x
PATRIARCHATE_TITLE;Jurisdiction of;;;;;;;;;;;;;x
AUTCEPHALOUS PATRIARCHS;National Administrations;;;;;;;;;;;;;x
AUTOCEPHALOUS_REL_HEAD_TITLE;Chief Administrator;;;;;;;;;;;;;x
;;;;;;;;;;;;;;;
REL_LIEGE_MALE;Liege;Président;Präsident;;Presidente;;;;;;;;;x
REL_LIEGE_FEMALE;Liege;Président;Präsident;;Presidente;;;;;;;;;x
;;;;;;;;;;;;;;;
emperor;President;Président;Präsident;;Presidente;;;;;;;;;x
emperor_female;President;Présidente;Präsident;Präsidentin;;Presidenta;;;;;;;;x
emperor_foa;Mister President;Monsieur le président;Herr Präsident;;Señor Presidente;;;;;;;;;x
emperor_foa_female;Madam President;Madame la présidente;Frau Präsidentin;;Señora Presidenta;;;;;;;;;x
emperor_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
emperor_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
empire_of;Confederation of;Confédération de;Bund;;Confederación de;;;;;;;;;x
empire;Confederation;Confédération;Bund;;Confederación;;;;;;;;;x
empires;Confederations;Confédérations;Bunds;;Confederaciónes;;;;;;;;;x
king;President;Président;Präsident;;Presidente;;;;;;;;;x
king_female;President;Présidente;Präsident;Präsidentin;;Presidenta;;;;;;;;x
king_foa;Mister President;Monsieur le président;Herr Präsident;;Señor Presidente;;;;;;;;;x
king_foa_female;Madam President;Madame la présidente;Frau Präsidentin;;Señora Presidenta;;;;;;;;;x
king_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
king_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
kingdom_of;Republic of;République de;Republik;;Republica de;;;;;;;;;x
kingdom;Republic;République;Republik;;República;;;;;;;;;x
kingdoms;Republics;Républiques;Republiken;;Repúblicas;;;;;;;;;x
duke;Governor-General;Gouverneur-Général;Generalgouverneur;;Gobernador-General;;;;;;;;;x
duke_female;Governor-General;Gouverneur-Général;Generalgouverneur;;Gobernador-General;;;;;;;;;x
duke_foa;Mister Governor;Monsieur le gouverneur;Herr Gouverneur;;Señor Gobernador;;;;;;;;;x
duke_foa_female;Madam Governor;Madame le gouverneur;Frau Gouverneur;;Señora Gobernador;;;;;;;;;x
duke_title_ruler_consort;Governor's Spouse;Epoux;;;;;;;;;;;x
duke_title_ruler_consort_female;Governor's Spouse;Dame;;;;;;;;;;;;x
duchy_of;Sector;Secteur;Sektor;;Sector;;;;;;;;;x
duchy;Sector;Secteur;Sektor;;Sector;;;;;;;;;x
duchies;Sectors;Secteurs;Sektorin;;Sectores;;;;;;;;;x
count;Governor;Gouverneur;Gouverneur;;Gobernador;;;;;;;;;x
count_female;Governor;Gouverneur;Gouverneur;;Gobernador;;;;;;;;;x
