#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_primary_q_0;Outpost;;;;;;;;;;;;;x
ca_primary_q_0_desc;This world holds only a single, small settlement, barely worthy of the title. There are no permanent inhabitants here - it is inhabited only by a crew of a few hundred at most, assigned here as part of their duties.;;;;;;;;;;;;;x
ca_primary_q_1;Colony;;;;;;;;;;;;;x
ca_primary_q_1_desc;This world is inhabited, but only just. There may be anywhere from a few hundred to a thousand people on the world, and at least a few of them have decided to make their homes here permanently.;;;;;;;;;;;;;x
ca_primary_q_2;Inhabited World;;;;;;;;;;;;;x
ca_primary_q_2_desc;This world has a significant permanent population, measuring in the hundreds of thousands. Most of the population live in rural farming communities, with the only real city being the capital.;;;;;;;;;;;;;x
ca_primary_q_3;Urbanized World;;;;;;;;;;;;;x
ca_primary_q_3_desc;This world has a large permanent population, numbering in the millions. While a narrow majority of the population still live in rural farming communities, there are also many major cities.;;;;;;;;;;;;;x
ca_primary_q_4;Conurbanized World;;;;;;;;;;;;;x
ca_primary_q_4_desc;This world has a huge permanent population, numbering in the billions. The majority of the population live in cities, and the largest such have spread out to the point where it often difficult to tell where one city ends and the next begins.;;;;;;;;;;;;;x
ca_primary_q_5;Ecumenopolis;;;;;;;;;;;;;x
ca_primary_q_5_desc;This world supports an unthinkably vast population, numbering in the trillions. With the exception of designated agricultural areas, the entire world has effectively become consumed by ubanization and transformed into a single contiguous city-scape.;;;;;;;;;;;;;x
ca_gunship_hangar_q_1;Gunship Hangar;;;;;;;;;;;;;x
ca_gunship_hangar_q_1_desc;This small hangar is used to store the few gunships of the local militia. These gunships are used for local law enforcement and to deter the casual pirate. They work by launching kinetic projectiles at a short range at ships that for any reason can't dodge but might have point-defense, for example troop transports, or normal passenger transports that might be carrying criminals or illegal cargo, these ships can't dodge the Gunships bullets without harming their occupants. Sadly, gunships are almost totally useless in long range.;;;;;;;;;;;;;x
ca_gunship_hangar_q_2;Gunship Hangar;;;;;;;;;;;;;x
ca_gunship_hangar_q_2_desc;This small hangar is used to store the few gunships of the local militia. These gunships are used for local law enforcement and to deter the casual pirate. They work by launching kinetic projectiles at a short range at ships that for any reason can't dodge but might have point-defense, for example troop transports, or normal passenger transports that might be carrying criminals or illegal cargo, these ships can't dodge the Gunships bullets without harming their occupants. Sadly, gunships are almost totally useless in long range.;;;;;;;;;;;;;x
ca_gunship_hangar_q_3;Gunship Hangar and Repair Complex;;;;;;;;;;;;;x
