#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ct_primary_q_0;Outpost;;;;;;;;;;;;;x
ct_primary_q_0_desc;This world holds only a single, small settlement, barely worthy of the title. There are no permanent inhabitants here - it is inhabited only by a crew of a few hundred at most, assigned here as part of their duties.;;;;;;;;;;;;;x
ct_primary_q_1;Colony;;;;;;;;;;;;;x
ct_primary_q_1_desc;This world is inhabited, but only just. There may be anywhere from a few hundred to a thousand people on the world, and at least a few of them have decided to make their homes here permanently.;;;;;;;;;;;;;x
ct_primary_q_2;Inhabited World;;;;;;;;;;;;;x
ct_primary_q_2_desc;This world has a significant permanent population, measuring in the hundreds of thousands. Most of the population live in rural farming communities, with the only real city being the capital.;;;;;;;;;;;;;x
ct_primary_q_3;Urbanized World;;;;;;;;;;;;;x
ct_primary_q_3_desc;This world has a large permanent population, numbering in the millions. While a narrow majority of the population still live in rural farming communities, there are also many major cities.;;;;;;;;;;;;;x
ct_primary_q_4;Conurbanized World;;;;;;;;;;;;;x
ct_primary_q_4_desc;This world has a huge permanent population, numbering in the billions. The majority of the population live in cities, and the largest such have spread out to the point where it often difficult to tell where one city ends and the next begins.;;;;;;;;;;;;;x
ct_primary_q_5;Ecumenopolis;;;;;;;;;;;;;x
ct_primary_q_5_desc;This world supports an unthinkably vast population, numbering in the trillions. With the exception of designated agricultural areas, the entire world has effectively become consumed by ubanization and transformed into a single contiguous city-scape.;;;;;;;;;;;;;x
ct_police_patrols_q_1;Police Patrols;;;;;;;;;;;;;x
ct_police_patrols_q_1_desc;A network of law enforcement infrastructure to help both with dealing with the worst parts of society and as a second line of defence against outside threats should the military fleets be destroyed.;;;;;;;;;;;;;x
ct_police_patrols_q_2;Police Patrols;;;;;;;;;;;;;x
ct_police_patrols_q_2_desc;Normal police organization is set up to be most effective at dealing with crime, but we have now developed a parallel military structure that police patrols can snap into. While nowhere as effective as a dedicated military organization it provides an improvement on the police's wartime capability.;;;;;;;;;;;;;x
ct_police_patrols_q_3;Police Patrols;;;;;;;;;;;;;x
ct_police_patrols_q_3_desc;Police, like most second line forces, tend to operate on hand me downs- craft that is obsolete, has limited capabilities or a few years from the scrapyard. Upgrading them to more modern capabilities insures that they can now go toe to toe with military craft which is an important consideration when dealing with pirates.;;;;;;;;;;;;;x
ct_police_patrols_q_4;Police Patrols;;;;;;;;;;;;;x
ct_police_patrols_q_4_desc;Coordinating training with the military and local reservists boosts the skill level of police, increasing their survivability in combat and ability to catch criminals who attempt evasive maneuvers learnt from military training.;;;;;;;;;;;;;x
ct_police_patrols_q_5;Police Patrols;;;;;;;;;;;;;x
ct_police_patrols_q_5_desc;One of the largest differences between civilians and the military the sheer amount of repair capacity the latter keeps in the reserve. While it is impractical to have this adopted for the police, some of the basic methods reduce the time spent in the repair bay and increase the number of effective patrol craft the police have on hand.;;;;;;;;;;;;;x
ct_bomb_shelters_q_1;Bomb Shelters;;;;;;;;;;;;;x
ct_bomb_shelters_q_1_desc;Underground or highly fortified bunkers for citizens to hide in during enemy assaults and to keep emergency provisions in.  These help delay capture from enemies and make direct assaults much more costly to undertake.;;;;;;;;;;;;;x
ct_bomb_shelters_q_2;Bomb Shelters;;;;;;;;;;;;;x
ct_bomb_shelters_q_2_desc;Reaching a shelter is often an issue for citizens so mass transit has been beefed up with emergency vehicles to allow evacuation without compromising military measures. Shelters have also been reinforced to deal with the stress caused by the new openings.;;;;;;;;;;;;;x
ct_bomb_shelters_q_3;Bomb Shelters;;;;;;;;;;;;;x
ct_bomb_shelters_q_3_desc;The most terrifying eventuality for a person trapped in a shelter is a direct hit or being buried alive. We've built short range intercepting lasers to make direct hits glancing hits and provided mobile earth movers for most of the primary shelters, allowing them to dig themselves out in a worst case scenario.;;;;;;;;;;;;;x
