#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tp_primary_q_0;Outpost;;;;;;;;;;;;;x
tp_primary_q_0_desc;This world holds only a single, small settlement, barely worthy of the title. There are no permanent inhabitants here - it is inhabited only by a crew of a few hundred at most, assigned here as part of their duties.;;;;;;;;;;;;;x
tp_primary_q_1;Colony;;;;;;;;;;;;;x
tp_primary_q_1_desc;This world is inhabited, but only just. There may be anywhere from a few hundred to a thousand people on the world, and at least a few of them have decided to make their homes here permanently.;;;;;;;;;;;;;x
tp_primary_q_2;Inhabited World;;;;;;;;;;;;;x
tp_primary_q_2_desc;This world has a significant permanent population, measuring in the hundreds of thousands. Most of the population live in rural farming communities, with the only real city being the capital.;;;;;;;;;;;;;x
tp_primary_q_3;Urbanized World;;;;;;;;;;;;;x
tp_primary_q_3_desc;This world has a large permanent population, numbering in the millions. While a narrow majority of the population still live in rural farming communities, there are also many major cities.;;;;;;;;;;;;;x
tp_primary_q_4;Conurbanized World;;;;;;;;;;;;;x
tp_primary_q_4_desc;This world has a huge permanent population, numbering in the billions. The majority of the population live in cities, and the largest such have spread out to the point where it often difficult to tell where one city ends and the next begins.;;;;;;;;;;;;;x
tp_primary_q_5;Ecumenopolis;;;;;;;;;;;;;x
tp_primary_q_5_desc;This world supports an unthinkably vast population, numbering in the trillions. With the exception of designated agricultural areas, the entire world has effectively become consumed by ubanization and transformed into a single contiguous city-scape.;;;;;;;;;;;;;x
tp_hospital_q_1;Hospital;;;;;;;;;;;;;x
tp_hospital_q_1_desc;A medical wing of the settlement.  The wing is equipped to handle the treatment of regular injuries and illnesses.  While not large enough to handle a large scale pandemic, the facility is capable of doing regular checkups on a large part of the local population, helping to boost their resistance to disease.\n\nSpecial Effects:\n*Characters in this system will recover from injuries and illness faster (only one per system effective).\n*Sickly children born in this system will be treated for it (only one per system effective).\n(DOES NOT ACTUALLY DO ANYTHING!);;;;;;;;;;;;;x
tp_hospital_q_2;Hospital and Pharmacy;;;;;;;;;;;;;x
tp_hospital_q_2_desc;An expanded medical wing and pharmaceutical plant.  This larger facility provides vaccines and medicine to the local population, greatly improving their resistance against disease outbreaks and overall health.\n\nSpecial Effects:\n*Characters in this system will recover from injuries and illness faster (only one per system effective).\n*Sickly children born in this system will be treated for it (only one per system effective).\n*All characters in this system gain one extra point of health (only one per system effective).\n(DOES NOT ACTUALLY DO ANYTHING!);;;;;;;;;;;;;x
tp_hospital_q_3;Expanded Hospital;;;;;;;;;;;;;x
tp_hospital_q_3_desc;This hospital has been outfitted with the most advanced of medical equipment and production facilities.  The most notable addition is a large biology lab with a stem cell culturing center.  It's also been expanded to a very large size, capable of accepting a huge number of people into safe quarantine if necessary.\n\nSpecial Effects:\n*Characters in this system will recover from injuries and illness faster (only one per system effective).\n*Sickly children born in this system will be treated for it (only one per system effective).\n*All characters in this system gain one extra point of health (only one per system effective).\n*The owner of this system can have new body parts grown for them, allowing them to recover from being castrated, blinded, or maimed (only one per system effective).\n(DOES NOT ACTUALLY DO ANYTHING!);;;;;;;;;;;;;x
tp_cybernetics_lab_q_1;Cybernetics Lab;;;;;;;;;;;;;x
tp_cybernetics_lab_q_1_desc;A side wing of the hospital dedicated towards grafting mechanical parts onto human bodies and brains.  This medical field is generally referred to as "cybernetics".  Anyone wanting to get implants or mechanical enhancements for themselves will need to control one of these labs in their personal demain.  Controlling multiple cybernetics labs will give no additional benefits.\n\nSpecial Effects:\n*Enables the use of basic implants.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_cybernetics_lab_q_2;Cybernetics Lab;;;;;;;;;;;;;x
tp_cybernetics_lab_q_2_desc;A side wing of the hospital dedicated towards grafting mechanical parts onto human bodies and brains.  This medical field is generally referred to as "cybernetics".  Anyone wanting to get implants or mechanical enhancements for themselves will need to control one of these labs in their personal demain.  Controlling multiple cybernetics labs will give no additional benefits.\n\nSpecial Effects:\n*Enables the use of basic implants.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_cybernetics_lab_q_3;Cybernetics Lab;;;;;;;;;;;;;x
tp_cybernetics_lab_q_3_desc;A side wing of the hospital dedicated towards grafting mechanical parts onto human bodies and brains.  This medical field is generally referred to as "cybernetics".  Anyone wanting to get implants or mechanical enhancements for themselves will need to control one of these labs in their personal demain.  Controlling multiple cybernetics labs will give no additional benefits.\n\nSpecial Effects:\n*Enables the use of basic implants.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_biogenetics_lab_q_1;Biogenetics lab;;;;;;;;;;;;;x
tp_biogenetics_lab_q_1_desc;A side wing of the hospital built to perform gene therapy and human cloning.  This medical field is generally referred to as "Biogeneitcs".  Anyone wanting to create clones of themselves will need to control one of these labs in their personal demain.  Controlling multiple biogenetics labs will give no additional benefits.\n\nSpecial Effects:\n*Enables cloning yourself.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_biogenetics_lab_q_2;Biogenetics lab;;;;;;;;;;;;;x
tp_biogenetics_lab_q_2_desc;A side wing of the hospital built to perform gene therapy and human cloning.  This medical field is generally referred to as "Biogeneitcs".  Anyone wanting to create clones of themselves will need to control one of these labs in their personal demain.  Controlling multiple biogenetics labs will give no additional benefits.\n\nSpecial Effects:\n*Enables cloning yourself.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_biogenetics_lab_q_3;Biogenetics lab;;;;;;;;;;;;;x
tp_biogenetics_lab_q_3_desc;A side wing of the hospital built to perform gene therapy and human cloning.  This medical field is generally referred to as "Biogeneitcs".  Anyone wanting to create clones of themselves will need to control one of these labs in their personal demain.  Controlling multiple biogenetics labs will give no additional benefits.\n\nSpecial Effects:\n*Enables cloning yourself.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_social_sciences_lab_q_1;Social Sciences Lab;;;;;;;;;;;;;x
tp_social_sciences_lab_q_1_desc;A special section of the base built for doing sociology and political studies.  It also doubles as an effective place to plan, organize, and manage political campaigns.  Anyone wanting to _______ will need to control at least one of these labs in their personal demain.  Controlling multiple Social Science labs will give no additional benefits.\n\nSpecial Effects:\n*Undecided.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_social_sciences_lab_q_2;Social Sciences Lab;;;;;;;;;;;;;x
tp_social_sciences_lab_q_2_desc;A special section of the base built for doing sociology and political studies.  It also doubles as an effective place to plan, organize, and manage political campaigns.  Anyone wanting to _______ will need to control at least one of these labs in their personal demain.  Controlling multiple Social Science labs will give no additional benefits.\n\nSpecial Effects:\n*Undecided.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_social_sciences_lab_q_3;Social Sciences Lab;;;;;;;;;;;;;x
tp_social_sciences_lab_q_3_desc;A special section of the base built for doing sociology and political studies.  It also doubles as an effective place to plan, organize, and manage political campaigns.  Anyone wanting to _______ will need to control at least one of these labs in their personal demain.  Controlling multiple Social Science labs will give no additional benefits.\n\nSpecial Effects:\n*Undecided.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_theological_school_q_1;Theological School;;;;;;;;;;;;;x
tp_theological_school_q_1_desc;A special section of the base built for studying theology and psychology.  Large scale religious activities and events can also be planned and coordinated at this lab.  Anyone wanting to do public charity to increase their standing or wide reaching religious activities will need to control at least one of these labs in their personal demain.  Controlling multiple Social Science labs will give no additional benefits.\n\nSpecial Effects:\n*Can donate money for bonus influence if following a non-religious ideology.\n*Can donate money for bonus piety if following a religious ideology.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_theological_school_q_2;Theological School;;;;;;;;;;;;;x
tp_theological_school_q_2_desc;A special section of the base built for studying theology and psychology.  Large scale religious activities and events can also be planned and coordinated at this lab.  Anyone wanting to do public charity to increase their standing or wide reaching religious activities will need to control at least one of these labs in their personal demain.  Controlling multiple Social Science labs will give no additional benefits.\n\nSpecial Effects:\n*Can donate money for bonus influence if following a non-religious ideology.\n*Can donate money for bonus piety if following a religious ideology.\n\nNo additional special effects are gained for upgrading this lab at present time.;;;;;;;;;;;;;x
tp_theological_school_q_3;Theological School;;;;;;;;;;;;;x
