#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
String_blank;[e_rebels.Holder.GetName];;;;;;;;;;;;;x
String_hers_cap;Hers;;;;;;;;;;;;;x
String_his_cap;His;;;;;;;;;;;;;x
String_duel_opponent;your opponent;;;;;;;;;;;;;x
String_duel_opponent_cap;Your opponent;;;;;;;;;;;;;x
String_duel_opponent_full_name;[This.GetFirstName] [This.GetOnlyDynastyName];;;;;;;;;;;;;x
String_duel_opponent_first_name;[This.GetFirstName];;;;;;;;;;;;;x
String_duel_opponent_last_name;[This.GetOnlyDynastyName];;;;;;;;;;;;;x
String_duel_opponent_titled_last_name;[This.GetTitle] [This.GetOnlyDynastyName];;;;;;;;;;;;;x
String_duel_opponent_titled_first_name;[This.GetTitle] [This.GetFirstName];;;;;;;;;;;;;x
EVTDESCNEWDUEL0;[Root.GetDuelText];;;;;;;;;;;;;x
String_enemy_unspotted;You can hear movement, but can't make our your target amid the [Root.GetLocationDescription]. There's definitely someone out there, though.;;;;;;;;;;;;;x
String_bombed_out_buildings;bombed out buildings;;;;;;;;;;;;;x
String_narrow_streets;narrow streets;;;;;;;;;;;;;x
String_narrow_corridors;narrow corridors;;;;;;;;;;;;;x
String_enemy_spotted_on_foot;[GetSpottingContext]. [From.GetSheHeCap] is on foot, [From.GetEquipmentBasic], and [From.GetDuelAction].[From.GetDuelistHealthAdvice];;;;;;;;;;;;;x
String_on_an_open_field;The open field gives you a clear view of your opponent;;;;;;;;;;;;;x
String_after_first_round;Now that they're out in the open, you have a clear view of your opponent;;;;;;;;;;;;;x
String_martial_spotting_bonus;Your opponent thinks they have the drop on you, but you've already sighted them;;;;;;;;;;;;;x
String_no_equipment;armed with an assault rifle;;;;;;;;;;;;;x
String_no_equipment_melee;armed with a sword;;;;;;;;;;;;;x
String_weapon_equipped;armed with [This.my_weapon.GetBasicEquipmentDescription];;;;;;;;;;;;;x
String_an_assault_rifle;an assault rifle;;;;;;;;;;;;;x
String_a_sniper_rifle;a sniper rifle;;;;;;;;;;;;;x
String_a_laser_rifle;a laser rifle;;;;;;;;;;;;;x
String_a_plasma_rifle;a plasma rifle;;;;;;;;;;;;;x
String_an_anti_tank_rifle;an anti-tank rifle;;;;;;;;;;;;;x
String_a_missile_launcher;a missile launcher;;;;;;;;;;;;;x
String_a_plasma_cannon;a plasma cannon;;;;;;;;;;;;;x
String_a_handgun;a handgun;;;;;;;;;;;;;x
String_a_hand laser;a hand laser;;;;;;;;;;;;;x
String_a_plasma_pistol;a plasma pistol;;;;;;;;;;;;;x
String_a_rocket_pistol;a rocket pistol;;;;;;;;;;;;;x
String_a_sword;a sword;;;;;;;;;;;;;x
String_a_pneumatic_hammer;a pneumatic hammer;;;;;;;;;;;;;x
String_a_plasma_cutter;a plasma cutter;;;;;;;;;;;;;x
String_a_laser_sword;a beam sword;;;;;;;;;;;;;x
String_armor_equipped;armed with an assault rifle and wearing [This.my_armor.GetBasicEquipmentDescription];;;;;;;;;;;;;x
String_armor_equipped_melee;armed with a sword and wearing [This.my_armor.GetBasicEquipmentDescription];;;;;;;;;;;;;x
String_body_armor;body armor;;;;;;;;;;;;;x
String_power_armor;power armor;;;;;;;;;;;;;x
String_weapon_and_armor_equipped;armed with [This.my_weapon.GetBasicEquipmentDescription] and wearing [This.my_armor.GetBasicEquipmentDescription];;;;;;;;;;;;;x
String_taking_cover;taking cover behind a [GetRandomCover];;;;;;;;;;;;;x
