#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCLAWS4001;[From.GetTitle] [From.GetFullName]'s current term of office has expired, but [From.GetSheHe] is refusing to hold elections. This blatant defiance of constitutional law has triggered a constitutional crisis.;;;;;;;;;;;;;x
EVTDESCLAWS4000;You have served in one of your current elected offices for a year since the last election, and your term is now coming to an end, meaning you must hold a new election. These elections are mandated by the constitution, and you will cause a constitutional crisis if your refuse. One you agree, you will be committed to the outcome.;;;;;;;;;;;;;x
EVTDESCLAWS4100;You have served in one of your current elected offices for four years since the last election, and your term is now coming to an end, meaning you must hold a new election. These elections are mandated by the constitution, and you will cause a constitutional crisis if your refuse. One you agree, you will be committed to the outcome.;;;;;;;;;;;;;x
EVTDESCLAWS4200;You have served in one of your current elected offices for six years since the last election, and your term is now coming to an end, meaning you must hold a new election. These elections are mandated by the constitution, and you will cause a constitutional crisis if your refuse. One you agree, you will be committed to the outcome.;;;;;;;;;;;;;x
EVTDESCLAWS4300;You have served in one of your current elected offices for ten years since the last election, and your term is now coming to an end, meaning you must hold a new election. These elections are mandated by the constitution, and you will cause a constitutional crisis if your refuse. One you agree, you will be committed to the outcome.;;;;;;;;;;;;;x
EVTDESCLAWS5000;You have agreed to hold elections for some of your currently held titles. All major state institutions have placed their support behind this election, so you will not be able to defy the result.;;;;;;;;;;;;;x
EVTTOOLTIPLAWS5100;will be your challenger in a Federal Election. Votes will be cast by the members of a Federal Council.;;;;;;;;;;;;;x
EVTTOOLTIPLAWS5200;will be your challenger in a Popular Election. Votes will be cast by all eligible citizens.;;;;;;;;;;;;;x
EVTDESCLAWS5100;Elections have been called, and you are [From.GetTitle] [From.GetFullName]'s primary challenger. This is a Federal Election - votes will be cast by the sitting members of a Federal Council.;;;;;;;;;;;;;x
EVTDESCLAWS5105;As a member of the [FromFrom.PrimaryTitle.GetAdjective] Federal Council, you have the authority to vote on its leader. Elections are currently being held, and [From.GetFullName] is challenging the incumbent, [FromFrom.GetFullName]. Who do you vote for?;;;;;;;;;;;;;x
EVTOPTALAWS5105;The incumbent, [FromFrom.GetFullName].;;;;;;;;;;;;;x
EVTOPTBLAWS5105;The challenger, [From.GetFullName].;;;;;;;;;;;;;x
EVTDESCLAWS5110;You have lost a Federal Election to [From.GetFullName] and must cede all relevant titles.;;;;;;;;;;;;;x
EVTDESCLAWS5115;You have just won a Federal Election in the [From.GetFullName]!;;;;;;;;;;;;;x
EVTDESCLAWS5116;[From.GetFullName] has just won a Federal Election and now controls the [From.GetFullName].;;;;;;;;;;;;;x
EVTDESCLAWS5120;[From.GetFullName] failed to defeat you in a Federal Election, and you have been re-elected.;;;;;;;;;;;;;x
EVTDESCLAWS5125;You failed to defeat [From.GetFullName] in a Federal Election.;;;;;;;;;;;;;x
EVTDESCLAWS5126;[From.GetFullName] has been re-elected in a Federal Election.;;;;;;;;;;;;;x
EVTDESCLAWS5200;Elections have been called, and you are [From.GetTitle] [From.GetFullName]'s primary challenger. This is a Popular Election - votes will be cast by all eligible citizens.;;;;;;;;;;;;;x
EVTDESCLAWS5205;As a [FromFrom.PrimaryTitle.GetAdjective] citizen, you are eligible to vote in the current general election. [From.GetFullName] is challenging the incumbent, [FromFrom.GetFullName]. Who do you vote for?;;;;;;;;;;;;;x
EVTOPTALAWS5205;The incumbent, [FromFrom.GetFullName].;;;;;;;;;;;;;x
EVTOPTBLAWS5205;The challenger, [From.GetFullName].;;;;;;;;;;;;;x
EVTDESCLAWS5212;You have just won a Popular Election in the [Root.PrimaryTitle.GetFullName] and succeeded [From.GetFullName] as [Root.GetTitle]!;;;;;;;;;;;;;x
EVTDESCLAWS5213;[From.GetFullName] has just won a Popular Election and now controls the [From.PrimaryTitle.GetFullName].;;;;;;;;;;;;;x
EVTDESCLAWS5210;You have lost a Popular Election to [From.GetFullName] and must cede all relevant titles.;;;;;;;;;;;;;x
EVTDESCLAWS5215;You have just won a Popular Election in the [From.GetFullName]!;;;;;;;;;;;;;x
EVTDESCLAWS5216;[From.GetFullName] has just won a Popular Election and now controls the [From.GetFullName].;;;;;;;;;;;;;x
EVTDESCLAWS5220;[From.GetFullName] failed to defeat you in a Popular Election, and you have been re-elected.;;;;;;;;;;;;;x
EVTDESCLAWS5225;You failed to defeat [From.GetFullName] in a Popular Election.;;;;;;;;;;;;;x
EVTDESCLAWS5226;[From.GetFullName] has been re-elected in a Popular Election.;;;;;;;;;;;;;x
generic_election_rules;Elections;;;;;;;;;;;;;x
votes_from_population_tt;This is the representative of the population of [This.representative_of.GetName];;;;;;;;;;;;;x
votes_from_population_space_tt;This is the representative of the habitat population of [This.representative_of.GetName];;;;;;;;;;;;;x
election_age_tt;Life Experience is important;;;;;;;;;;;;;x
election_martial_tt;I like the candidate Martial skills;;;;;;;;;;;;;x
election_diplomacy_tt;I like the candidate Diplomatic skills;;;;;;;;;;;;;x
election_intrigue_tt;I like the candidate Intrigue skills;;;;;;;;;;;;;x
election_stewardship_tt;I like the candidate Stewardship skills;;;;;;;;;;;;;x
election_learning_tt;I like the candidate Learning skills;;;;;;;;;;;;;x
election_piety_tt;Candidate's Political Power;;;;;;;;;;;;;x
election_prestige_tt;Candidate's Prestige;;;;;;;;;;;;;x
tooltip_what_you_looking_at_i_vote_to_whoever_i_want;What you are looking at? I vote to whoever I want! Go away;;;;;;;;;;;;;x
honesty_is_good_tt;Honesty is good;;;;;;;;;;;;;x
honesty_is_important_tt;Honesty is important;;;;;;;;;;;;;x
honesty_is_essential_tt;Honesty is essential;;;;;;;;;;;;;x
dishonesty_is_good_tt;Resourcefullness is good;;;;;;;;;;;;;x
dishonesty_is_important_tt;Resourcefullness is important;;;;;;;;;;;;;x
dishonesty_is_essential_tt;Resourcefullness is essential;;;;;;;;;;;;;x
reason_is_good_tt;Reason is good;;;;;;;;;;;;;x
reason_is_important_tt;Reason is important;;;;;;;;;;;;;x
reason_is_essential_tt;Reason is essential;;;;;;;;;;;;;x
disreason_is_good_tt;Boldness is good;;;;;;;;;;;;;x
disreason_is_important_tt;Boldness is important;;;;;;;;;;;;;x
disreason_is_essential_tt;Boldness is essential;;;;;;;;;;;;;x
ambition_is_good_tt;Ambition is good;;;;;;;;;;;;;x
ambition_is_important_tt;Ambition is important;;;;;;;;;;;;;x
ambition_is_essential_tt;Ambition is essential;;;;;;;;;;;;;x
disambition_is_good_tt;Humility is good;;;;;;;;;;;;;x
disambition_is_important_tt;Humility is important;;;;;;;;;;;;;x
disambition_is_essential_tt;Humility is essential;;;;;;;;;;;;;x
greed_is_good_tt;Greed is good;;;;;;;;;;;;;x
greed_is_important_tt;Greed is important;;;;;;;;;;;;;x
greed_is_essential_tt;Greed is essential;;;;;;;;;;;;;x
disgreed_is_good_tt;Generosity is good;;;;;;;;;;;;;x
disgreed_is_important_tt;Generosity is important;;;;;;;;;;;;;x
disgreed_is_essential_tt;Generosity is essential;;;;;;;;;;;;;x
loyalist_election_vote_tt;I will vote to whoever my boss wants me to;;;;;;;;;;;;;x
obstructionist_election_vote_tt;The ruler is a incompetent buffoon, anyone he supports is likewise;;;;;;;;;;;;;x
warhawk_election_vote_trait_tt;This person has competency to make us stronger;;;;;;;;;;;;;x
warhawk_election_vote_success_tt;Capability for defending himself is important;;;;;;;;;;;;;x
econhawk_election_vote_trait_tt;The candidate has competency to make us prosperous;;;;;;;;;;;;;x
econhawk_election_vote_success_tt;Proven track record;;;;;;;;;;;;;x
techhawk_election_vote_trait_tt;I want to vote for a skilled and intelligent person;;;;;;;;;;;;;x
techhawk_election_vote_success_tt;My vote needs to go to someone that cares about education;;;;;;;;;;;;;x
diplohawk_election_vote_trait_tt;The candidate has excellent political skills;;;;;;;;;;;;;x
diplohawk_election_vote_success_tt;It is important to be prestigious internationally;;;;;;;;;;;;;x
stability_election_vote_trait_tt;I vote for someone skilled enough to make us safer;;;;;;;;;;;;;x
stability_election_vote_success_tt;I like experienced rulers;;;;;;;;;;;;;x
fisiologist_election_vote_tt;This person is competent, I am sure of it;;;;;;;;;;;;;x
ideologist_election_vote_tt;I agree with this person ideology;;;;;;;;;;;;;x
one_vote_per_voter_tt;This election rule is one vote per voter;;;;;;;;;;;;;x
one_vote_per_holding_tt;The rules give one vote per settlement;;;;;;;;;;;;;x
one_vote_per_province_tt;The rules give one vote per star system;;;;;;;;;;;;;x
title_representative;Representative;;;;;;;;;;;;;x
title_representative_desc;This character represents the will of the people of a particular settlement, there will be always one of such character for each settlement, and arresting them is pointless, as a replacement will show up;;;;;;;;;;;;;x
TOOLTIP_ALLOW_FEMALE_COMMANDERS;Allow Female Commanders;;;;;;;;;;;;;x
TOOLTIP_ALLOW_FEMALE_COUNCIL;Allow Female councilmembers;;;;;;;;;;;;;x
TOOLTIP_ALLOW_MALE_COMMANDERS;Allow Male Commanders;;;;;;;;;;;;;x
TOOLTIP_ALLOW_MALE_COUNCIL;Allow Male councilmembers;;;;;;;;;;;;;x
