#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_owes_me_a_favor;Owes Me a Favor;;;;;;;;;;;;;x
opinion_favor_ongoing_appointment;Ongoing Favor - Promised an Appointed Office;;;;;;;;;;;;;x
opinion_favor_ongoing_council;Ongoing Favor - Cabinet Position;;;;;;;;;;;;;x
opinion_favor_ongoing_crisis_support;Ongoing Favor - Crisis Support;;;;;;;;;;;;;x
opinion_favor_ongoing_plot;Ongoing Favor - Plot Support;;;;;;;;;;;;;x
opinion_defaulted_favor;Didn't Repay Favor;;;;;;;;;;;;;x
trustworthy;Trustworthy;;;;;;;;;;;;;x
trustworthy_desc;This character has a reputation for integrity and honesty.;;;;;;;;;;;;;x
untrustworthy;Untrustworthy;;;;;;;;;;;;;x
untrustworthy_desc;This character has a reputation for dishonesty and going back on deals.;;;;;;;;;;;;;x
TOOLTIPTRUSTWORTHY;[This.GetFullName] has a reputation for paying [This.GetHerHis] debts.\n;;;;;;;;;;;;;x
TOOLTIPUNTRUSTWORTHY;§RWARNING!§! [This.GetFullName] has a reputation for not repaying [This.GetHerHis] debts!\n;;;;;;;;;;;;;x
EVTTOOLTIPFAVOR100;'s debt to you is fulfilled.;;;;;;;;;;;;;x
EVTDESCFAVOR100;TO: [Root.GetFullName]\nFROM: [From.GetFullName]\nRE: Obligations\nYou may consider your debt repaid in full. The two of us are now even.;;;;;;;;;;;;;x
EVTDESCFAVOR200;It appears that [From.GetFullName] has shown [From.GetHerHis] true colors. There will be consequences for this treachery.;;;;;;;;;;;;;x
EVTTOOLTIPFAVOR201;gains a reputation for dishonesty.;;;;;;;;;;;;;x
EVTDESCFAVOR201;By refusing to repay your debt to [From.GetFullName], you have gained something of a reputation for dishonesty.;;;;;;;;;;;;;x
NOFAVORSOWED;§YNeither you nor [This.GetFullName] owe the other any favors. You will be promising to do [This.GetHerHim] a favor in the future.\n§!;;;;;;;;;;;;;x
FAVOROWED;§Y[This.GetFullName] currently owes you a favor. You will be calling in this favor.\n§!;;;;;;;;;;;;;x
