#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCFLAVOR100;The government of Earth has been safeguarding the last remnants of humanity's ancestral environment for centuries. This is a vitally important task, but some apparently do not share that position - you have now learned that a community of squatters have tried to flee the overcrowded major cities and settle in the Terran wilderness. This is technically a crime, but the squatters enjoy some popular support.;;;;;;;;;;;;;x
EVTOPTAFLAVOR100;Evict them, and damn public opinion.;;;;;;;;;;;;;x
EVTOPTBFLAVOR100;We have no choice but to let them stay.;;;;;;;;;;;;;x
EVTOPTAFLAVOR100;Evict them, and damn public opinion.;;;;;;;;;;;;;x
EVTDESCFLAVOR200;A nomadic fleet wants to pass through the [This.GetName] System. Nomadic traders like this have been a fact of life since the dawn of the Space Age, and they often have strange laws and customs that are alien to groundpounders like yourself. In theory, they have right of passage, but they could stir up trouble among the local population.;;;;;;;;;;;;;x
EVTOPTAFLAVOR200;Let them through.;;;;;;;;;;;;;x
EVTOPTBFLAVOR200;If they want to pass through, they'll have to pay a toll.;;;;;;;;;;;;;x
EVTOPTCFLAVOR200;Turn them away.;;;;;;;;;;;;;x
EVTDESCFLAVOR210;A nomadic fleet has just emerged into the [This.GetName] System seeking asylum - apparently, their crews have been infected with some sort of exotic alien pathogen. Nomadic traders like this have been a fact of life since the dawn of the Space Age, and they often have strange laws and customs that are alien to groundpounders like yourself. They promise that they will maintain strict quarantine procedures.;;;;;;;;;;;;;x
EVTOPTAFLAVOR210;Allow them to stay and maintain their own quarantine.;;;;;;;;;;;;;x
EVTOPTBFLAVOR210;They may stay, but we will enforce our own quarantine.;;;;;;;;;;;;;x
EVTOPTCFLAVOR210;Tell them to take their filth somewhere else.;;;;;;;;;;;;;x
EVTDESCFLAVOR211;Unfortunately, your quarantine measures were insufficient, and several new, exotic alien diseases are spreading throughout the population.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
ERA_CHAR_NAME_11013974;President Morgan;;;;;;;;;;;;;x
ERA_CHAR_NAME_11012833;Grand Admiral Wei;;;;;;;;;;;;;x
ERA_CHAR_NAME_11010155;President Juan of Orion Reach;;;;;;;;;;;;;x
ERA_CHAR_NAME_1104683;Fleet Admiral Navya;;;;;;;;;;;;;x
ERA_CHAR_NAME_1108425;Counter-Admiral Shiro of Rasen;;;;;;;;;;;;;x
ERA_CHAR_NAME_1108489;Pirate Queen Kaoru;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
sick_nomad_fleet;Nomad Fleet - Alien Pathogens;;;;;;;;;;;;;x
sick_nomad_fleet_desc;A fleet of nomadic traders is currently staying in this system. Unfortunately, their quarantine procedures have failed, and the nearby ;;;;;;;;;;;;;x
EVTDESCFLAVOR212;It appears that your quarantine measures were successful. Whatever diseases the nomads were carrying have been confined to themselves.;;;;;;;;;;;;;x
quarantined_nomad_fleet;Nomad Fleet - Quarantine;;;;;;;;;;;;;x
quarantined_nomad_fleet_desc;A fleet of nomadic traders is currently staying in this system. As many of their crew have come down with an exotic alien disease, they have been quarantined for the safety of the local population.;;;;;;;;;;;;;x
EVTDESCFLAVOR220;A nomadic fleet has just arrived in the [This.GetName] System, hoping to make port and trade with the locals. Nomadic traders like this have been a fact of life since the dawn of the Space Age, and they often have strange laws and customs that are alien to groundpounders like yourself. They would energize the local economy, but could bring exotic alien pathogens and stir up civil unrest.;;;;;;;;;;;;;x
EVTOPTAFLAVOR220;Allow them to trade.;;;;;;;;;;;;;x
EVTOPTBFLAVOR220;Tell them to take their goods elsewhere.;;;;;;;;;;;;;x
nomad_traders;Nomad Fleet - Traders;;;;;;;;;;;;;x
nomad_traders_desc;A fleet of nomadic traders is currently staying in this system, selling goods to the locals. Their presence energizes the local economy, but also exposes them to both alien pathogens and a significant culture clash.;;;;;;;;;;;;;x
EVTDESCFLAVOR230;The captains of a nomadic trade fleet have approached you with an interesting proposition. Apparently, one of your enemies once offended these captains in some way, and they are hoping to even the score. They will attempt to infiltrate your mutual enemies' homeworlds under the guise of innocent traders, then provide you with detailed information on the local defense grid and fortifications.;;;;;;;;;;;;;x
EVTTOOLTIPFLAVOR231;will be infiltrated by the nomads.;;;;;;;;;;;;;x
EVTDESCFLAVOR232;Treachery! Mere hours after the nomad traders were permitted to land, you found yourself looking at vital security information posted all across the holonet. It appears that those seemingly innocent trade ships were actually carrying foreign spies.;;;;;;;;;;;;;x
EVTTOOLTIPFLAVOR233;must be behind this.;;;;;;;;;;;;;x
nomad_spies;Nomad Fleet - Spies;;;;;;;;;;;;;x
nomad_spies_desc;A fleet of nomadic traders is currently staying in this system. While they initially entered under the guise of selling their goods to the locals, it quickly became apparent that they were actually seeking to expose the system's defenses and security arrangements. So far the government has been unable to root out the spies and expel them.;;;;;;;;;;;;;x
EVTDESCFLAVOR233;Success! Your nomad allies have successfully infiltrated the [From.GetName] System and are even now feeding you information on their most detailed security arrangements.;;;;;;;;;;;;;x
EVTDESCFLAVOR234;Failure! Your nomad allies were turned away when they attempted to infiltrate the [From.GetName] System.;;;;;;;;;;;;;x
EVTDESCFLAVOR235;The captains of a nomadic trade fleet have approached you with an interesting proposition. Apparently, [Root.PlotTarget.GetFullName] once offended these captains in some way, and they are hoping to even the score. They will attempt to infiltrate your mutual enemy's homeworld under the guise of innocent traders, then provide you with detailed information on [Root.PlotTarget.GetHerHis] security arrangements.;;;;;;;;;;;;;x
EVTDESCFLAVOR240;"The captains of a nomadic trade fleet have approahed you. ""You once aided our people", one of the captains tells you," ""and now we are prepared to do the same in return. We understand that the [Root.PrimaryTitle.GetFullName] is deep in debt. We can pay off some of those debts for you.""";;;;;;;;;;;;;x";;,
EVTDESCFLAVOR250;"The captains of a nomadic trade fleet have approahed you. ""You once aided our people", one of the captains tells you," ""and now we are prepared to do the same in return. We have developed impressive new engine and weapons designs. We would be happy to share them with you.""";;;;;;;;;;;;;x";;,
EVTDESCFLAVOR260;The captains of a nomadic trade fleet have approached you with an interesting proposition. Apparently, some of your enemies once offended them in some way, and they are eager to level the playing field. They are willing to provide you with a small financial donation to help continue your war.;;;;;;;;;;;;;x
EVTDESCFLAVOR261;The [From.PrimaryTitle.GetFullName] has received a financial donation from a fleet of nomadic traders, who appear to believe that you have offended them in some way.;;;;;;;;;;;;;x
EVTDESCFLAVOR270;The captains of a nomadic trade fleet have approached you with an interesting proposition. Apparently, some of your enemies once offended them in some way, and they are eager to level the playing field. They are willing to provide you with some of their advanced engine and weapons technology to aid your ongoing war effort.;;;;;;;;;;;;;x
EVTDESCFLAVOR271;The [From.PrimaryTitle.GetFullName] has received new military technology from a fleet of nomadic traders, who appear to believe that you have offended them in some way.;;;;;;;;;;;;;x
EVTDESCFLAVOR280;The captains of a nomadic trade fleet have approached you with an interesting proposition. Apparently, some of your enemies have gravely offended them in the past, and they regard your war as a chance to get even. They are willing to provide you with a fleet of their ships, including three powerful battlecruisers, completely free of charge.;;;;;;;;;;;;;x
EVTDESCFLAVOR281;A fleet of nomadic traders have donated several powerful warships to the [From.PrimaryTitle.GetFullName]. Apparently, you did something to offend them.;;;;;;;;;;;;;x
EVTDESCFLAVOR282;The debts your enemies owe to the nomads have now been repayed, and so your military partnership is at an end. However, the captains express satisfication with your brief alliance, and hope to work with you again in the future.;;;;;;;;;;;;;x
EVTDESCFLAVOR283;It seems you have done something to offend your nomad allies, and they are no longer interested in lending you military support.;;;;;;;;;;;;;x
EVTDESCFLAVOR302;The [From.GetRandomShipName], a freighter belonging to the [From.GetOnlyDynastyName] Corporation collided with an asteroid while travelling through the [This.GetName] System. While search and rescue teams have been unable to locate any survivors, the ship's cargo still appears to be relatively intact. [From.GetOnlyDynastyName] is requesting salvage rights to their vessel.;;;;;;;;;;;;;x
EVTOPTAFLAVOR302;Return the cargo to [From.GetOnlyDynastyName].;;;;;;;;;;;;;x
EVTOPTBFLAVOR302;Claim right of salvage for ourselves.;;;;;;;;;;;;;x
EVTDESCFLAVOR303;One of our ships, the [Root.GetRandomShipName], collided with an asteroid in the [From.GetName] System. While all hands were lost, we were at least able to recover the ship's cargo thanks to the timely intervention of the local government.;;;;;;;;;;;;;x
EVTDESCFLAVOR304;One of our ships, the [Root.GetRandomShipName], collided with an asteroid in the [From.GetName] System. Not only were all hands lost, but the local system government has claimed its cargo by right of salvage.;;;;;;;;;;;;;x
EVTDESCFLAVOR400;Survey teams in the [This.GetName] System have identified several asteroids rich in rare minerals. A small investment could set up a permanent mining base to extract these minerals and greatly bolster the system's economy for the next several years.;;;;;;;;;;;;;x
EVTOPTAFLAVOR400;Establish a mining outpost.;;;;;;;;;;;;;x
EVTOPTBFLAVOR400;Auction the asteroids off to the highest bidder.;;;;;;;;;;;;;x
mineral_rich_asteroids;Asteroid Mining Operation;;;;;;;;;;;;;x
mineral_rich_asteroids_desc;A cluster of mineral-rich asteroids in this system are actively being mined by the local government.;;;;;;;;;;;;;x
EVTDESCFLAVOR500;Comet sighted! A comet with an unusual chemical composition is wandering into range of the core worlds of the [This.GetName] System for the first - and last - time in two hundred years. We now have the chance to commission a team to travel to this comet and study its unusual properties for the remainder of its approach.;;;;;;;;;;;;;x
EVTOPTAFLAVOR500;Organize an expedition.;;;;;;;;;;;;;x
EVTOPTBFLAVOR500;We can't afford the cost.;;;;;;;;;;;;;x
comet_expedition;Comet Research Expedition;;;;;;;;;;;;;x
comet_expedition_desc;A comet with an unusual chemical composition is currently approaching the inner worlds of this system. Scientists are taking this rare opportunity to study the comet.;;;;;;;;;;;;;x
EVTDESCFLAVOR600;The economy in the [This.GetName] System has gone into recession. Prices and wages are stagnating, sales are dropping, and unemployment is skyrocketing.;;;;;;;;;;;;;x
EVTDESCFLAVOR650;The recession in the [This.GetName] System is finally coming to an end, and the economy is return to its usual state.;;;;;;;;;;;;;x
EVTDESCFLAVOR700;The economy in the [This.GetName] System is booming. Prices and wages are rising and the general population is flourishing.;;;;;;;;;;;;;x
EVTDESCFLAVOR750;The boom in the [This.GetName] System is finally coming to an end, and the economy is return to its usual state.;;;;;;;;;;;;;x
economic_recession;Economic Recession;;;;;;;;;;;;;x
economic_boom;Economic Boom;;;;;;;;;;;;;x
