#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ge_bio_group;Victorian;;;;;;;;;;;;;x
bio_ge;Cosmopolitan;;;;;;;;;;;;;x
tooltip_cosmopolitan_culture_starts_spreading;Cosmopolitan Culture will start spreading across the nation.;;;;;;;;;;;;;x
tooltip_cosmopolitan_culture_spreads;Cosmopolitan Culture will start spreading across our systems.;;;;;;;;;;;;;x
bio_ge_renaissance;Create Cosmopolitan Culture;;;;;;;;;;;;;x
bio_ge_renaissance_desc;Creating Cosmopolitan Culture will allow a high chance for hiring Heavy Worlders, Nekojin, and BiFi through the standard employment decisions.;;;;;;;;;;;;;x
embrace_bio_ge_culture;Embrace Cosmopolitan Culture;;;;;;;;;;;;;x
embrace_bio_ge_culture_desc;Adopting Cosmopolitan Culture will allow a high chance for hiring Heavy Worlders, Nekojin, and BiFi through the standard employment decisions.;;;;;;;;;;;;;x
heavy_worlder_ge;Heavy Worlder;;;;;;;;;;;;;x
heavy_worlder_ge_desc;The Heavy Worlder Culture have a chance of recruiting additional Heavy Worlders through employment decisions.;;;;;;;;;;;;;x
tooltip_heavy_worlder_culture_starts_spreading;Heavy Worlder Culture will start spreading across the nation.;;;;;;;;;;;;;x
tooltip_heavy_worlder_culture_spreads;Heavy Worlder Culture will start spreading across our systems.;;;;;;;;;;;;;x
heavy_worlder_renaissance;Create Heavy Worlder Culture;;;;;;;;;;;;;x
heavy_worlder_renaissance_desc;Creating Heavy Worlder Culture will allow a high chance for hiring Heavy Worlders through the standard employment decisions.;;;;;;;;;;;;;x
embrace_heavy_worlder_culture;Embrace Heavy Worlder Culture;;;;;;;;;;;;;x
embrace_heavy_worlder_culture_desc;Adopting Heavy Worlder Culture will allow a high chance for hiring Heavy Worlders through the standard employment decisions.;;;;;;;;;;;;;x
cat_splice_ge;Nekojin;;;;;;;;;;;;;x
tooltip_cat_splice_culture_starts_spreading;Nekojin Culture will start spreading across the nation.;;;;;;;;;;;;;x
tooltip_cat_splice_culture_spreads;Nekojin Culture will start spreading across our systems.;;;;;;;;;;;;;x
cat_splice_renaissance;Create Nekojin Culture;;;;;;;;;;;;;x
cat_splice_renaissance_desc;Creating Nekojin Culture (translated as Cat People) will allow a high chance for hiring characters spliced with Cat Genes through the standard employment decisions.;;;;;;;;;;;;;x
embrace_cat_splice_culture;Embrace Nekojin Culture;;;;;;;;;;;;;x
embrace_cat_splice_culture_desc;;Adopting Nekojin Culture (translated as Cat People) will allow a high chance for hiring characters spliced with Cat Genes through the standard employment decisions.;;;;;;;;;;;;x 
organic_wifi_ge;BiFi;;;;;;;;;;;;;x
tooltip_organic_wifi_culture_starts_spreading;BiFi Culture will start spreading across the nation.;;;;;;;;;;;;;x
tooltip_organic_wifi_culture_spreads;BiFi Culture will start spreading across our systems.;;;;;;;;;;;;;x
organic_wifi_renaissance;Create BiFi Culture;;;;;;;;;;;;;x
organic_wifi_renaissance_desc;Creating BiFi Culture will allow a high chance for hiring characters with the Organic Wifi genetic enhancement through the standard employment decisions.;;;;;;;;;;;;;x
embrace_organic_wifi_culture;Embrace BiFi Culture;;;;;;;;;;;;;x
embrace_organic_wifi_culture_desc;Adopting BiFi Culture will allow a high chance for hiring characters with the Biological Wifi genetic enhancement through the standard employment decisions.;;;;;;;;;;;;;x 


