#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTACCEPT;Accept;;;;;;;;;;;;;x
EVTOPTAPPROVE;Approve;;;;;;;;;;;;;x
EVTOPTREFUSE;Refuse;;;;;;;;;;;;;x
EVTOPTDECLINE;Decline;;;;;;;;;;;;;x
EVTOPTCONFIRM;Confirm;;;;;;;;;;;;;x
EVTOPTNEVERMIND;Nevermind;;;;;;;;;;;;;x
EVTOPTAPRROVE;A wise decision.;;;;;;;;;;;;;x
EVTOPTDISAPRROVE;Was this malice or mere stupidity?;;;;;;;;;;;;;x
NOVASSALNEGATIVEOPINION;No vassal has a negative opinion of you\n;;;;;;;;;;;;;x
ONEYEARCOOLDOWN;You have not done this in the last year.;;;;;;;;;;;;;x
FIVEYEARCOOLDOWN;You have not done this in the last five years.;;;;;;;;;;;;;x
LOSE10VASSALOPINION;Your vassals will consider you tyrannical, giving them a §R-10§! opinion of you.\n;;;;;;;;;;;;;x
CANBEIMPRISONED;You will have just cause to imprison §Y[Root.GetFullName]§!.\n;;;;;;;;;;;;;x
