#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
get_relative_genius_decision;Add Genius Trait;;;;;;;;;;;;;x
get_relative_genius_decision_desc;Through Genetic Engineering this child can become a genius.;;;;;;;;;;;;;x
get_relative_quick_decision;Add Quick Trait;;;;;;;;;;;;;x
get_relative_quick_decision_desc;Through Genetic Engineering this child can become quick of mind.;;;;;;;;;;;;;x
get_relative_strong_decision;Add Strong Trait;;;;;;;;;;;;;x
get_relative_strong_decision_desc;Through Genetic Engineering this child can become strong.;;;;;;;;;;;;;x
get_relative_agile_decision;Add Agile Trait;;;;;;;;;;;;;x
get_relative_agile_decision_desc;Through Genetic Engineering this child can become agile.;;;;;;;;;;;;;x
get_relative_tall_decision;Add Tall Trait;;;;;;;;;;;;;x
get_relative_tall_decision_desc;Through Genetic Engineering this child can become tall.;;;;;;;;;;;;;x
get_relative_remove_negative_decision;Remove Negative Traits;;;;;;;;;;;;;x
get_relative_remove_negative_decision_desc;Through Genetic Engineering we can remove negative traits.;;;;;;;;;;;;;x
get_relative_dni_decision;Install DNI Implant;;;;;;;;;;;;;x
get_relative_dni_decision_desc;;;;;;;;;;;;;;x
