#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
host_confederation_congress;;;;;;;;;;;;;;;;;;;;;;;;;;;;
host_confederation_congress;Host a confederation congress;;;;;;;;;;;;;x
host_confederation_congress_desc;You will host a confederation congress and try to create an empire based on your realm;;;;;;;;;;;;;x
system_lords;System Lords Government;;;;;;;;;;;;;x
system_lords_desc;"Under a System Lords Government, legitimate authority is held to derive from a god ("like") creature, a goauld. They beleive in conquest, domination, slavery and destruction.\n\nSystem Lords Governments may use the following succession laws: Primogeniture, Ultimogeniture, Seniority, Gavelkind, Dynastic Elective, Federal Elective.";;;;;;;;;;;;;x
military_monarchy;Feudal Monarchy;;;;;;;;;;;;;x
military_monarchy_desc;Under a feudal monarchy, legitimate authority is held to derive from inheritance, while political power is concentrated in the hands of the military, who often form an elite hereditary warrior caste.\n\nMilitary Monarchies may use the following succession laws: Primogeniture, Ultimogeniture, Seniority, Gavelkind, Dynastic Elective, Federal Elective.;;;;;;;;;;;;;x
military_republic;Military Republic;;;;;;;;;;;;;x
military_republic_desc;In a military republic, legitimate authority is held to derive from the people, while political power is concentrated in the hands of the military. The government may hold military service as a prerequisite for voting rights, or it may be a military dictatorship that styles itself as a provisional government.\n\nMilitary Republics may use the following succession laws: Democratic Elective, Federal Elective, Dynastic Elective.;;;;;;;;;;;;;x
military_directorate;Military Dictatorship;;;;;;;;;;;;;x
military_directorate_desc;Under a military dictatorship, legitimate authority is held to derive purely from continuity of government and from higher authorities, while political power is concentrated in the hands of the military's high command. It may be a state ruled by a military junta, an area under martial law, or on a small scale, a simple naval base.\n\nMilitary Dictatorships may use the following succession laws: Appointment, Federal Elective.;;;;;;;;;;;;;x
corporate_monarchy;Corporate Monarchy;;;;;;;;;;;;;x
corporate_monarchy_desc;Under a corporate monarchy, legitimate authority is held to derive from inheritance, while political power is concentrated in the hands of wealthy merchants and plutocrats. The family fortunes of the aristocracy and royal family form the backbone of state power.\n\nCorporate Monarchies may use the following succession laws: Primogeniture, Ultimogeniture, Seniority, Gavelkind, Dynastic Elective, Federal Elective.;;;;;;;;;;;;;x
corporate_republic;Liberal Republic;;;;;;;;;;;;;x
corporate_republic_desc;In a liberal republic, legitimate authority is held to derive from the people, while political power is concentrated in the hands of a wealthy upper class. The populace enjoy many political freedoms, but the government nevertheless tends to reflect the interests of the upper class.\n\Liberal Republics may use the following succession laws: Democratic Elective, Federal Elective, Dynastic Elective.;;;;;;;;;;;;;x
corporate_directorate;Corporate Dictatorship;;;;;;;;;;;;;x
