#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
centralconcentration;Demesne Centralization;Centralisation;Zentralisierung;;Centralización;;;;;;;;;x
centralconcentration_desc;A centralized state is important for the liege to grow powerful, but a decentralized state might be easier to maintain.;Un état centralisé apporte un pouvoir grandissant au seigneur, mais un état décentralisé est plus facile à entretenir.;Ein zentralisiertes Reich begünstigt den Machtzuwachs des Lehnsherrn, doch ein dezentralisiertes Reich könnte leichter zu handhaben sein.;;Para el señor feudal es importante un estado centralizado para incrementar su poder, pero un estado descentralizado puede ser más fácil de mantener.;;;;;;;;;x
centralconcentration_1;Low Demesne Centralization;Faible centralisation;Niedrige Zentralisierung;;Baja centralización;;;;;;;;;x
centralconcentration_2;Medium Demesne Centralization;Centralisation moyenne;Mittlere Zentralisierung;;Centralización Media;;;;;;;;;x
centralconcentration_3;High Demesne Centralization;Forte centralisation;Starke Zentralisierung;;Centralización Alta;;;;;;;;;x
law_making;Law making speed;;;;;;;;;;;;;x
law_making_0;Low;;;;;;;;;;;;;x
law_making_1;Medium;;;;;;;;;;;;;x
law_making_2;High;;;;;;;;;;;;;x
law_making_3;Very high;;;;;;;;;;;;;x
law_making_5;Executive/Decree speed;;;;;;;;;;;;;x
law_making_0_option;Low;;;;;;;;;;;;;x
law_making_1_option;Medium;;;;;;;;;;;;;x
law_making_2_option;High;;;;;;;;;;;;;x
law_making_3_option;Very high;;;;;;;;;;;;;x
law_making_5_option;Executive/Decree speed;;;;;;;;;;;;;x
law_making_0_desc;Low;;;;;;;;;;;;;x
law_making_1_desc;Medium;;;;;;;;;;;;;x
law_making_2_desc;High;;;;;;;;;;;;;x
law_making_3_desc;Very high;;;;;;;;;;;;;x
law_making_5_desc;Executive/Decree speed;;;;;;;;;;;;;x
increase_centralization_decision;Issue Centralization authority Decree;;;;;;;;;;;;;x
increase_centralization_decision_desc;Enact new policies in all nations where you rule by decree, increasing the power of the central government.;;;;;;;;;;;;;x
decrease_centralization_decision;Issue DeCentralization authority Decree;;;;;;;;;;;;;x
decrease_centralization_decision_desc;Enact new policies in all nations where you rule by decree, decreasing the power of the central government.;;;;;;;;;;;;;x
rule_for_life_decision;Rule for life;;;;;;;;;;;;;x
rule_for_life_decision_desc;You decide to rule for life the government of the [Root.PrimaryTitle.GetFullName].;;;;;;;;;;;;;x
open_decree_menu;Open Decree Menu;;;;;;;;;;;;;x
open_decree_menu_desc;Show decisions allowing you to make unilateral decisions about the government of the [Root.PrimaryTitle.GetFullName].;;;;;;;;;;;;;x
close_decree_menu;Close Decree Menu;;;;;;;;;;;;;x
close_decree_menu_desc;Hide the decree menu to free up space on your decision list.;;;;;;;;;;;;;x
TOOLTIPCROWNLAWCHANGETIMER;has not changed a Constitutional Law in 10 years.;;;;;;;;;;;;;x
changed_crown_law_timer;Changed Constitutional Law;;;;;;;;;;;;;x
changed_crown_law_timer_desc;This character changed a Constitutional Law some time within the past 10 years, and cannot change another until this modifier expires.;;;;;;;;;;;;;x
feudal_elective;Federal Elective;Fédération éléctive;;;;;;;;;;;;x
succ_feudal_elective;Federal Elective;Fédération éléctive;;;;;;;;;;;;x
succ_feudal_elective_desc;Rulers are elected by a federal council consisting of the previous ruler, their immediate superior, and all major regional governors. In practice, the new ruler will almost always be a member of the electoral council or a relative of the previous ruler.;Les dirigeants sont élus par un conseil fédérale composé du dirigeant précédent, son supérieur immédiat, et tous les principaux gouverneurs régionaux. En pratique, le nouveau dirigeant sera toujours un membre du conseil éléctoral du précédent dirigeant.;;;;;;;;;;;;x
open_elective_crisis;Democratic Elective;Démocratie éléctive;;;;;;;;;;;;x
crisis_democratic_elective;Democratic Elective;Démocratie éléctive;;;;;;;;;;;;x
succ_open_elective_crisis;Democratic Elective;Démocratie éléctive;;;;;;;;;;;;x
succ_open_elective_crisis_desc;Rulers are elected by popular vote.;Les dirigeants sont élus par vote populaire.;;;;;;;;;;;;x
patrician_elective;Oligarchic Elective;Oligarchie éléctive;;;;;;;;;;;;x
succ_patrician_elective;Oligarchic Elective;Oligarchie éléctive;;;;;;;;;;;;x
succ_patrician_elective_desc;Rulers are nominally elected by popular vote. In practice, a handful of wealthy families monopolize the political process.;Les dirigeants sont théoriquement élus par vote populaire. Dans la pratique, une poignée de riches familles monopolisent le milieu politique.;;;;;;;;;;;;x
tanistry;Dynastic Elective;Dynastie éléctive;;;;;;;;;;;;x
succ_tanistry;Dynastic Elective;Dynastie éléctive;;;;;;;;;;;;x
succ_tanistry_desc;Rulers are elected by a federal council, but only members of a specific ruling family are eligible for election.;Les dirigeants sont élus par un conseil fédéral, mais seuls les membres d'une famille régnante spécifiques sont elligibles.;;;;;;;;;;;;x
centralization;Centralization authority;;;;;;;;;;;;;x
centralization_desc;Managing an interstellar state, with populations that can be numbered in the trillions, is a difficult task. Most such states grant broad autonomy to local governments for practical reasons if nothing else, but some attempt to form a strong centralized government.;;;;;;;;;;;;;x
centralization_0;Coalition;;;;;;;;;;;;;x
centralization_0_option;None;;;;;;;;;;;;;x
centralization_0_desc;This state is less of a state ad more of a loose military alliance. There is a central government, but it is almost completely powerless.;;;;;;;;;;;;;x
centralization_1;Confederation;;;;;;;;;;;;;x
centralization_1_option;Low;;;;;;;;;;;;;x
centralization_1_desc;Member-states are required to obey the central government in the most critical matters, such as military and diplomatic duties, but are still granted almost completely autonomy in domestic issues.;;;;;;;;;;;;;x
centralization_2;Federation;;;;;;;;;;;;;x
centralization_2_option;Medium;;;;;;;;;;;;;x
centralization_2_desc;This state's central government and local governments are roughly equal in prestige and power.;;;;;;;;;;;;;x
centralization_3;Hegemony;;;;;;;;;;;;;x
centralization_3_option;High;;;;;;;;;;;;;x
centralization_3_desc;This state's local governments are allowed some rights and autonomy, but this is mostly honorary.;;;;;;;;;;;;;x
centralization_4;Unitary State;;;;;;;;;;;;;x
centralization_4_option;Max;;;;;;;;;;;;;x
centralization_4_desc;This state has a single legitimate central government. Local governments serve only administrative purposes and have no authority to pass their own laws.;;;;;;;;;;;;;x
military_vassal_legitimacy;Military Government;;;;;;;;;;;;;x
military_vassal_legitimacy_desc;The general principles used to determine how military commands and offices are assigned.;;;;;;;;;;;;;x
military_vassal_legitimacy_0;Hereditary Officers;;;;;;;;;;;;;x
military_vassal_legitimacy_0_desc;Military commands are hereditary, and may be passed down from parent to child.;;;;;;;;;;;;;x
military_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
military_vassal_legitimacy_1;Elected Officers;;;;;;;;;;;;;x
military_vassal_legitimacy_1_desc;Military officers are elected from among their subordinates or by the citizens of the territory they defend.;;;;;;;;;;;;;x
military_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
military_vassal_legitimacy_2;Appointed Officers;;;;;;;;;;;;;x
military_vassal_legitimacy_2_desc;Military officers are appointed by their immediate superiors.;;;;;;;;;;;;;x
military_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
local_military_vassal_legitimacy;Military Government;;;;;;;;;;;;;x
local_military_vassal_legitimacy_desc;The general principles used to determine how military commands and offices are assigned.;;;;;;;;;;;;;x
local_military_vassal_legitimacy_0;Hereditary Officers;;;;;;;;;;;;;x
local_military_vassal_legitimacy_0_desc;Military commands are hereditary, and may be passed down from parent to child.;;;;;;;;;;;;;x
local_military_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
local_military_vassal_legitimacy_1;Elected Officers;;;;;;;;;;;;;x
local_military_vassal_legitimacy_1_desc;Military officers are elected from among their subordinates or by the citizens of the territory they defend.;;;;;;;;;;;;;x
local_military_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
local_military_vassal_legitimacy_2;Appointed Officers;;;;;;;;;;;;;x
local_military_vassal_legitimacy_2_desc;Military officers are appointed by their immediate superiors.;;;;;;;;;;;;;x
local_military_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
republic_vassal_legitimacy;Civilian Government;;;;;;;;;;;;;x
republic_vassal_legitimacy_desc;The general principles used to determine how local civilian governors are selected.;;;;;;;;;;;;;x
republic_vassal_legitimacy_0;Hereditary Governors;;;;;;;;;;;;;x
republic_vassal_legitimacy_0_desc;Local civilian governments are led by hereditary rulers.;;;;;;;;;;;;;x
republic_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
republic_vassal_legitimacy_1;Elected Governors;;;;;;;;;;;;;x
republic_vassal_legitimacy_1_desc;Local civilian governments are led by officials elected by the general population.;;;;;;;;;;;;;x
republic_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
republic_vassal_legitimacy_2;Appointed Governors;;;;;;;;;;;;;x
republic_vassal_legitimacy_2_desc;Local civilian governments are led by officials appointed by the central government.;;;;;;;;;;;;;x
republic_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
local_republic_vassal_legitimacy;Civilian Government;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_desc;The general principles used to determine how local civilian governors are selected.;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_0;Hereditary Governors;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_0_desc;Local civilian governments are led by hereditary rulers.;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_1;Elected Governors;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_1_desc;Local civilian governments are led by officials elected by the general population.;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_2;Appointed Governors;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_2_desc;Local civilian governments are led by officials appointed by the central government.;;;;;;;;;;;;;x
local_republic_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
theocracy_vassal_legitimacy;Administrative Government;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_desc;The general principles used to determine how local administrators are selected.;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_0;Hereditary Administrators;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_0_desc;Administrative centers and shrine worlds are led by hereditary rulers.;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_1;Elected Administrators;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_1_desc;Administrative centers and shrine worlds are led by officials elected from among the local populace.;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_2;Appointed Administrators;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_2_desc;Administrative centers and shrine worlds are led by administrators or priests appointed by the central government.;;;;;;;;;;;;;x
theocracy_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
