#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
improve_public_order_decision;Restore Public Order;;;;;;;;;;;;;x
improve_public_order_decision_desc;The immediate crisis is ended, and the [Root.PrimaryTitle.GetFullName] is now united behind you. You can now start to rebuild public order and end the chaos gripping the state.;;;;;;;;;;;;;x
var_senate_majority;Senators Required For Majority Vote;;;;;;;;;;;;;x
var_senate_majority_liege;Senators Required For Majority Vote;;;;;;;;;;;;;x
faction_anti_war_short;Anti-War;;;;;;;;;;;;;x
faction_anti_war_title;Anti-War;;;;;;;;;;;;;x
faction_anti_war_desc;The members of this faction believe that the [This.Liege.PrimaryTitle.GetFullName] needs peace. Some are dedicated pacifists, while others simply tire of the current wars. In either case, they will not vote for any new declarations of war, and may vote to abandon ongoing offensive wars.;;;;;;;;;;;;;x
faction_revanchist_short;Revanchist;;;;;;;;;;;;;x
faction_revanchist_title;[This.Liege.PrimaryTitle.GetAdjective] Revanchism;;;;;;;;;;;;;x
faction_revanchist_desc;The members of this faction are infuriated by the loss of [This.Liege.PrimaryTitle.GetAdjective] worlds to the enemy in recent years, and are willing to use military force to reclaim them. This faction supports Claim and De Jure wars.;;;;;;;;;;;;;x
faction_nationalist_short;Nationalist;;;;;;;;;;;;;x
faction_nationalist_title;[This.Liege.PrimaryTitle.GetAdjective] Nationalism;;;;;;;;;;;;;x
faction_nationalist_desc;The members of this faction are proud [This.Liege.PrimaryTitle.GetAdjective] patriots who refuse to allow their fellow citizens to suffer under foreign occupation. This faction supports Cultural Liberation wars.;;;;;;;;;;;;;x
faction_interventionist_short;Intervenionist;;;;;;;;;;;;;x
faction_interventionist_title;[This.Liege.Religion.GetName] Radicals;;;;;;;;;;;;;x
faction_secessionist_short;Secessionist;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
faction_anti_centralization_short;Anti-Centralization;;;;;;;;;;;;;x
faction_anti_centralization_title;Anti-Centralization in [This.GetName];;;;;;;;;;;;;x
faction_anti_centralization_desc;This faction opposes the centralization of the [This.GetAdjective] government and wishes to grant greater autonomy to local governments.;;;;;;;;;;;;;x
faction_anti_centralization_bill;Pass Decentralization Act;;;;;;;;;;;;;x
faction_anti_centralization_bill_desc;You are the leader of the Anti-Centralization faction in the [Root.Liege.PrimaryTitle.GetAdjective] Senate. With a majority in the Senate, and the support of the Prime Minister and Regent should either exist, you could pass a bill weakening the central government and giving more power to outlying sectors.;;;;;;;;;;;;;x
var_anti_centralization;Senate Majority Against Centralization;;;;;;;;;;;;;x
EVTDESCLAWS10000;As leader of the Anti-Centralization faction in the [Root.Liege.PrimaryTitle.GetAdjective] Senate, you have carefully crafted a bill that will reform the [Root.Liege.PrimaryTitle.GetFullName], weakening the central government and increasing the autonomy of the outlying sectors. You have enough support to get this bill passed in the Senate.;;;;;;;;;;;;;x
EVTOPTBLAWS10000;And [Root.Liege.Regent.GetFullName] is already on our side!;;;;;;;;;;;;;x
EVTDESCLAWS10001;The Anti-Centralization faction of the [From.Liege.PrimaryTitle.GetAdjective] Senate has crafted a bill that will reform the [From.Liege.PrimaryTitle.GetFullName] by granting greater autonomy to local governments. As Executor, it falls to you sign this bill into law.;;;;;;;;;;;;;x
EVTDESCLAWS10002;Your executor, [From.GetFullName], has signed a bill passed by the Anti-Centralization faction in the [Root.PrimaryTitle.GetAdjective] Senate, granting more autonomy to local governments.;;;;;;;;;;;;;x
EVTOPTALAWS10002;Whatever.;;;;;;;;;;;;;x
EVTOPTBLAWS10002;How dare [From.GetSheHe]?!;;;;;;;;;;;;;x
EVTOPTCLAWS10002;[From.GetSheHeCap] did the right thing.;;;;;;;;;;;;;x
EVTDESCLAWS10010;The [Root.PrimaryTitle.GetAdjective] Senate has passed a new bill, granting greater autonomy to local governments and weakening the authority of the central government. As [Root.PrimaryTitle], it is your constitutional duty to enact this new law immediately.;;;;;;;;;;;;;x
EVTDESCLAWS10011;The [From.PrimaryTitle.GetAdjective] Senate has passed a new bill, granting greater autonomy to local governments and weakening the authority of the central government.;;;;;;;;;;;;;x
EVTDESCLAWS10050;As leader of the Anti-Centralization faction, you have decided that the time is right. Together, you and your allies will demand that greater autonomy be granted to local governments.;;;;;;;;;;;;;x
EVTDESCLAWS10051;A collection of regional governors - including yourself - wish to pass a new law granting greater autonomy to local governments within the [From.Liege.PrimaryTitle.GetFullName]. As Executor, you have the power to make this law a reality.;;;;;;;;;;;;;x
EVTDESCLAWS10052;Your executor, [From.GetFullName], has enacted a new law in your name, granting greater autonomy to local governments.;;;;;;;;;;;;;x
EVTDESCLAWS10060;[From.GetFullName], [From.GetTitle] of [From.PrimaryTitle.GetName] and leader of the Anti-Centralization faction, has presented you with a list of demands. [From.GetSheHeCap] and [From.GetHerHis] supporters are demanding that you grant more autonomy to your regional governors.;;;;;;;;;;;;;x
EVTDESCLAWS10061;The [From.GetTitle], under the advice of the Anti-Centralization faction, has enacted new laws weakening the central government of the [From.PrimaryTitle.GetAdjective] central government and granting greater autonomy to local sector governors.;;;;;;;;;;;;;x
EVTDESCLAWS10062;The Anti-Centralization faction attempted to convince the [From.GetTitle] to weaken the central government of the [From.PrimaryTitle.GetFullName], but [From.GetSheHe] refused.;;;;;;;;;;;;;x
faction_pro_centralization_short;Pro-Centralization;;;;;;;;;;;;;x
faction_pro_centralization_title;Pro-Centralization in [This.GetName];;;;;;;;;;;;;x
faction_pro_centralization_desc;This faction supports the centralization of the [This.GetFullName] and wishes to reduce the autonomy of local governments and increase the authority of the central government.;;;;;;;;;;;;;x
faction_pro_centralization_bill;Pass Centralization Act;;;;;;;;;;;;;x
faction_pro_centralization_bill_desc;You are the leader of the Pro-Centralization faction in the [Root.Liege.PrimaryTitle.GetAdjective] Senate. With a majority in the Senate, and the support of the Prime Minister and Regent should either exist, you could pass a bill strengthening the central government and taking away the privileges of outlying sectors.;;;;;;;;;;;;;x
var_pro_centralization;Senate Majority For Centralization;;;;;;;;;;;;;x
EVTDESCLAWS10100;As leader of the Pro-Centralization faction in the [Root.Liege.PrimaryTitle.GetAdjective] Senate, you have carefully crafted a bill that will reform the [Root.Liege.PrimaryTitle.GetFullName], strengthening the central government and ending the abuse of power by outlying sector governors. You have enough support to get this bill passed in the Senate.;;;;;;;;;;;;;x
EVTOPTBLAWS10100;And [Root.Liege.Regent.GetFullName] is already on our side!;;;;;;;;;;;;;x
EVTDESCLAWS10101;The Pro-Centralization faction of the [From.Liege.PrimaryTitle.GetAdjective] Senate has crafted a bill that will reform the [From.Liege.PrimaryTitle.GetFullName] by curtailing the powers of local governments and strengthening the central government. As Executor, it falls to you sign this bill into law.;;;;;;;;;;;;;x
EVTDESCLAWS10102;Your executor, [From.GetFullName], has signed a bill passed by the Pro-Centralization faction in the [Root.PrimaryTitle.GetAdjective] Senate, curtailing the power of local governments and strengthening the authority of the central government.;;;;;;;;;;;;;x
EVTOPTALAWS10102;Whatever.;;;;;;;;;;;;;x
EVTOPTBLAWS10102;How dare [From.GetSheHe]?!;;;;;;;;;;;;;x
EVTOPTCLAWS10102;[From.GetSheHeCap] did the right thing.;;;;;;;;;;;;;x
EVTDESCLAWS10110;The [Root.PrimaryTitle.GetAdjective] Senate has passed a new bill, greatly curtailing the powers of local governments and strengthening the authority of the central government. As [Root.PrimaryTitle], it is your constitutional duty to enact this new law immediately.;;;;;;;;;;;;;x
EVTDESCLAWS10111;The [From.PrimaryTitle.GetAdjective] Senate has passed a new bill, greatly curtailing the powers of local governments and strengthening the authority of the central government.;;;;;;;;;;;;;x
EVTDESCLAWS10150;As leader of the Pro-Centralization faction, you have decided that the time is right. Together, you and your allies will demand an end to the abuse of power by sector governors, and bring centralized authority to the [Root.Liege.PrimaryTitle.GetFullName].;;;;;;;;;;;;;x
EVTDESCLAWS10151;A collection of regional governors - including yourself - wish to pass a new law strengthening the central government of the [From.Liege.PrimaryTitle.GetFullName] and putting an end to the abuse of power by regional governors. As Executor, you have the power to make this law a reality.;;;;;;;;;;;;;x
EVTDESCLAWS10152;Your executor, [From.GetFullName], has enacted a new law in your name, curtailing the power and autonomy of local sector governments.;;;;;;;;;;;;;x
EVTDESCLAWS10160;[From.GetFullName], [From.GetTitle] of [From.PrimaryTitle.GetName] and leader of the Pro-Centralization faction, has presented you with a list of demands. [From.GetSheHeCap] and [From.GetHerHis] supporters are demanding that you curb the rampant abuses of power by local sector governors and increase the authority of the [Root.PrimaryTitle.GetAdjective] central government.;;;;;;;;;;;;;x
EVTDESCLAWS10161;The [From.GetTitle], under the advice of the Pro-Centralization faction, has enacted new laws strengthening the central government of the [From.PrimaryTitle.GetAdjective] central government and curtailing the powers of local sector governors.;;;;;;;;;;;;;x
EVTDESCLAWS10162;The Pro-Centralization faction attempted to convince the [From.GetTitle] to strengthen the central government of the [From.PrimaryTitle.GetFullName], but [From.GetSheHe] refused.;;;;;;;;;;;;;x
faction_estabilish_legislature_short;Parliamentarian;;;;;;;;;;;;;x
faction_estabilish_legislature_title;Democratic Senate for [This.GetName];;;;;;;;;;;;;x
