#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCLIFESTYLE10;You've always had an interest in botany - from the humble flowers of Earth to the most exotic of alien flora, from the oak tree to the [GetRandomPlantName]. You're considering starting a garden, with a focus on exotic alien plants.;;;;;;;;;;;;;x
EVTOPTALIFESTYLE10;I couldn't imagine a finer goal.;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE10;Plants aren't for me.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE11;You've always had an interest in both the natural world and the unnatural one. You find your curiosity constantly piqued. The universe is vast and full of wonders. You want to know more. You NEED to know more.;;;;;;;;;;;;;x
EVTOPTALIFESTYLE11;I will dedicate my life to the pursuit of knowledge.;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE11;There are more important things.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE12;Lately, you've been getting into sports [Root.GetAthleticsMotive]. You're considering trying out for the local amateur football team.;;;;;;;;;;;;;x
String_as_a_form_of_exercise;as a form of exercise;;;;;;;;;;;;;x
String_to_relax_and_take_your_mind_off_things;to relax and take your mind off things;;;;;;;;;;;;;x
String_to_fully_test_the_abilities_of_your_cybernetics;to fully test the abilities of your cybernetics;;;;;;;;;;;;;x
EVTOPTALIFESTYLE12;Sounds like a great idea.;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE12;Sounds like a waste of time and effort.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE13;You're fascinated by the wildlife of [homeworld.GetName] - and not in a sense of pure scientific curiosity, but in a far more visceral one. There are giant creatures and ferocious beasts out there to contend with. You yearn for the thrill of the predator.;;;;;;;;;;;;;x
EVTOPTALIFESTYLE13;Let the hunt begin!;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE13;Actually, no, it's the curiosity thing.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE14;Most see falconry as an antiquated pursuit, a favored pastime of ancients long consigned to history. You disagree. You think it's time such noble pursuits were brought back.;;;;;;;;;;;;;x
EVTOPTALIFESTYLE14;Fetch me a falcon!;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE14;On second thought, maybe the past should stay in the past.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE15;You have more unfinished novellas than you do hairs. The size of your documents folder has exceded the orbit of Neptune. Yesterday you got into a heated argument about the Oxford comma. Maybe it's time to come clean.;;;;;;;;;;;;;x
EVTOPTALIFESTYLE15;I'm a writer.;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE15;I can quit any time I want!;;;;;;;;;;;;;x
EVTDESCLIFESTYLE16;The world you see in your mind's eye needs to escape. In your free time, you find yourself sketching, trying to put your vision on paper.;;;;;;;;;;;;;x
EVTOPTALIFESTYLE16;I'm an artist.;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE16;I have no real interest in this.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE17;You find yourself naturally drawn to the martial arts - interested in everything from fistfights to how properly handle a laser pistol. And not just for practical reasons - you enjoy the challenge and the competition.;;;;;;;;;;;;;x
EVTOPTALIFESTYLE17;All will fall before my blade!;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE17;Perhaps I should consider a less violent hobby.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE18;Travelling through hyperspace is more than enough to realize just how small the human experience really is. The galaxy is vast, and our knowledge small. Who knows what could be lurking out there, beyond the skin of the world we know?;;;;;;;;;;;;;x
EVTOPTALIFESTYLE18;I will discover the deep mysteries of the cosmos.;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE18;No, even the strangest things can be understood.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE19;You've been spending an awfully long time in VR lately. The real world is so prosaic, so dull. You much prefer building 23rd century space colonies and gunning down hordes of goblins to doing your actual job.;;;;;;;;;;;;;x
EVTOPTALIFESTYLE19;We live in a society.;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE19;Bottom text.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE210;Your friend [From.GetCrisisBestName] is an avid gardener, who dedicates [From.GetHerHis] free time to maintaining a beautiful garden of exotic alien plants. Just taking a walk through it with [From.GetHerHim] is breathtaking, as [From.GetSheHe] enthusiastically shows off every individual specimen.;;;;;;;;;;;;;x
EVTOPTALIFESTYLE210;I think I might take this up myself.;;;;;;;;;;;;;x
EVTOPTBLIFESTYLE210;I'll leave stuff like this to [From.GetHerHim].;;;;;;;;;;;;;x
EVTDESCLIFESTYLE211;Your friend [From.GetCrisisBestName] seems to know absolutely everything. [From.GetSheHeCap] spends entire evenings talking about the details of things you didn't even know existed. It always makes for fascinating conversation.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE212;Your friend [From.GetCrisisBestName] is one of the finest athletes you know, even if [From.GetSheHe] doesn't do it professionally. Today, [From.GetSheHe] challenged you to a one-on-one, and of course soundly defeated you, but you had the time of your life doing it.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE213;Today, your friend [From.GetCrisisBestName] took you on a hunting expedition. You'd never thought much of hunting before, but you have to admit, you enjoyed the thrill of matching wits with some of the most formidable creatures in the galaxy.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE214;One of your friend [From.GetCrisisBestName]'s eccentricities is [From.GetHerHim] love of falconry. You'd always thought it was a strange and unusual hobby, but today you accompanied [From.GetHerHim] on a hunt, and you have to admit, you're a little jealous of the rapport [From.GetSheHe] seems to have with [From.GetHerHis] avian.;;;;;;;;;;;;;x
EVTDESCLIFESTYLE215;Your friend [From.GetCrisisBestName] is an avid writer, with multiple published works. You've always enjoyed reading samples of [From.GetHerHis] works, but you find yourself wishing you could talk to [From.GetHerHim] more about the creative process behind them.;;;;;;;;;;;;;x
