#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
not_ready_to_marry;Seeking Marriage of Love;;;;;;;;;;;;;x
not_ready_to_marry_desc;This character wants to marry someone of their own choice, and will currently not agree to a political marriage. Given time, they may change their mind.;;;;;;;;;;;;;x
force_arranged_marriage;Force [This.GetBestName] to Marry;;;;;;;;;;;;;x
force_arranged_marriage_desc;[This.GetBestName] stubbornly refuses to accept an arranged marriage. You have the power to force [This.GetHerHim], if you so desire.;;;;;;;;;;;;;x
seek_political_marriage;Seek a Political Marriage;;;;;;;;;;;;;x
seek_political_marriage_desc;Perhaps the time has come for you to give up the foolish, romantic dreams of youth and seek a more practical marriage?;;;;;;;;;;;;;x
not_having_babies_1;Has a Child;;;;;;;;;;;;;x
not_having_babies_1_desc;This character has already had one child, and can consider their biological imperative satisfied.;;;;;;;;;;;;;x
not_having_babies_2;Has Two Children;;;;;;;;;;;;;x
not_having_babies_2_desc;This character already has two children, which is quite sufficient to maintain the galactic population.;;;;;;;;;;;;;x
not_having_babies_3;Has Three Children;;;;;;;;;;;;;x
not_having_babies_3_desc;This character already has three children. It's highly unlikely they'll ever want a fourth.;;;;;;;;;;;;;x
opinion_forced_arranged_marriage;Forced Me Into an Arranged Marriage;;;;;;;;;;;;;x
EVTDESCLOVERS0;You've been spending a lot of time in the company of [From.GetFullName] lately, and you're starting to think you might be developing romantic feelings for [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTALOVERS0;I must confess my love!;;;;;;;;;;;;;x
EVTOPTBLOVERS0;It's not appropriate.;;;;;;;;;;;;;x
EVTTOOLTIPLOVERS1;will be told of your love for [This.GetHerHim].;;;;;;;;;;;;;x
EVTDESCLOVERS1;You've been spending a lot of time in the company of [From.GetFullName] lately, but this is the first time [From.GetSheHe] has ever opened up to you so dramatically. After an oddly romantic evening, [From.GetSheHe] finally opens up [From.GetHerHis] heart.\n'I love you, [Root.GetFirstName].';;;;;;;;;;;;;x
EVTOPTALOVERS1;I know.;;;;;;;;;;;;;x
EVTOPTBLOVERS1;I... I'm sorry, [From.GetFirstName].;;;;;;;;;;;;;x
EVTTOOLTIPLOVERS2;will become your lover.;;;;;;;;;;;;;x
EVTDESCLOVERS2;You take [From.GetFirstName] out on a whirlwind romantic tour, before finally confessing your love - and to your joy [From.GetSheHe] returns it.;;;;;;;;;;;;;x
EVTOPTALOVERS2;This is the happiest day of my life!;;;;;;;;;;;;;x
EVTTOOLTIPLOVERS3;will be heartbroken.;;;;;;;;;;;;;x
EVTDESCLOVERS3;You take [From.GetFirstName] out on a whirlwind romantic tour, before finally confessing your love - only for [From.GetHerHim] to shoot you down.;;;;;;;;;;;;;x
EVTOPTALOVERS3;What will I do without [From.GetHerHim]?;;;;;;;;;;;;;x
EVTTOOLTIPLOVERS4;breaks up with you.;;;;;;;;;;;;;x
EVTDESCLOVERS4;Something has come between you and [From.GetFirstName]. You've tried to make things right, but you've finally come to realize that there's simply no way the two of you can be together.;;;;;;;;;;;;;x
EVTOPTALOVERS4;I'm sorry, [From.GetFirstName]. It's over.;;;;;;;;;;;;;x
EVTDESCLOVERS5;Something has gone horribly wrong. You and [From.GetFirstName] have been struggling with each other for a while, but matters have finally come to a head, and [From.GetSheHe] has put an end to your relationship.;;;;;;;;;;;;;x
EVTOPTALOVERS5;What will I do without [From.GetHerHim]?;;;;;;;;;;;;;x
EVTOPTBLOVERS5;My only regret is that [From.GetSheHe] beat me to it.;;;;;;;;;;;;;x
EVTTOOLTIPLOVERS6;will not be happy about this.;;;;;;;;;;;;;x
EVTDESCLOVERS6;[From.GetFirstName] has not been entirely faithful - it appears that [From.GetSheHe] has started a relationship with [FromFrom.GetFullName].;[From.GetFirstName] vous a quitter pour quelqu'un d'autre!;;;;;;;;;;;;x
EVTOPTALOVERS6;I can live with that, I suppose.;Je suppose qu'il est temps de laisser [From.GetFirstName] partir.;;;;;;;;;;;;x
EVTOPTBLOVERS6;That traitor! I'll never forgive [From.GetHerHim]!;Quel traitre!Je n'oublierais jamais [From.GetHerHim]!;;;;;;;;;;;;x
EVTOPTCLOVERS6;This '[FromFrom.GetFirstName]' will pay for trying to steal my love!;Ce '[FromFrom.GetFirstName]' paiera pour m'avoir voler mon amour!;;;;;;;;;;;;x
EVTDESCLOVERS8;You have a rival for [FromFrom.GetFirstName]'s affections - [From.GetFullName], [FromFrom.GetHerHis] lover, confronted you in the corridor and demanded that you keep your hands away from [FromFrom.GetHerHim].;;;;;;;;;;;;;x
EVTOPTALOVERS8;[FromFrom.GetSheHeCap] doesn't belong to you, [From.GetFirstName].;;;;;;;;;;;;;x
EVTOPTALOVERS9;All's fair in love & war!;;;;;;;;;;;;x 
EVTDESCLOVERS9;[FromFrom.GetFirstName] was not happy about you trying to start up a new relationship. [From.GetSheHeCap] may still love you, but [From.GetSheHe] is absolutely livid with poor [From.GetFirstName]. The two almost came to blows in a corridor the other night.;Je suppose qu'il est temps de laisser [From.GetFirstName] partir.;;;;;;;;;;;;x
EVTDESCLOVERS100;You have finally come of age, and are now beginning to feel attracted to some of the people around you.;;;;;;;;;;;;;x
EVTOPTALOVERS100;I like men.;;;;;;;;;;;;;x
EVTOPTBLOVERS100;I like women.;;;;;;;;;;;;;x
EVTDESCLOVERS20;You've been hearing rumors for some time now, but now you have confirmed them - [FromFrom.GetFullName] shares your love for [From.GetFirstName]. Alas, you cannot share [From.GetHerHim].;Vous entendiez des rumeurs depuis quelque temps déjà, mais maintenant vous en avez confirmation - [FromFrom.GetFullName] partage votre amour avec [From.GetFirstName]. Hélas, [From.GetHerHim] n'est pas partageable.;;;;;;;;;;;;x
