#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
stress_var;Stress;;;;;;;;;;;;;x
BECAUSEHONEST;Because you have the §YHonest§! trait: ;;;;;;;;;;;;;x
BECAUSEDECEITFUL;Because you have the §YDeceitful§! trait: ;;;;;;;;;;;;;x
BECAUSEEXTRAVERTED;Because you have the §YExtroverted§! trait: ;;;;;;;;;;;;;x
BECAUSEINTROVERTED;Because you have the §YIntroverted§! trait: ;;;;;;;;;;;;;x
BECAUSEOPENMINDED;Because you have the §YCurious§! trait: ;;;;;;;;;;;;;x
BECAUSECLOSEMINDED;Because you have the §YCautious§! trait: ;;;;;;;;;;;;;x
BECAUSEFRIENDLY;Because you have the §YFriendly§! trait: ;;;;;;;;;;;;;x
BECAUSECOLD;Because you have the §YCold§! trait: ;;;;;;;;;;;;;x
BECAUSEDISCIPLINED;Because you have the §YDisciplined§! trait: ;;;;;;;;;;;;;x
BECAUSECAREFREE;Because you have the §YCarefree§! trait: ;;;;;;;;;;;;;x
BECAUSECONFIDENT;Because you have the §YConfident§! trait: ;;;;;;;;;;;;;x
BECAUSENEUROTIC;Because you have the §YNeurotic§! trait: ;;;;;;;;;;;;;x
BECAUSEBRAVE;Because you have the §YBrave§! trait: ;;;;;;;;;;;;;x
BECAUSECRAVEN;Because you have the §YCraven§! trait: ;;;;;;;;;;;;;x
BECAUSESPIRITUAL;Because you have the §YSpiritual§! trait: ;;;;;;;;;;;;;x
BECAUSESKEPTICAL;Because you have the §YSkeptical§! trait: ;;;;;;;;;;;;;x
BECAUSERADICAL;Because you have the §YRadical§! trait: ;;;;;;;;;;;;;x
BECAUSEPRAGMATIC;Because you have the §YModerate§! trait: ;;;;;;;;;;;;;x
BECAUSEAMORAL;Because you have the §YAmoral§! trait: ;;;;;;;;;;;;;x
player_positive_stress;Stress;;;;;;;;;;;;;x
player_positive_stress_desc;[Root.GetCrisisBestName] currently has [Root.stress_var.GetValue] Stress. [Root.GetStressLimit];;;;;;;;;;;;;x
String_stress_limit_neurotic;Because [Root.GetSheHe] has the §YNeurotic§! trait, [Root.GetSheHe] will suffer mental health issues at 50 Stress and above.;;;;;;;;;;;;;x
String_stress_limit_normal;[Root.GetSheHeCap] will suffer mental health issues at 100 Stress and above.;;;;;;;;;;;;;x
String_stress_limit_confident;Because [Root.GetSheHe] has the §YConfident§! trait, [Root.GetSheHe] will only suffer mental health issues at 150 Stress and above.;;;;;;;;;;;;;x
EVTDESCBATTLE100;Laser fire rakes across the stars. All around you, ships burn, the void glowing with silent fires. You think your skinsuit might have lost pressure, but you can't be sure, not in the haunting emptiness. Somewhere, deep inside, you can't help but wonder what difference it makes whether you're alive or dead.;;;;;;;;;;;;;x
EVTOPTABATTLE100;I need to get out of here!;;;;;;;;;;;;;x
EVTOPTBBATTLE100;No, please, not again...;;;;;;;;;;;;;x
EVTOPTCBATTLE100;I can't take this anymore!;;;;;;;;;;;;;x
EVTDESCMENTALHEALTH100;You stop in the middle of the corridor. You think you might have been holding something, but whatever it was, it's gone now. You aren't sure how, but suddenly, you're back with your most horrible memory. The skies afire, the screams, the absolute certainty of death.;;;;;;;;;;;;;x
EVTOPTAMENTALHEALTH100;Make it stop!;;;;;;;;;;;;;x
