#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
order_military_campaign;Send on Campaign;;;;;;;;;;;;x
order_military_campaign_desc;Order the [This.PrimaryTitle.GetFullName] to undertake a military campaign against the enemies of the state.;;;;;;;;;;;;x
authorize_occupation_decision;Authorize Occupation;;;;;;;;;;;;x
authorize_occupation_decision_desc;Grant military directorates and commands claims on all enemies of the state for future undertaking.;;;;;;;;;;;;x
EVTTOOLTIPMILITARY1000;You will be asked to select a target for [This.GetTitle] [This.GetFullName] to attack.;;;;;;;;;;;;;x
EVTDESCMILITARY1001;We are at war, and our forces must be committed against the enemy. Which of our enemies should [From.GetTitle] [From.GetFullName] and the [From.PrimaryTitle.GetFullName] undertake a military campaign against?;;;;;;;;;;;;x
EVTOPTAMILITARY1001;The ringleaders.;;;;;;;;;;;;;x
EVTOPTBMILITARY1001;Our greatest military threat.;;;;;;;;;;;;;x
EVTOPTCMILITARY1001;Those within striking distance of [From.GetOnlyDynastyName]'s command center.;;;;;;;;;;;;;x
EVTDESCMILITARY1003;TO: [Root.GetTitle] [Root.PrimaryTitle.GetFullName]\nFROM: [FromFrom.GetTitle] [FromFrom.GetFullName]\nRE: Military Operations\nYou are hereby ordered to undertake military operations against the [From.PrimaryTitle.GetFullName]. This campaign will henceforth be designated Operation [Root.Religion.GetRandomEvilGodName].;;;;;;;;;;;;;x
cb_military_campaign;Military Campaign;;;;;;;;;;;;;x
CB_NAME_MILITARY_CAMPAIGN;Military Campaign;;;;;;;;;;;;;x
cb_military_campaign_desc;Conduct military operations against an enemy state. If successful, we will capture their leader, allowing our leaders to negotiate peace from a position of strength.;;;;;;;;;;;;;x
WAR_NAME_MILITARY_CAMPAIGN;Operation [Actor.Religion.GetRandomEvilGodName];;;;;;;;;;;;;x
successful_campaign;Military Victory;;;;;;;;;;;;;x
