#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_expected_successor;Expected Successor;;;;;;;;;;;;;x
title_expected_successor_desc;This character is currently expected to succeed their superior upon their death or retirement.;;;;;;;;;;;;;x
opinion_appointed_me;Appointed me;;;;;;;;;;;;;
opinion_promised_me_appointment;Promised an Appointed Title;;;;;;;;;;;;;x
opinion_refused_me_appointment;Refused an Appointed Title;;;;;;;;;;;;;x
opinion_retracted_promised_appointment;Retracted a Promised Appointed Title;;;;;;;;;;;;;x
opinion_stole_promised_appointment;Stole My Future Appointed Title;;;;;;;;;;;;;x
opinion_attempted_appointment_theft;Tried to Steal My Future Appointed Title;;;;;;;;;;;;;x
opinion_nominated_me_for_appointment;Nominated Me For Appointed Title;;;;;;;;;;;;;x
opinion_promised_relative_appointment;Promised a Relative an Appointed Title;;;;;;;;;;;;;x
opinion_refused_relative_appointment;Refused a Relative an Appointed Title;;;;;;;;;;;;;x
opinion_retracted_relative_appointment;Retracted a Relative's Promised Appointed Title;;;;;;;;;;;;;x
open_appointment_nomination_menu;Open Appointment Menu;;;;;;;;;;;;;x
open_appointment_nomination_menu_desc;Access decisions allowing you to nominate either yourself or your relatives as the Expected Successors to various Appointed titles.;;;;;;;;;;;;;x
close_appointment_nomination_menu;Close Appointment Menu;;;;;;;;;;;;;x
close_appointment_nomination_menu_menu_desc;Hide appointment nomination decisions to clear up some space on the decision list.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
stand_down_decision;Stand Down as [From.GetTitle];;;;;;;;;;;;;x
stand_down_decision_desc;You consider yourself not fit enough to lead anymore. You have decided to stand down.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
nominate_self_for_appointment;Nominate for [Root.Liege.GetTitle];;;;;;;;;;;;;x
nominate_self_for_appointment_desc;[Root.Liege.GetTitle] [Root.Liege.GetOnlyDynastyName] currently controls an appointed office. You could approach [Root.Liege.Liege.GetTitle] [Root.Liege.Liege.GetOnlyDynastyName] and suggest that [Root.Liege.Liege.GetSheHe] appoint you as [Root.Liege.GetHerHis] successor.;;;;;;;;;;;;;x
nominate_relative_for_appointment;Nominate for [Root.Liege.GetTitle];;;;;;;;;;;;;x
nominate_relative_for_appointment_desc;[Root.GetFullName]'s superior, [Root.Liege.GetTitle] [Root.Liege.GetOnlyDynastyName], currently controls an appointed office. You could approach [Root.Liege.Liege.GetTitle] [Root.Liege.Liege.GetOnlyDynastyName] and suggest that [Root.Liege.Liege.GetSheHe] appoint [Root.GetFirstName] as [Root.Liege.GetOnlyDynastyName]'s successor.;;;;;;;;;;;;;x
nominate_nonrelative_for_appointment;Nominate for [Root.Liege.GetTitle];;;;;;;;;;;;;x
nominate_nonrelative_for_appointment_desc;[Root.GetFullName]'s superior, [Root.Liege.GetTitle] [Root.Liege.GetOnlyDynastyName], currently controls an appointed office. You could approach [Root.Liege.Liege.GetTitle] [Root.Liege.Liege.GetOnlyDynastyName] and suggest that [Root.Liege.Liege.GetSheHe] appoint [Root.GetFirstName] as [Root.Liege.GetOnlyDynastyName]'s successor.;;;;;;;;;;;;;x
unnominate_for_appointment;Unnominate for [Root.Liege.GetTitle];;;;;;;;;;;;;x
unnominate_for_appointment_desc;[Root.GetFullName] is actually the expected successor of his/her superior, [Root.Liege.GetTitle] [Root.Liege.GetOnlyDynastyName]. You could approach [Root.Liege.Liege.GetTitle] [Root.Liege.Liege.GetOnlyDynastyName] and suggest that [Root.Liege.Liege.GetSheHe] not be appointed [Root.GetFirstName] as [Root.Liege.GetOnlyDynastyName]'s successor anymore.;;;;;;;;;;;;;x
ALREADYSUCCESSOR;[This.GetFullName] is not already [This.Liege.GetFullName]'s Expected Successor.\n;;;;;;;;;;;;;x
EVTDESCNEPOTISM3;You have appointed [From.GetFullName] to [FromFrom.GetFullName]'s former offices.;;;;;;;;;;;;;x
EVTDESCNEPOTISM4;[From.GetTitle] [From.GetOnlyDynastyName] has appointed [FromFrom.GetFullName] to several of your former offices.;;;;;;;;;;;;;x
EVTDESCNEPOTISM5;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [FromFrom.GetTitle] [FromFrom.GetFullName]\nRE: Appointment to Office\n[From.GetFullName]'s departure has left critical vacancies. As previously agreed, I am appointing you to fulfill those vacancies.;;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM100;You will prepare to approach [Root.Liege.Liege.GetTitle] [Root.Liege.Liege.GetOnlyDynastyName].;;;;;;;;;;;;;x
EVTDESCNEPOTISM100;You are considering nominating yourself as [Root.Liege.GetTitle] [Root.Liege.GetFullName]'s expected successor.;;;;;;;;;;;;;x
EVTOPTANEPOTISM100;Nominate yourself;;;;;;;;;;;;;x
EVTOPTOFFERAFAVOR;Ask [Root.Liege.GetTitle] [Root.TopLiege.GetFullName] to nominate you in return for a favor;;;;;;;;;;;;;x
EVTOPTBNEPOTISM100;I'll need to talk to [Root.Liege.Liege.GetTitle] [Root.Liege.Liege.GetOnlyDynastyName].;;;;;;;;;;;;;x
EVTOPTCNEPOTISM100;I'll need to talk to the Regent.;;;;;;;;;;;;;x
EVTOPTDNEPOTISM100;I'll need to talk to the Prime Minister.;;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM101;will consider your nomination.;;;;;;;;;;;;;x
EVTDESCNEPOTISM101;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: Future Office Appointments\nIt has come to my attention that you are in need of a successor in the event of [From.Liege.GetTitle] [From.Liege.GetFullName]'s eventual death or retirement. I wish to apply for a position as the next holder of [From.Liege.GetHerHis] appointed offices.;;;;;;;;;;;;;x
EVTDESCNEPOTISM102;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: Future Office Appointments\nAfter considering your proposal, I have found your case most convincing. You may now consider yourself [Root.Liege.GetTitle] [Root.Liege.GetOnlyDynastyName]'s expected successor.;;;;;;;;;;;;;x
EVTOPTANEPOTISM102;Mission accomplished.;;;;;;;;;;;;;x
EVTDESCNEPOTISM103;[From.GetTitle] [From.GetOnlyDynastyName] is now expected to appoint [FromFrom.GetTitle] [FromFrom.GetFullName] as your successor.;;;;;;;;;;;;;x
EVTOPTANEPOTISM104;[From.GetTitle] [From.GetOnlyDynastyName] is now apparently expected to appoint [FromFrom.GetTitle] [FromFrom.GetFullName] as [Root.Liege.GetTitle] [Root.Liege.GetOnlyDynastyName]'s successor.;;;;;;;;;;;;;x
EVTOPTANEPOTISM104;Damn you, [FromFrom.GetOnlyDynastyName], we had a deal!;;;;;;;;;;;;;x
EVTOPTANEPOTISM105;Your [GetFromRelation], [From.GetFullName], is apparently no longer [From.Liege.GetTitle] [From.Liege.GetOnlyDynastyName]'s expected successor.;;;;;;;;;;;;;x
EVTOPTANEPOTISM105;You gave me your word, damn you!;;;;;;;;;;;;;x
EVTDESCNEPOTISM106;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: Future Office Appointments\nAfter considering your proposal, I regret to inform you that I cannot accept your nomination at this time.;;;;;;;;;;;;;x
EVTOPTANEPOTISM106;Well, it was worth a try.;;;;;;;;;;;;;x
EVTDESCNEPOTISM107;[FromFrom.GetTitle] [FromFrom.GetFullName] nominated [FromFrom.GetHerselfHimself] as your successor, but did not receive [From.GetTitle] [From.GetOnlyDynastyName]'s approval.;;;;;;;;;;;;;x
EVTDESCNEPOTISM108;[FromFrom.GetTitle] [FromFrom.GetFullName] tried to nominate [FromFrom.GetHerselfHimself] as [Root.Liege.GetTitle] [Root.Liege.GetOnlyDynastyName]'s successor, but did not receive [From.GetTitle] [From.GetOnlyDynastyName]'s approval.;;;;;;;;;;;;;x
EVTDESCNEPOTISM200;You have decided to nominate one of your relatives as the successor to their current superior, and identified the individual currently responsible for handling such appointments.;;;;;;;;;;;;;x
EVTOPTANEPOTISM200;Well, would you look at that, it's me!;;;;;;;;;;;;;x
