#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_criminal;Criminal;;;;;;;;;;;;;x
opinion_criminal_treason;Committed Treason;;;;;;;;;;;;;x
opinion_criminal_murder;Committed Murder;;;;;;;;;;;;;x
opinion_criminal_theft;Committed Theft;;;;;;;;;;;;;x
opinion_criminal_crimes_against_humanity;Committed Crimes Against Humanity;;;;;;;;;;;;;x
religious_group_opinion;Religious Group Opinion;;;;;;;;;;;;;;x
neo_feudal_opinion;Neo-Feudal Opinion;;;;;;;;;;;;;;x
astrist_opinion;Astrist Opinion;;;;;;;;;;;;;;x
terran_group_opinion;Terran Opinion;;;;;;;;;;;;;;x
avalonian_group_opinion;Avalonian Opinion;;;;;;;;;;;;;;x
orion_group_opinion;Orion Opinion;;;;;;;;;;;;;;x
colonial_separatist_opinion;Colonial Separatist Opinion;;;;;;;;;;;;;;x
terran_republican_opinion;Terran Republican Opinion;;;;;;;;;;;;;;x
terran_federalist_opinion;Terran Federalist Opinion;;;;;;;;;;;;;;x
terran_imperial_opinion;Terran Imperialist Opinion;;;;;;;;;;;;;;x
