#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
main_sequence;Main Sequence;Séquence principale;Hauptreihe;;Secuencia principal;;;;;;;;;x
white_dwarf;White Dwarf;Naine blanche;Weißer Zwerg;;Enana blanca;;;;;;;;;x
red_giant;Red Giant;Géante rouge;Rotor Riese;;Gigante roja;;;;;;;;;x
subgiant;Subgiant;Étoile sous-géante;Unterriese;;Subgigante;;;;;;;;;x
debris_disk;Debris Disk;Disque de débris;Trümmerscheibe;;Disco de escombros;;;;;;;;;x
pulsar;Pulsar;Pulsar;Pulsar;;Púlsar;;;;;;;;;x
neutron_star;Neutron Star;Étoile à neutrons;Neutronenstern;;Estrella de neutrones;;;;;;;;;x
black_hole;Black Hole;Trou noir;Schwarzes Loch;;Agujero negro;;;;;;;;;x
nebula;Nebula;Nébuleuse;Nebel;;Nebulosa;;;;;;;;;x
protostar;Protostar;Proto-étoile;Protostern;;Protoestrella;;;;;;;;;x
ct_asteroids;Asteroid Belt;;;;;;;;;;;;;x
ct_asteroids_desc;The many asteroids near the station allow for mining to occur, resulting in increased income for the holder.;;;;;;;;;;;;;x
