#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_disloyal_regent;Disloyal Executor;;;;;;;;;;;;;x
opinion_loyal_regent;Loyal Executor;;;;;;;;;;;;;x
opinion_tyrannical_regent;Tyrannical Executor;;;;;;;;;;;;;x
regent_release_decision;Release from Prison;;;;;;;;;;;;;x
regent_release_decision_desc;As executor, you have the authority to grant [This.GetFullName] a full pardon and order [This.GetHerHis] release.;;;;;;;;;;;;;x
REGENTRELEASETOOLTIP;[This.GetFullName] will be released from [This.Host.GetFullName]'s prison.\n;;;;;;;;;;;;;x
EVTDESCREGENT1000;[Root.Host.Regent.GetFullName], executor of the [Root.Host.PrimaryTitle.GetFullName], has granted you a full pardon and ordered your release.;;;;;;;;;;;;;x
EVTDESCREGENT1001;Your executor, [Root.Regent.GetFullName], has granted [From.GetFullName] a full pardon and ordered [From.GetHerHis] release.;;;;;;;;;;;;;x
EVTDESCREGENT1002;You have granted [From.GetFullName] a full pardon and ordered [From.GetHerHis] release.;;;;;;;;;;;;;x
EVTDESCREGENT1003;[From.Host.Regent.GetFullName] has granted [From.GetFullName] a full pardon and ordered [From.GetHerHis] release.;;;;;;;;;;;;;x
regent_execute_decision;Execute;;;;;;;;;;;;;x
regent_execute_decision_desc;As executor, you have the authority to have [This.GetFullName] executed for [This.GetHerHis] crimes, real or imagined.;;;;;;;;;;;;;x
REGENTEXECUTETOOLTIP;[This.GetFullName] will be executed. This will greatly upset [This.GetHerHis] friends and loved ones!\n;;;;;;;;;;;;;x
EVTDESCREGENT1100;[Root.Host.Regent.GetFullName], executor of the [Root.Host.PrimaryTitle.GetFullName], has ordered your execution. Within a matter of hours, you will have been put to death by lethal injection.;;;;;;;;;;;;;x
EVTDESCREGENT1101;[From.GetFullName] has been executed on your orders.;;;;;;;;;;;;;x
EVTDESCREGENT1102;Your [GetFromFromRelation], [FromFrom.GetFullName], has been executed on the orders of [From.GetFullName]!;;;;;;;;;;;;;x
EVTDESCREGENT1103;Your executor, [From.GetFullName], has ordered the execution of [FromFrom.GetFullName].;;;;;;;;;;;;;x
EVTDESCREGENT1104;[From.GetFullName] has ordered the execution of [FromFrom.GetFullName].;;;;;;;;;;;;;x
regent_take_vassal_decision;Vassalize;;;;;;;;;;;;;x
regent_take_vassal_decision_desc;As executor, you have the authority to take [This.GetFullName] and the [This.PrimaryTitle.GetFullName] under your control as your direct vassal.;;;;;;;;;;;;;x
REGENTBECOMEDIRECTVASSAL;[This.GetFullName] will become your direct vassal.\n;;;;;;;;;;;;;x
EVTDESCREGENT1200;TO: [Root.GetFullName]\nFROM: [From.GetFullName]\nRE: Hierarchy\nWe are making a major reform of the political hierarchy of the [From.Liege.PrimaryTitle.GetFullName]. Henceforth, you will be reporting to me, rather than directly to the [From.Liege.GetTitle].;;;;;;;;;;;;;x
