#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Technology Group Names
#Game is hardcoded to only three of them, and probably you can't change the code name

TECH_GROUP_MILITARY;Military Technology;Technologie militaire;;;;;;;;;;;;x
TECH_GROUP_ECONOMY;Social Sciences;Sciences sociales;;;;;;;;;;;;x
TECH_GROUP_CULTURE;Hard Sciences;Sciences naturelles;;;;;;;;;;;;x

#military tech


TECH_KINETIC;Kinetic Weapons;;;;;;;;;;;;;x
TECH_LASER;Energy Weapons;Armes à énergie;;;;;;;;;;;;x
TECH_MISSILES;Missiles;Missiles;;;;;;;;;;;;x
TECH_INTEL_N_SENSORS;Intel and Sensors;;;;;;;;;;;;;x
TECH_INFANTRY;Infantry;;;;;;;;;;;;;x
TECH_RECRUITMENT;Recruiting and Training;;;;;;;;;;;;;x


#§M"I am not interested in 'playing God'. I am offended by the very suggestion. I have seen His handiwork, and would never lower myself to such an amateur level."\n - Doctor Ambrose Bacon, Genetic Algorithms§!\nResearch into genetic manipulation and engineering, including human cloning and human genetic modification.
#§M"After conclusive review of all previous projects, we have determined that artificial general intelligence is either impossible or already achieved. We recommend future study be confined to narrower domains."\n - Report to the University of Tau Ceti§!\nResearch into the development of artificial intelligence, including more advanced combat techniques for Combat Drones.

#Hyperspace Physics;Physique de l'hyperespace;;;;;;;;;;;;x
#§M"The terrifying reality of the Tunneller Device, the machine at the heart of modern civilization, is that while we know what it does, we haven't the foggiest clue how it does it."\n - Doctor Jian Qiu, Fundamentals of Transuniversal Physics§!\nMuch of hyperspace remains a mystery to us. Perhaps further research in this area could allow us to shorten jump times and construct superior navigation systems.;L'hyperespace reste un mystère presque total pour nous. Peu être que des recherches dans ce domaine nous permettraient de raccourcir les temps de saut et de concevoir de meilleurs systèmes de navigation.;;;;;;;;;;;;x

TECH_KINETIC_DESC;§M"Getting into a tin can and throwing yourself into the vacuum of space is dangerous enough BEFORE someone starts shooting you."\n - Captain Gamalat Quteishat, Lecture Notes§!\nResearch into new forms of armor can improve the survivability of warships in combat.;La recherche de nouvelles formes de blindages peu améliorer les chances de survie au combat des vaisseaux de guerre.;;;;;;;;;;;;x
TECH_LASER_DESC;§M"The paradox of modern warfare is that even though we possess weapons any historical commander would consider perfect, we encounter such combat conditions that they somehow remain fallible."\n - Vice-Admiral Kwanza Husani, Ares Academy Handbook§!\nEnergy weapons, primarily lasers and particle cannons, are the single most common ship-to-ship combat weapon.;Les armes à énergie, principalement des laser et des cannons à particules, forment l'armement individuel de base pour les combats de vaisseau à vaisseau.;;;;;;;;;;;;x
TECH_MISSILES_DESC;§M"The first and most important rule of space combat is to be as far away from it as humanly possible."\n - Captain Gamalat Quteishat, Lecture Notes§!\nMissiles are an excellent weapon for use against large ships, and are most commonly mounted on small bombers.;Les missiles sont une armes parfaite contre les grands navires, et sont généralement installés sur de petits bombardiers.;;;;;;;;;;;;x
TECH_INTEL_N_SENSORS_DESC;;Recherche de tactiques de combat plus avancées pour les destroyers, croiseurs de bataille, et cuirassés.;;;;;;;;;;;;x
TECH_INFANTRY_DESC;;Bien que de moindre importance par rapport à l'hyperespace dans la majeur partie des voyages au long cours, la propulsion sousluminique conventionnelle joue un rôle vital au combat, spécialement pour préserver la survie de petits vaisseaux comme les chasseurs.;;;;;;;;;;;;x
TECH_RECRUITMENT_DESC;§M"The pride of this institution is that no matter what or who you were when you entered, you will be a soldier when you leave."\n - Yun Zhu, History of the First Thirteen§!\nResearch into the best methods for properly training a modern military.;Recherche de tactiques de combat plus avancées pour les chasseurs et bombardiers.;;;;;;;;;;;;x

TECH_TERRAFORMING;Xeno Terraforming;Xénobiologie;;;;;;;;;;;;x
