#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Star Type Names and Descriptions
neutron_star;Neutron Star;;;;;;;;;;;;;x
neutron_star_desc;These stars are compact masses of neutrons, they are usually only slightly heavier than Earth's sun, but their diameter is the size of a neighbourhood, about 20km.;;;;;;;;;;;;;x
main_sequence;Main Sequence;Séquence principale;Hauptreihe;;Secuencia principal;;;;;;;;;x
main_sequence_desc;These stars are the most popular choice for colonization, the sun is one of them thus they tend to offer similar environments, also they tend to be quite boring, in the sense no surprises are expected from them, and no surprises is a good thing in space.;Séquence principale;Hauptreihe;;Secuencia principal;;;;;;;;;x
white_dwarf;White Dwarf;Naine blanche;Weißer Zwerg;;Enana blanca;;;;;;;;;x
white_dwarf_desc;These tiny stars are what happens to a main sequence star after it runs out of fuel, they actually don't shine either, they are just so hot that they glow like any other very hot material, but all this hotness is result from what they were before, even having masses similar to the Sun, they are planet-sized, and will eventually cool off completely and become a black rock of sorts, but this will take longer than the age of the universe to happen.;Naine blanche;Weißer Zwerg;;Enana blanca;;;;;;;;;x
red_giant;Red Giant;Géante rouge;Rotor Riese;;Gigante roja;;;;;;;;;x
red_giant_desc;Red Giants are main sequence stars that ran out of hydrogen for their fusion and now are fusing helium instead, this greatly expands their size, but cool them down, but as long colonies aren't close enough to crash on it, living near them is similar to living near our sun, even if some distance is needed because of the star great size.;Géante rouge;Rotor Riese;;Gigante roja;;;;;;;;;x
debris_disk;Debris Disk;Disque de débris;Trümmerscheibe;;Disco de escombros;;;;;;;;;x
debris_disk_desc;These are faint discs of dust around a star, either because planets will form, or because whatever was there is now destroyed for some reason. Although the debris is often fairly visible from long distances, near disk itself it is not so obvious, being just some kind of background dust with the occasioanl rock here and there, it is not hard to colonize in such places, and the dust provides some small defense since it interferes with lasers.;Disque de débris;Trümmerscheibe;;Disco de escombros;;;;;;;;;x
pulsar;Pulsar;Pulsar;Pulsar;;Púlsar;;;;;;;;;x
pulsar_desc;The name of this type of star is related to the fact they are seemly emitting pulsed signals in regular invertals, the source of these signals is actually their poles that emit enormous amounts of gamma radiation, they are for all intents and purposes extra-dangerous neutron stars, since they are actual neutron stars but spinning so fast that it starts to spew radiation everywhere like a lighthouse. Navigating near one is dangerous, not just because the gravity but because of the need to avoid getting hit.;Pulsar;Pulsar;;Púlsar;;;;;;;;;x
black_hole;Black Hole;Trou noir;Schwarzes Loch;;Agujero negro;;;;;;;;;x
