#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
athlete;Athlete;;;;;;;;;;;;x
athlete_desc;'So, wait, are they playing American football or soccer?'\n'Yes.';;;;;;;;;;;;x
artist;Artist;;;;;;;;;;;;x
artist_desc;A lover of beauty, this individual is both a patron and a practitioner of all forms of the arts, ranging from painting, holograms and movies to fanfiction and song.;;;;;;;;;;;;x
gardener;Gardener;;;;;;;;;;;;x
intellectual;Intellectual;;;;;;;;;;;;x
intellectual_desc;There is no wealth like knowledge, no poverty like ignorance.;;;;;;;;;;;;x
mystic;Mystic;;;;;;;;;;;;x
open_minded;Curious;Curieux;;;;;;;;;;;;x
open_minded_desc;This character is curious and inquisitive, willing to try anything once and always in search of new ideas.;Ce personnage est curieux et indiscret, prêt à tout essayer et toujours à la recherche de nouvelles idées.;;;;;;;;;;;;x
close_minded;Cautious;Prudent;;;;;;;;;;;;x
close_minded_desc;This character is cautious, reserved, and afraid of unfamiliar experiences.;Ce personnage est prudent, réservé, et s'effraie des expériences inhabituelles.;;;;;;;;;;;;x
disciplined;Disciplined;Discipliné;;;;;;;;;;;;x
disciplined_desc;This character is a methodical, rigorous, and dutiful in everything they do.;Ce personnage est méthodique, rigoureux et consciencieu dans tout ce qu'il entreprend.;;;;;;;;;;;;x
carefree;Carefree;Insouciant;;;;;;;;;;;;x
carefree_desc;This character always seems calm and relaxed - possibly to the point of neglect.;Ce personnage semble toujours calme et détendu - parfois jusqu'à la négligence.;;;;;;;;;;;;x
extraverted;Outgoing;Sociable;;;;;;;;;;;;x
extraverted_desc;This character is a social butterfly who loves to make friends and meet new people.;"Ce personnage est un ""papillon"" social qui aime se faire des amis et rencontrer de nouvelles personnes.";;;;;;;;;;;;x"
introverted;Solitary;Solitaire;;;;;;;;;;;;x
introverted_desc;This character prefers privacy to social gatherings, and is always nervous in large crowds.;Ce personnage préfère l'intimité aux rassemblements, et est toujours nerveux au sein de la foule.This character prefers privacy to social gatherings, and is always nervous in large crowds.;;;;;;;;;;;;x
friendly;Friendly;Amical;;;;;;;;;;;;x
friendly_desc;This character is warm, compassionate, and agreeable, always happy to lend a helping hand.;Ce personnage est chaleureux, compatissant, et agréable, toujours heureux de tendre une main secourable.;;;;;;;;;;;;x
cold;Cold;Froid;;;;;;;;;;;;x
cold_desc;This character has little time for the petty concerns of others.;Ce personnage accorde peu de temps aux petits soucis des autres.;;;;;;;;;;;;x
neurotic;Neurotic;Névrosé;;;;;;;;;;;;x
neurotic_desc;This character is highly insecure and emotionally volatile, potentially willing to lash out at anybody close to hand.;Ce personnage est hautement autodestructeur et émotionellement instable, potentiellement prêt à s'en prendre à n'importe qui.;;;;;;;;;;;;x
confident;Confident;Confiant;;;;;;;;;;;;x
confident_desc;This character has great self-confidence that seems to manifest in everything they do.;Ce personnage possède une grande confiance en lui qui semble se manifester dans tout ce qu'il entreprend.;;;;;;;;;;;;x
spiritual;Spiritual;Mystique;;;;;;;;;;;;x
spiritual_desc;This character believes strongly that there is a power greater than that which can be perceived by mortal eyes.;Ce personnage est fortement persuadé qu'il existe une puissance supérieure à celles perceptibles par les yeux des mortels.;;;;;;;;;;;;x
skeptical;Skeptical;Sceptique;;;;;;;;;;;;x
skeptical_desc;This character is a realist who believes only in that which the evidence can justify.;Ce personnage est un réaliste qui ne crois que ce que des preuves peuvent étayer.;;;;;;;;;;;;x
radical;Radical;Radical;;;;;;;;;;;;x
radical_desc;This character is strongly committed to their ideological beliefs, and willing to go to great lengths for their cause.;Ce personnage est fortement engagé envers sa croyance idéologique, et prêt à aller très loin pour la cause.;;;;;;;;;;;;x
pragmatic;Moderate;;;;;;;;;;;;;x
pragmatic_desc;This character values concrete values and real people over abstract ideological concerns.;;;;;;;;;;;;;x
amoral;Pragmatic;;;;;;;;;;;;;x
amoral_desc;This character sees ideological and moral concerns as unimportant next to their own self-interest.;;;;;;;;;;;;;x
clone;Clone;Clône;;;;;;;;;;;;x
clone_desc;This character is a clone, an artificially-created human based on someone else's genetic stock.;Ce personnage est un clône, un être humain créé artificiellement à partir du modèle génétique de quelqu'un d'autre.;;;;;;;;;;;;x
beautiful;Beautiful;Séduisant;;;;;;;;;;;;x
beautiful_desc;This character is considered to be stunningly beautiful by the standards of their culture.;Ce personnage est réputé posséder une beautée éblouissante selon les standards de sa culture.;;;;;;;;;;;;x
homely;Homely;Repoussant;;;;;;;;;;;;x
homely_desc;While not particularly ugly, this character is still considered relatively unattractive by the standards of their culture.;Bien que pas particulièrement laid, ce personange est néanmoins considéré comme relativement disgracieux selon les standards de sa culture.;;;;;;;;;;;;x
agile;Agile;Agile;;;;;;;;;;;;x
agile_desc;This character is unusually dexterous and light on their feet.;Ce personnage est exceptionnellement dextre et leste.;;;;;;;;;;;;x
clumsy;Clumsy;Maladroit;;;;;;;;;;;;x
clumsy_desc;This character always seems to manage to press exactly the wrong button or trip over their own feet.;Ce personnage semble toujours devoir presser le mauvais bouton au mauvais moment, ou se prendre les pieds dans le tapis.;;;;;;;;;;;;x
cloning_defects;Cloning Defects;;;;;;;;;;;;x
cloning_defects_desc;This character's clone line has been tainted by genetic defects. Something about them is not quite right.;;;;;;;;;;;;x
bisexual;Bisexual;;;;;;;;;;;;x
bisexual_desc;This character is sexually attracted to people of both sexes.;;;;;;;;;;;;x
heterosexual;Heterosexual;;;;;;;;;;;;x
heterosexual_desc;This character is sexually attracted to people of the opposite sex.;;;;;;;;;;;;x
saoshyant;Living Armageddon;;;;;;;;;;;;x
saoshyant_desc;This character gave the order that resulted in the destruction of Earth's biosphere and the deaths of countless billions. This act will never be forgotten, nor forgiven.;;;;;;;;;;;;x
saoshyant_descendant;Legacy of Armageddon;;;;;;;;;;;;x
saoshyant_descendant_desc;This character's ancestor gave the order that resulted in the destruction of Earth's biosphere and the deaths of countless billions. This act will never be forgotten, nor forgiven.;;;;;;;;;;;;x
has_ptsd;Has PTSD;;;;;;;;;;;;x
has_ptsd_desc;This character suffers from Post-Traumatic Stress Disorder, causing them to deliberately avoid certain unpleasant reminders in day to day life, and to experience intense anxiety and flashbacks when they encounter those reminders.;;;;;;;;;;;;x
incompetent_scientist;Incompetent Scientist;;;;;;;;;;;;;x
incompetent_scientist_desc;Not everyone has innate talent at technical skills and this individual is one of the unfortunates for whom the training didn't stick. ;;;;;;;;;;;;;x
dutiful_academic;Dutiful Academic;;;;;;;;;;;;;x
dutiful_academic_desc;A willingness to put in the necessary effort means this individual is conversant with the basics of engineering and the requisite sciences.;;;;;;;;;;;;;x
expert_scientist;Expert Scientist;;;;;;;;;;;;;x
expert_scientist_desc;Skill at modern engineering doesn't come easily- it requires a depth of scientific thinking and background knowledge that is relatively hard to master. Fortunately this individual's dedication paid off and whether building a spacecraft, planning out the infrastructure of a city or measuring the fundamental principles behind something they rise to the occasion.;;;;;;;;;;;;;x
mastermind_scholar;Mastermind Scholar;;;;;;;;;;;;;x
mastermind_scholar_desc;Mastering engineering and science is a difficult task, but true understanding makes one capable of looking at complex systems, visualize each subsystem (mechanical stress, heat, electrical, ergonomic, construction cost, etc), possible alternative setups and ways to determine which would be the best option.;;;;;;;;;;;;;x
spice_addict;Spice Addict;;;;;;;;;;;;x
spice_addict_desc;This character has developed an addiction to Spice, a rare narcotic producible only in zero gravity. While Spice is known to greatly improve focus, memory, and even general intelligence, it is highly addictive, and its long term side effects can devastate the human nervous system. As such, it is outlawed on all civilized worlds;;;;;;;;;;;;x
former_spice_addict;Former Spice Addict;;;;;;;;;;;;x
former_spice_addict_desc;This character used to be addicted to Spice, but has successfully undergone rehabilitation and broken the addiction.;;;;;;;;;;;;x
great_depression;Great Depression;;;;;;;;;;;;x
has_great_depression;Economic Crisis;;;;;;;;;;;;x
has_great_depression_desc;This character is experiencing the demoralizing effects of an economic depression;;;;;;;;;;;;x
has_great_depression_death;This character couldn't handle the economic aftermath of the Crisis;;;;;;;;;;;;x
GREAT_DEPRESSION_INFO;An economic depression is devastating the economy in this sector.;;;;;;;;;;;;;x
has_cosmic_radiation;Radiation Sickness;;;;;;;;;;;;x
has_cosmic_radiation_desc;This character is suffering from cosmic radiation;;;;;;;;;;;;x
has_cosmic_radiation_death;This character died of cosmic radiation poisoning;;;;;;;;;;;;x
COSMIC_RADIATION_INFO;An unusual amount of gamma radiation is emitting from a Superluminous Hypernova.;;;;;;;;;;;;;x
cosmic_radiation;Cosmic Radiation;;;;;;;;;;;;;x
gmo;Genetically Modified Organism;;;;;;;;;;;;;x
gmo_desc;This character was either genetically modified or inherited this gene from a genetically modified individual.;;;;;;;;;;;;;x
vat_born;VAT Born;;;;;;;;;;;;;x
