#CODE;ENGLISH;;;;;;;;;;;;;x
adopted;Adopted;adopted child;adopted child;;adopted child;;;;;;;;;x
adopted_desc;Was adopted and recognised when younger by one of his parents;my father adopted child;my father adopted child;;my father adopted child;;;;;;;;;x
unjoinable;Unjoinable;Unjoinable;Unjoinable;;Unjoinable;;;;;;;;;x
unjoinable_desc;Am now unjoinable untill mission or training is complete: a regent rules in my place;my father adopted child;my father adopted child;;my father adopted child;;;;;;;;;x
agoraphobie;Agoraphobic;Agoraphobe;Agoraphobie;;Agorafóbica;;;;;;;;;x
agoraphobie_desc;This character is Agoraphobic. He becomes incredibly nervous when he's in crowded places.;Ce personnage est Agoraphobe. Il devient extrêmement nerveux lorsqu'il se trouve entouré d'une foule.;Diese Person ist agoraphobe. Er wird äußerst nervös; wenn er sich mit einer Menge umgeben fühlt.;;Este personaje es agoráfobo. Se vuelve extremadamente nervioso cuando se encuentra rodeado de una muchedumbre.;;;;;;;;;x
aimelire;Book lover;Aime lire;Lies gern;;Encanta leer;;;;;;;;;x
aimelire_desc;This character is a book lover. He can spend hours; sometimes days; reading. Knowledge is power!;Ce personnage adore lire. Il peut passer des heures; voire des jours le nez plongé dans ses livres.;Diese Person liest gern. Er kann Stunden; sogar Tage die in seine Bücher getauchte Nase verbringen.;;A este personaje le encanta leer. Puede pasar horas; incluso días la nariz sumergida en sus libros.;;;;;;;;;x
albinos;Albino;Albinos;Albino;;Albino;;;;;;;;;x
albinos_desc;This character is an albino; with white skin; white hair and red eyes. People treat him like a monster but it may come in handy on the battlefield.;Peau blanche; cheveux blancs et yeux rouges. Ce personnage est albinos. Les gens le traitent comme s'il était un monstre mais cela peut-être un atout sur le champ de bataille.;Weiße Haut; weißes Haar und rote Augen. Diese Person ist ein Albino. Andere behandeln ihn als wäre er ein Monster; allerdings könnte dies auf dem Schlachtfeld nützlich sein.;;Piel blanca; canas y ojos rojos. Este personaje es albino. La gente lo trata como si fuera un monstruo pero esto posiblemente una ventaja sobre el campo de batalla.;;;;;;;;;x
amical;Friendly;Amical;Freundlich;;Amistoso;;;;;;;;;x
amical_desc;This character is friendly. They get along with people easily.;Ce personnage est amical. Il se lie d'amitié facilement avec les autres.;Diese Person ist freundlich. Er freundet sich leicht mit Anderen an.;;Este personaje es amistoso. Traba amistad fácilmente con otros.;;;;;;;;;x
anorexique;Anorexic;Anorexique;Magersüchtig;;Anoréxico;;;;;;;;;x
anorexique_desc;This character is anorexic. He has bad health and is worthless on the battlefield.;Ce personnage est anorexique. Il dispose d'une très mauvaise santé; et est aussi très mauvais sur le champ de bataille.;Diese Person ist magersüchtig. Er verfügt über eine schlechte Konstitution und ist auf dem Schlachtfeld nutzlos.;;Este personaje es anoréxico. Dispone de una salud muy mala; y es por muy muy malo sobre el campo de batalla.;;;;;;;;;x
anorexique_death;of anorexia;d'anorexie;appetitlosigkeit;;de anorexia;;;;;;;;;x
anthropophobie;Anthropophobia;Anthropophobie;Anthropophobie;;Antropofobia;;;;;;;;;x
anthropophobie_desc;This character suffer from anthropophobia. Meaning they're scared of society or humans in general.;Ce personnage est atteint d'anthropophobie; ce qui fait qu'il a peur de la vie en société ou des humains en général.;Diese Person ist anthropophobie erreicht; was macht; daß er Angst vor dem Leben in der Gesellschaft oder vor Menschen im allgemeinen hat.;;Este personaje padece de antropofobia; lo que hace que tiene miedo de la vida en sociedad o humanos en general.;;;;;;;;;x
autiste;Autistic;Autiste;Autist;;Autista;;;;;;;;;x
autiste_desc;This character is autistic. He has trouble speaking with other people and suffers from behavioural disorders.;Ce personnage est autiste. Il a du mal à communiquer avec les autres gens et a aussi des problèmes comportementaux.;Diese Person ist ein Autist. Er tut sich schwer bei der Kommunikation mit Anderen und hat Verhaltensstörungen.;;Este personaje es Autista. Tiene dolor de comunicar con otra gente y tiene también problemas comportamentales.;;;;;;;;;x
baderection;Erectile Dysfunction;Dysfonction érectile;Erektionsstörungen;;Disfunción eréctil;;;;;;;;;x
baderection_desc;This character has erectile dysfunction. He'll have more difficulty than others conceiving heirs.;Ce personnage a une dysfonction érectile. Il aura plus de mal que les autres à concevoir des héritiers.;Diese Person leidet unter Erektionsstörungen. Er wird es schwer haben einen Erben zu zeugen.;;Este personaje tiene una disfunción eréctil. Se esforzará que otros que conciben a herederos.;;;;;;;;;x
badwithnumbers;Bad with numbers;Mauvais avec les chiffres;Schlecht mit den Zahlen;;Mal con las cifras;;;;;;;;;x
badwithnumbers_desc;This character is bad with numbers. It'll take him more time to build something and is also a bad Steward.;Ce personnage est mauvais avec les chiffres; faisant qu'il prendra plus de temps à construire quelque chose. Il fait aussi un piètre Intendant.;Diese Person ist mit den Zahlen schlecht; die machen; daß er mehr Zeit nehmen wird; etwas zu bauen. Er macht auch einen miserablen Haushofmeister.;;Este personaje es malo con las cifras; haciendo que agarrará más tiempo de construir algo. Hace también a un Intendente pobre.;;;;;;;;;x
bagarreur;Brawler;Bagarreur;Kämpfer;;Peleador;;;;;;;;;x
bagarreur_desc;This character is a brawler; he loves to picks fights with people for fun.;Ce personnage est bagarreur; il adore se battre avec les autres pour s'amuser.;Diese Person ist ein Kampfhahn; sie schlägt mit anderen gern; um sich zu vergnügen.;;Este personaje es peleón; le encanta pelearse con otros para divertirse.;;;;;;;;;x
baratineur;Silver tongued;Baratineur;Süßholzraspler;;Mentiroso;;;;;;;;;x
