#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTOOLTIPDIPLOMACY10;will not be able to send ministers to your systems for the next five years, unless [This.GetHerHis] §YState Intrigue§! is higher than yours.\n;;;;;;;;;;;;;x
EVTDESCDIPLOMACY10;TO: [Root.GetFullName]\nFROM: [From.GetFullName]\nRE: Closed Borders\nI grow tired of your persistent attempts at violating the sovereignty of my people. Our security agents have been instructed not to allow any [Root.PrimaryTitle.GetAdjective] officials entry into the [From.Capital.GetName] System.;;;;;;;;;;;;;x
EVTTOOLTIPDIPLOMACY11;You will not be able to send any ministers to §Y[From.GetFullName]§!'s systems for the next five years, unless your §YState Intrigue§! is higher than [From.GetHersHis].;;;;;;;;;;;;;x
EVTTOOLTIPLEAVESCONGRESS;will withdraw from the congress.;;;;;;;;;;;;;x
swear_fealty_decision;Petition for Membership;;;;;;;;;;;;;x
swear_fealty_decision_desc;Petition to become a member state of the [This.PrimaryTitle.GetFullName]. If [This.GetTitle] [This.GetFullName] accepts, you will become [This.GetHerHis] vassal. You will have to obey [This.GetHerHis] orders, but [This.GetSheHe] will protect you from your enemies.;;;;;;;;;;;;;x
opinion_offered_swear_fealty;Petitioned For Membership;;;;;;;;;;;;;x
opinion_rejected_swear_fealty;Rejected Membership Petition;;;;;;;;;;;;;x
opinion_accepted_swear_fealty;Approved Membership Petition;;;;;;;;;;;;;x
opinion_sheltered_my_enemy;Protected My Enemies;;;;;;;;;;;;;x
opinion_sheltered_me_from_enemies;Protected Me From My Enemies;;;;;;;;;;;;;x
EVTDESCDIPLOMACY101;TO: [Root.GetTitle] [Root.GetFullName], [Root.PrimaryTitle.GetName]\nFROM: [From.GetTitle] [From.GetFullName], [From.PrimaryTitle.GetName]\nRE: Petition for membership\nThe [From.PrimaryTitle.GetFullName] humbly petitions to be allowed to join the [Root.PrimaryTitle.GetFullName] as a member state.;;;;;;;;;;;;;x
EVTDESCDIPLOMACY102;TO: [Root.GetTitle] [Root.GetFullName], [Root.PrimaryTitle.GetName]\nFROM: [From.GetTitle] [From.GetFullName], [From.PrimaryTitle.GetName]\nRE: Petition for membership\nYour request for membership in the [From.PrimaryTitle.GetFullName] is hereby approved.;;;;;;;;;;;;;x
