#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_primary_q_0;Outpost;;;;;;;;;;;;;x
ca_primary_q_0_desc;This world holds only a single, small settlement, barely worthy of the title. There are no permanent inhabitants here - it is inhabited only by a crew of a few hundred at most, assigned here as part of their duties.;;;;;;;;;;;;;x
ca_primary_q_1;Colony;;;;;;;;;;;;;x
ca_primary_q_1_desc;This world is inhabited, but only just. There may be anywhere from a few hundred to a thousand people on the world, and at least a few of them have decided to make their homes here permanently.;;;;;;;;;;;;;x
ca_primary_q_2;Inhabited World;;;;;;;;;;;;;x
ca_primary_q_2_desc;This world has a significant permanent population, measuring in the hundreds of thousands. Most of the population live in rural farming communities, with the only real city being the capital.;;;;;;;;;;;;;x
ca_primary_q_3;Urbanized World;;;;;;;;;;;;;x
ca_primary_q_3_desc;This world has a large permanent population, numbering in the millions. While a narrow majority of the population still live in rural farming communities, there are also many major cities.;;;;;;;;;;;;;x
ca_primary_q_4;Conurbanized World;;;;;;;;;;;;;x
ca_primary_q_4_desc;This world has a huge permanent population, numbering in the billions. The majority of the population live in cities, and the largest such have spread out to the point where it often difficult to tell where one city ends and the next begins.;;;;;;;;;;;;;x
ca_primary_q_5;Ecumenopolis;;;;;;;;;;;;;x
ca_primary_q_5_desc;This world supports an unthinkably vast population, numbering in the trillions. With the exception of designated agricultural areas, the entire world has effectively become consumed by ubanization and transformed into a single contiguous city-scape.;;;;;;;;;;;;;x
ca_fighter_hanger_q_1;Fighter Hangar;;;;;;;;;;;;;x
ca_fighter_hanger_q_1_desc; This small hangar is used to store the few fighters of the local militia. These fighters are used for local law enforcement and to deter the casual pirate. ;;;;;;;;;;;;;x
ca_fighter_hanger_q_2;Fighter Hangar;;;;;;;;;;;;;x
ca_fighter_hanger_q_2_desc; This small hangar is used to store, repair, and launch small one-man fighter craft designed to escort and provide support to larger vessels. The most common of these craft are the R20-Stinger "human-torpedo" fighter. Despite it's nickname, many Stinger pilots claim they feel safer inside it then anywhere else. This isn't baseless faith, as this reliable design has been in use for nearly a century.;;;;;;;;;;;;;x
ca_fighter_hanger_q_3;Fighter Hangar;;;;;;;;;;;;;x
ca_fighter_hanger_q_3_desc; This expanded fighter hangar now stores more squadrons allowing system authorities to more readily respond to threats.;;;;;;;;;;;;;x
ca_fighter_hanger_q_4;Fighter Hangar;;;;;;;;;;;;;x
ca_fighter_hanger_q_4_desc; Heavy fighter is a misnomer. Heavy fighter hangars allow for denser deployments due to launch mechanic refinements and fighter design optimizations.;;;;;;;;;;;;;x
