#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
aristocracy_plutocracy;Bureaucracy;Bureaucratie;;;Burocracia;;;;;;;;;x
aristocracy_plutocracy_desc;Our Bureaucracy and PowerStructure can be either based on administrations, corporations or military.;Notre bureaucratie peut être soit aristocratique, comptant plus de soldats et de commandants militaires, soit ploutocratique, comptant plutôt sur les administrateurs appropriés.;;;Nuestra burocracia puede ser aristocrática, dependiendo más en soldados y comandantes militares, o plutocráticos, confiando en cambio en administradores adecuados.;;;;;;;;;x
aristocracy_plutocracy_0;Administrative;Ploutocratique;;;Plutocrata;;;;;;;;;x
aristocracy_plutocracy_0_desc;The administrative governors of our territories are the cornerstone of our bureaucracies.;Les gouverneurs de nos territoires devraient fournir encore plus d'impôts plutôt que des soldats.;;;Se espera que los gobernadores de nuestros territorios proporcionen aún más impuestos en lugar de soldados.;;;;;;;;;x
aristocracy_plutocracy_1;Slightly Administrative/Corporative;Légèrement ploutocratique;;;Ligeramente Plutocrata;;;;;;;;;x
aristocracy_plutocracy_1_desc;The administrative and corporative governors of our territories are the cornerstone of our bureaucracies.;Les gouverneurs de nos territoires sont censés fournir des impôts plutôt que des soldats.;;;Se espera que los gobernadores de nuestros territorios proporcionen impuestos en lugar de soldados.;;;;;;;;;x
aristocracy_plutocracy_2;Corporative;Mixe;;;Mixto;;;;;;;;;x
aristocracy_plutocracy_2_desc;The corporative governors of our territories are the cornerstone of our bureaucracies.;Les gouverneurs de nos territoires sont censés fournir des taxes et des soldats en quantités égales.;;;Se espera que los gobernadores de nuestros territorios proporcionen impuestos y soldados en cantidades iguales.;;;;;;;;;x
aristocracy_plutocracy_3;Slightly Corporative/Military;Aristocratique;;;Aristócrata;;;;;;;;;x
aristocracy_plutocracy_3_desc;The corporative and military governors of our territories are the cornerstone of our bureaucracies.;Les gouverneurs de nos territoires sont censés fournir des soldats plutôt que les taxes.;;;Se espera que los gobernadores de nuestros territorios proporcionen soldados en lugar de impuestos.;;;;;;;;;x
aristocracy_plutocracy_4;Military;Aristocratique;;;Aristócrata;;;;;;;;;x
aristocracy_plutocracy_4_desc;The military governors of our territories are the cornerstone of our bureaucracies.;Les gouverneurs de nos territoires doivent fournir encore plus de soldats plutôt que de taxes.;;;Se espera que los gobernadores de nuestros territorios proporcionen aún más soldados en lugar de impuestos.;;;;;;;;;x
